task,policy,consumer,subtopics_total,subtopics_in_selection,subtopics_covered_in_output,coverage_rate,judged_covered,judged_coverage_rate,judged_beyond_selection,unsupported_word_rate,output_words,cached
q0043,relevance,human,4,2,2,0.5,1,0.25,0,0.3,38,0
q0043,harvest,machine,4,3,2,0.5,2,0.5,0,0.387097,275,0
q0043,harvest,human,4,3,2,0.5,0,0.0,0,0.428571,41,0
q0044,relevance,machine,6,3,2,0.333333,1,0.166667,0,0.636364,110,0
q0044,relevance,human,6,3,2,0.333333,0,0.0,0,0.451613,53,0
q0044,harvest,machine,6,4,1,0.166667,1,0.166667,0,0.560976,84,0
q0044,harvest,human,6,4,1,0.166667,0,0.0,0,0.428571,43,0
q0045,relevance,machine,5,3,3,0.6,0,0.0,0,0.631579,78,0
q0045,relevance,human,5,3,1,0.2,1,0.2,0,0.0,19,0
q0045,harvest,machine,5,5,3,0.6,2,0.4,0,0.3,38,0
q0045,harvest,human,5,5,1,0.2,1,0.2,0,0.166667,24,0
q0046,relevance,machine,4,1,2,0.5,0,0.0,0,0.25,154,0
q0046,relevance,human,4,1,0,0.0,0,0.0,0,0.48,64,0
q0046,harvest,machine,4,3,3,0.75,1,0.25,0,0.380282,415,0
q0046,harvest,human,4,3,0,0.0,0,0.0,0,0.409091,46,0
q0047,relevance,machine,4,1,1,0.25,0,0.0,0,0.583333,121,0
q0047,relevance,human,4,1,1,0.25,0,0.0,0,0.384615,53,0
q0047,harvest,machine,4,3,1,0.25,0,0.0,0,0.636364,133,0
q0047,harvest,human,4,3,1,0.25,0,0.0,0,0.304348,43,0
q0048,relevance,machine,5,2,2,0.4,1,0.2,0,0.675676,165,0
q0048,relevance,human,5,2,1,0.2,1,0.2,0,0.393939,53,0
q0048,harvest,machine,5,4,2,0.4,1,0.2,0,0.565217,85,0
q0048,harvest,human,5,4,1,0.2,2,0.4,0,0.32,47,0
q0049,relevance,machine,5,1,1,0.2,0,0.0,0,0.708333,122,0
q0049,relevance,human,5,1,1,0.2,1,0.2,0,0.235294,40,0
q0049,harvest,machine,5,3,1,0.2,0,0.0,0,0.263158,69,0
q0049,harvest,human,5,3,1,0.2,1,0.2,0,0.277778,47,0
q0050,relevance,machine,6,2,1,0.166667,2,0.333333,0,0.615385,112,0
q0050,relevance,human,6,2,1,0.166667,1,0.166667,0,0.333333,60,0
q0050,harvest,machine,6,5,0,0.0,2,0.333333,0,0.558824,86,0
q0050,harvest,human,6,5,0,0.0,2,0.333333,0,0.416667,43,0
q0051,relevance,machine,6,1,1,0.166667,1,0.166667,0,0.515152,89,0
q0051,relevance,human,6,1,1,0.166667,1,0.166667,0,0.391304,51,0
q0051,harvest,machine,6,4,1,0.166667,1,0.166667,0,0.238095,58,0
q0051,harvest,human,6,4,1,0.166667,1,0.166667,0,0.176471,34,0
q0052,relevance,machine,6,2,2,0.333333,0,0.0,0,0.538462,108,0
q0052,relevance,human,6,2,1,0.166667,0,0.0,0,0.586207,36,0
q0052,harvest,machine,6,3,2,0.333333,2,0.333333,0,0.454545,79,0
q0052,harvest,human,6,3,1,0.166667,1,0.166667,0,0.285714,46,0
q0053,relevance,machine,5,2,2,0.4,1,0.2,0,0.486486,143,0
q0053,relevance,human,5,2,2,0.4,1,0.2,0,0.5,51,0
q0053,harvest,machine,5,2,2,0.4,0,0.0,0,0.419355,100,0
q0053,harvest,human,5,2,2,0.4,1,0.2,0,0.26087,50,0
q0054,relevance,machine,5,2,0,0.0,0,0.0,0,0.666667,101,0
q0054,relevance,human,5,2,0,0.0,1,0.2,0,0.5,31,0
q0054,harvest,machine,5,2,0,0.0,1,0.2,0,0.357143,37,0
q0054,harvest,human,5,2,0,0.0,1,0.2,0,0.333333,37,0
q0055,relevance,machine,6,4,5,0.833333,1,0.166667,0,0.435897,405,0
q0055,relevance,human,6,4,0,0.0,1,0.166667,0,0.394737,59,0
q0055,harvest,machine,6,4,2,0.333333,2,0.333333,0,0.611111,227,0
q0055,harvest,human,6,4,3,0.5,0,0.0,0,0.487805,66,0
q0056,relevance,machine,6,2,2,0.333333,1,0.166667,0,0.653061,190,0
q0056,relevance,human,6,2,1,0.166667,1,0.166667,0,0.483871,46,0
q0056,harvest,machine,6,4,2,0.333333,1,0.166667,0,0.40625,284,0
q0056,harvest,human,6,4,1,0.166667,1,0.166667,1,0.555556,38,0
q0057,relevance,machine,5,2,2,0.4,1,0.2,0,0.571429,159,0
q0057,relevance,human,5,2,1,0.2,0,0.0,0,0.354839,61,0
q0057,harvest,machine,5,4,2,0.4,1,0.2,0,0.482759,114,0
q0057,harvest,human,5,4,1,0.2,2,0.4,0,0.4,57,0
q0058,relevance,machine,5,2,0,0.0,0,0.0,0,0.481481,97,0
q0058,relevance,human,5,2,3,0.6,2,0.4,1,0.2,45,0
q0058,harvest,machine,5,5,2,0.4,1,0.2,0,0.514286,89,0
q0058,harvest,human,5,5,0,0.0,0,0.0,0,0.526316,30,0
q0059,relevance,machine,5,2,2,0.4,2,0.4,0,0.55,129,0
q0059,relevance,human,5,2,2,0.4,1,0.2,0,0.310345,58,0
q0059,harvest,machine,5,4,2,0.4,1,0.2,0,0.5,99,0
q0059,harvest,human,5,4,1,0.2,2,0.4,0,0.380952,67,0
