query_id,top_k_alpha_ndcg,top_k_s_recall,top_k_ndcg10,top_k_recall10,top_k_ild,top_k_distractor_rate,mmr_0.7_alpha_ndcg,mmr_0.7_s_recall,mmr_0.7_ndcg10,mmr_0.7_recall10,mmr_0.7_ild,mmr_0.7_distractor_rate,mmr_0.3_alpha_ndcg,mmr_0.3_s_recall,mmr_0.3_ndcg10,mmr_0.3_recall10,mmr_0.3_ild,mmr_0.3_distractor_rate,dpp_alpha_ndcg,dpp_s_recall,dpp_ndcg10,dpp_recall10,dpp_ild,dpp_distractor_rate,cluster_rr_alpha_ndcg,cluster_rr_s_recall,cluster_rr_ndcg10,cluster_rr_recall10,cluster_rr_ild,cluster_rr_distractor_rate,outlier_0.2_alpha_ndcg,outlier_0.2_s_recall,outlier_0.2_ndcg10,outlier_0.2_recall10,outlier_0.2_ild,outlier_0.2_distractor_rate,outlier_0.4_alpha_ndcg,outlier_0.4_s_recall,outlier_0.4_ndcg10,outlier_0.4_recall10,outlier_0.4_ild,outlier_0.4_distractor_rate
q0010,0.581208,0.4,0.751092,0.133333,0.264718,0.2,0.657381,0.4,0.795166,0.133333,0.316027,0.2,0.62456,0.6,0.536554,0.083333,0.35792,0.5,0.665178,0.6,0.588467,0.083333,0.402156,0.5,0.620932,0.4,0.724153,0.116667,0.278738,0.3,0.548495,0.4,0.621217,0.1,0.294834,0.4,0.574828,0.6,0.542042,0.083333,0.268346,0.5
q0011,0.496048,0.333333,0.687195,0.1,0.367819,0.4,0.555594,0.333333,0.738557,0.116667,0.356418,0.3,0.816337,0.666667,0.848603,0.133333,0.46112,0.2,0.837557,0.833333,0.831848,0.133333,0.47072,0.2,0.653364,0.5,0.745302,0.116667,0.397639,0.3,0.573071,0.5,0.689829,0.1,0.435015,0.4,0.615649,0.5,0.757382,0.116667,0.450366,0.3
q0012,0.27843,0.166667,0.485814,0.083333,0.328782,0.5,0.266071,0.166667,0.454844,0.083333,0.328782,0.5,0.504765,0.5,0.498271,0.083333,0.520069,0.5,0.428774,0.5,0.388225,0.066667,0.534823,0.6,0.236943,0.333333,0.227162,0.05,0.468534,0.7,0.35879,0.333333,0.552068,0.1,0.384834,0.4,0.519379,0.666667,0.615689,0.116667,0.456659,0.3
q0013,0.589963,0.333333,0.914857,0.15,0.347133,0.1,0.538662,0.333333,0.861138,0.15,0.349807,0.1,0.619041,0.5,0.697596,0.116667,0.417439,0.3,0.665656,0.666667,0.669126,0.1,0.422147,0.4,0.555056,0.333333,0.777872,0.116667,0.345383,0.3,0.733243,0.666667,0.914857,0.15,0.369466,0.1,0.791151,0.833333,0.848603,0.133333,0.349365,0.2
q0014,0.594123,0.333333,0.863015,0.133333,0.292008,0.2,0.712518,0.5,0.889954,0.15,0.32068,0.1,0.862047,0.833333,0.800694,0.116667,0.410232,0.3,0.855093,0.833333,0.772838,0.116667,0.436356,0.3,0.688254,0.5,0.889954,0.15,0.306893,0.1,0.664438,0.5,0.863015,0.133333,0.307921,0.2,0.711479,0.5,0.930569,0.15,0.313986,0.1
q0015,0.659406,0.6,0.747159,0.116667,0.289511,0.3,0.699576,0.6,0.746705,0.116667,0.304842,0.3,0.613236,0.6,0.614952,0.1,0.320968,0.4,0.740664,0.8,0.706563,0.116667,0.330885,0.3,0.739101,0.8,0.787774,0.133333,0.296887,0.2,0.707769,0.8,0.680905,0.1,0.293674,0.4,0.775597,0.8,0.81659,0.133333,0.301746,0.2
q0016,0.433784,0.25,0.724153,0.116667,0.273658,0.3,0.452509,0.25,0.738192,0.116667,0.273396,0.3,0.571675,0.5,0.541588,0.083333,0.512781,0.5,0.700942,1.0,0.547853,0.083333,0.5631,0.5,0.782206,0.75,0.791727,0.116667,0.486074,0.3,0.566326,0.5,0.787774,0.133333,0.39074,0.2,0.663948,0.75,0.794883,0.133333,0.490564,0.2
q0017,0.391629,0.166667,0.860382,0.133333,0.294994,0.2,0.381107,0.166667,0.662016,0.1,0.380687,0.4,0.462149,0.333333,0.57369,0.083333,0.444471,0.5,0.69436,0.833333,0.669126,0.1,0.465942,0.4,0.534113,0.5,0.750637,0.116667,0.393099,0.3,0.464717,0.333333,0.860382,0.133333,0.302832,0.2,0.543853,0.5,0.860382,0.133333,0.384387,0.2
q0018,0.65083,0.4,1.0,0.166667,0.317546,0.0,0.714455,0.6,1.0,0.166667,0.371423,0.0,0.898358,0.8,1.0,0.166667,0.449215,0.0,0.897458,0.8,1.0,0.166667,0.457836,0.0,0.778031,0.6,1.0,0.166667,0.410816,0.0,0.803874,0.8,1.0,0.166667,0.418942,0.0,0.858419,0.8,1.0,0.166667,0.448064,0.0
q0019,0.698967,0.5,1.0,0.166667,0.23241,0.0,0.667125,0.5,1.0,0.166667,0.304155,0.0,0.749664,0.75,0.820523,0.133333,0.403782,0.2,0.837726,1.0,0.8237,0.133333,0.419068,0.2,0.682962,0.5,1.0,0.166667,0.321956,0.0,0.775682,0.75,0.933746,0.15,0.294538,0.1,0.802064,0.75,0.860382,0.133333,0.299609,0.2
q0020,0.846232,0.75,0.933746,0.15,0.237842,0.1,0.797285,0.75,0.8237,0.133333,0.260399,0.2,0.591584,0.75,0.530263,0.083333,0.320904,0.5,0.630526,0.75,0.551785,0.083333,0.326334,0.5,0.745934,0.75,0.775337,0.116667,0.245782,0.3,0.868333,0.75,1.0,0.166667,0.261693,0.0,0.846141,0.75,0.936379,0.15,0.262508,0.1
q0021,0.371418,0.166667,0.68166,0.116667,0.260156,0.3,0.37112,0.166667,0.677728,0.116667,0.309026,0.3,0.442533,0.333333,0.399569,0.05,0.440502,0.7,0.505944,0.5,0.472157,0.066667,0.438116,0.6,0.361156,0.166667,0.590049,0.1,0.34117,0.4,0.525227,0.5,0.68166,0.116667,0.308453,0.3,0.535337,0.5,0.621217,0.1,0.360372,0.4
q0022,0.313804,0.2,0.631144,0.116667,0.271009,0.3,0.313804,0.2,0.631144,0.116667,0.271009,0.3,0.538617,0.6,0.527067,0.1,0.415225,0.4,0.430119,0.6,0.357058,0.066667,0.455099,0.6,0.566169,0.6,0.564525,0.1,0.362503,0.4,0.397315,0.4,0.628511,0.116667,0.313887,0.3,0.480947,0.6,0.555147,0.1,0.366895,0.4
q0023,0.361365,0.333333,0.461589,0.083333,0.228248,0.5,0.362796,0.333333,0.470556,0.083333,0.228248,0.5,0.268071,0.333333,0.31955,0.066667,0.375089,0.6,0.246252,0.333333,0.300526,0.066667,0.376977,0.6,0.272354,0.333333,0.257875,0.05,0.324583,0.7,0.465369,0.666667,0.52521,0.1,0.251542,0.4,0.504785,0.666667,0.451846,0.083333,0.261083,0.5
q0024,0.444748,0.333333,0.642924,0.116667,0.381861,0.3,0.438085,0.333333,0.625334,0.116667,0.420517,0.3,0.547171,0.833333,0.567682,0.116667,0.408728,0.3,0.559172,0.666667,0.552746,0.1,0.427524,0.4,0.498906,0.5,0.618866,0.116667,0.382845,0.3,0.52108,0.5,0.706544,0.133333,0.40377,0.2,0.633648,0.666667,0.779908,0.15,0.405987,0.1
q0025,0.388625,0.166667,0.762416,0.116667,0.312814,0.3,0.381432,0.166667,0.667826,0.1,0.321406,0.4,0.614959,0.666667,0.57369,0.083333,0.478745,0.5,0.717467,0.666667,0.696938,0.1,0.502838,0.4,0.459711,0.333333,0.674936,0.1,0.470675,0.4,0.535453,0.5,0.762416,0.116667,0.379035,0.3,0.625601,0.5,0.905212,0.15,0.395474,0.1
q0026,0.640685,0.333333,1.0,0.166667,0.282001,0.0,0.698547,0.5,1.0,0.166667,0.362191,0.0,0.764946,0.666667,0.754269,0.116667,0.525509,0.3,0.748038,0.666667,0.793584,0.116667,0.546403,0.3,0.778625,0.666667,0.866948,0.133333,0.438415,0.2,0.788366,0.666667,1.0,0.166667,0.397429,0.0,0.822568,0.666667,0.936379,0.15,0.434547,0.1
q0027,0.409572,0.2,0.851236,0.133333,0.285131,0.2,0.383297,0.2,0.702631,0.116667,0.319645,0.3,0.538809,0.6,0.56311,0.083333,0.435359,0.5,0.646486,0.8,0.567721,0.083333,0.478779,0.5,0.470273,0.4,0.580148,0.083333,0.36346,0.5,0.48611,0.4,0.848603,0.133333,0.332964,0.2,0.489061,0.4,0.711618,0.1,0.362215,0.4
q0028,0.316242,0.166667,0.713654,0.133333,0.238568,0.2,0.310399,0.166667,0.615689,0.116667,0.273398,0.3,0.581824,0.666667,0.518465,0.1,0.362229,0.4,0.620522,0.666667,0.532878,0.1,0.372152,0.4,0.464417,0.333333,0.635256,0.116667,0.293195,0.3,0.488878,0.5,0.779908,0.15,0.290256,0.1,0.545815,0.5,0.716287,0.133333,0.305463,0.2
q0029,0.667125,0.4,1.0,0.166667,0.306337,0.0,0.704573,0.4,1.0,0.166667,0.331277,0.0,0.744412,0.6,0.738192,0.116667,0.423933,0.3,0.756147,0.6,0.696162,0.1,0.451746,0.4,0.753902,0.6,0.914857,0.15,0.345446,0.1,0.656294,0.4,0.870125,0.133333,0.324671,0.2,0.805776,0.8,0.857205,0.133333,0.359678,0.2
q0030,0.931123,0.75,1.0,0.166667,0.272603,0.0,0.9995,0.75,1.0,0.166667,0.359662,0.0,0.9995,0.75,1.0,0.166667,0.381087,0.0,0.980778,0.75,1.0,0.166667,0.412175,0.0,0.940987,0.75,1.0,0.166667,0.310376,0.0,0.931123,0.75,1.0,0.166667,0.280957,0.0,0.916899,0.75,1.0,0.166667,0.301046,0.0
q0031,0.857789,0.75,1.0,0.166667,0.233667,0.0,0.981455,0.75,1.0,0.166667,0.319021,0.0,0.981381,0.75,1.0,0.166667,0.394731,0.0,0.931324,0.75,0.848603,0.133333,0.417691,0.2,0.973319,0.75,1.0,0.166667,0.287411,0.0,0.897526,0.75,1.0,0.166667,0.301452,0.0,0.833677,0.75,0.933746,0.15,0.335724,0.1
q0032,0.424565,0.166667,0.791706,0.133333,0.277703,0.2,0.419638,0.166667,0.766349,0.133333,0.277703,0.2,0.668686,0.666667,0.614952,0.1,0.377158,0.4,0.749548,0.666667,0.697596,0.116667,0.364486,0.3,0.526517,0.333333,0.520618,0.083333,0.30731,0.5,0.595819,0.5,0.791706,0.133333,0.297019,0.2,0.652447,0.5,0.794883,0.133333,0.310544,0.2
q0033,0.825072,0.6,1.0,0.166667,0.240139,0.0,0.775871,0.6,1.0,0.166667,0.319038,0.0,0.840573,0.8,1.0,0.166667,0.3609,0.0,0.714704,0.6,0.781805,0.116667,0.373943,0.3,0.886739,0.8,1.0,0.166667,0.331641,0.0,0.815778,0.6,0.936379,0.15,0.267511,0.1,0.833306,0.8,0.864315,0.133333,0.286072,0.2
q0034,0.450664,0.25,0.796761,0.116667,0.253507,0.3,0.447025,0.25,0.693663,0.1,0.277084,0.4,0.693147,0.75,0.601572,0.083333,0.486079,0.5,0.598193,0.75,0.503324,0.066667,0.523629,0.6,0.72477,0.75,0.864315,0.133333,0.371879,0.2,0.623964,0.75,0.926636,0.15,0.329799,0.1,0.728163,1.0,0.936379,0.15,0.345502,0.1
q0035,0.36961,0.2,0.529444,0.083333,0.270076,0.5,0.347268,0.2,0.441285,0.066667,0.287031,0.6,0.576282,0.6,0.706563,0.116667,0.340554,0.3,0.687496,0.8,0.716485,0.116667,0.378326,0.3,0.432535,0.4,0.504541,0.083333,0.285836,0.5,0.435102,0.4,0.465823,0.066667,0.277921,0.6,0.499838,0.6,0.467122,0.066667,0.285798,0.6
q0036,0.315592,0.25,0.70151,0.133333,0.222243,0.2,0.310586,0.25,0.621499,0.116667,0.355079,0.3,0.666847,1.0,0.618866,0.116667,0.504679,0.3,0.635414,1.0,0.568458,0.1,0.484279,0.4,0.391299,0.5,0.536356,0.1,0.427201,0.4,0.4444,0.5,0.70151,0.133333,0.327206,0.2,0.55838,0.75,0.70151,0.133333,0.392523,0.2
q0037,0.586173,0.333333,1.0,0.166667,0.305364,0.0,0.608576,0.333333,1.0,0.166667,0.321125,0.0,0.704231,0.666667,0.766349,0.133333,0.445207,0.2,0.7741,0.833333,0.752969,0.116667,0.438043,0.3,0.6504,0.5,0.851236,0.133333,0.380068,0.2,0.729453,0.666667,1.0,0.166667,0.3253,0.0,0.713127,0.666667,0.870125,0.133333,0.378615,0.2
q0038,0.594647,0.333333,0.905212,0.15,0.26888,0.1,0.601804,0.333333,0.914857,0.15,0.310991,0.1,0.752601,0.666667,0.826333,0.133333,0.479392,0.2,0.656338,0.666667,0.601572,0.083333,0.529157,0.5,0.717193,0.666667,0.763193,0.116667,0.452774,0.3,0.654308,0.5,0.838957,0.133333,0.3601,0.2,0.62975,0.5,0.701973,0.1,0.425418,0.4
q0039,0.591779,0.4,0.861138,0.15,0.284067,0.1,0.643426,0.4,0.914857,0.15,0.284542,0.1,0.861467,1.0,0.81659,0.133333,0.472533,0.2,0.804406,1.0,0.683538,0.1,0.499382,0.4,0.641733,0.6,0.678049,0.1,0.398354,0.4,0.65856,0.6,0.797517,0.133333,0.35142,0.2,0.634544,0.6,0.661831,0.1,0.428768,0.4
q0040,0.29214,0.333333,0.486471,0.1,0.311094,0.4,0.248494,0.333333,0.372493,0.083333,0.359071,0.5,0.367793,0.666667,0.362848,0.083333,0.453568,0.5,0.499996,1.0,0.452602,0.1,0.490186,0.4,0.385753,0.666667,0.486471,0.1,0.396541,0.4,0.431779,0.666667,0.486471,0.1,0.375009,0.4,0.557852,1.0,0.555903,0.116667,0.415091,0.3
q0041,0.630383,0.333333,1.0,0.166667,0.277217,0.0,0.604168,0.333333,1.0,0.166667,0.288973,0.0,0.783203,0.666667,0.905212,0.15,0.440708,0.1,0.656331,0.5,0.725735,0.116667,0.471814,0.3,0.699801,0.666667,0.820069,0.133333,0.409791,0.2,0.73687,0.5,1.0,0.166667,0.338437,0.0,0.741694,0.5,0.933746,0.15,0.396739,0.1
q0042,0.64828,0.5,0.861138,0.15,0.350157,0.1,0.757973,0.666667,0.889954,0.15,0.428997,0.1,0.742583,0.666667,0.794883,0.133333,0.5045,0.2,0.823063,0.833333,0.81659,0.133333,0.52751,0.2,0.708664,0.5,0.861138,0.15,0.409191,0.1,0.64828,0.5,0.861138,0.15,0.411562,0.1,0.720138,0.666667,0.797517,0.133333,0.453554,0.2
q0043,0.648177,0.5,0.889954,0.15,0.219804,0.1,0.694226,0.5,0.936379,0.15,0.253189,0.1,0.868333,1.0,0.889954,0.15,0.37124,0.1,0.968032,1.0,1.0,0.166667,0.378827,0.0,0.83817,1.0,0.926636,0.15,0.283288,0.1,0.762674,0.75,0.889954,0.15,0.264557,0.1,0.762085,0.75,0.826333,0.133333,0.300301,0.2
q0044,0.705756,0.5,1.0,0.166667,0.27551,0.0,0.72839,0.5,1.0,0.166667,0.323289,0.0,0.770042,0.833333,0.794883,0.133333,0.458374,0.2,0.692299,0.666667,0.81659,0.133333,0.478395,0.2,0.849734,0.666667,1.0,0.166667,0.333032,0.0,0.812204,0.666667,1.0,0.166667,0.356911,0.0,0.793084,0.666667,0.870125,0.133333,0.420627,0.2
q0045,0.712453,0.6,1.0,0.166667,0.343161,0.0,0.720964,0.6,0.936379,0.15,0.393522,0.1,0.558931,0.6,0.700095,0.116667,0.505418,0.3,0.656234,0.8,0.700095,0.116667,0.519903,0.3,0.783653,0.8,0.936379,0.15,0.434341,0.1,0.850134,1.0,1.0,0.166667,0.383412,0.0,0.822425,1.0,0.933746,0.15,0.428526,0.1
q0046,0.311571,0.25,0.431996,0.083333,0.240315,0.5,0.368745,0.25,0.467103,0.083333,0.248705,0.5,0.222322,0.25,0.179931,0.033333,0.348383,0.8,0.342711,0.5,0.243552,0.05,0.368688,0.7,0.357543,0.25,0.391703,0.066667,0.252288,0.6,0.463856,0.5,0.498251,0.1,0.255179,0.4,0.5873,0.75,0.577425,0.116667,0.286719,0.3
q0047,0.253996,0.25,0.422851,0.083333,0.307382,0.5,0.264199,0.25,0.29026,0.05,0.334338,0.7,0.366766,0.5,0.38196,0.066667,0.37234,0.6,0.45173,0.75,0.393561,0.066667,0.393626,0.6,0.302141,0.5,0.312805,0.066667,0.318345,0.6,0.333363,0.5,0.420217,0.083333,0.340606,0.5,0.457976,0.75,0.482539,0.1,0.359016,0.4
q0048,0.685347,0.4,1.0,0.166667,0.300369,0.0,0.70162,0.4,1.0,0.166667,0.334864,0.0,0.794335,0.6,0.905212,0.15,0.410086,0.1,0.849936,0.8,0.777872,0.116667,0.410524,0.3,0.79394,0.6,1.0,0.166667,0.330375,0.0,0.84229,0.8,1.0,0.166667,0.280028,0.0,0.906929,0.8,1.0,0.166667,0.319246,0.0
q0049,0.237942,0.2,0.571615,0.116667,0.264172,0.3,0.277735,0.2,0.533723,0.1,0.283765,0.4,0.531745,0.8,0.545502,0.1,0.363523,0.4,0.319378,0.4,0.31834,0.05,0.384685,0.7,0.329828,0.4,0.567682,0.116667,0.337059,0.3,0.311392,0.4,0.50536,0.1,0.304344,0.4,0.393238,0.6,0.504061,0.1,0.307336,0.4
q0050,0.544219,0.333333,0.811556,0.133333,0.279035,0.2,0.576044,0.333333,0.820069,0.133333,0.295627,0.2,0.816283,0.833333,0.772838,0.116667,0.502724,0.3,0.637389,0.666667,0.583618,0.083333,0.561709,0.5,0.618593,0.666667,0.681206,0.116667,0.414889,0.3,0.670814,0.666667,0.811556,0.133333,0.334866,0.2,0.711672,0.833333,0.747935,0.116667,0.397311,0.3
q0051,0.355298,0.166667,0.751092,0.133333,0.262517,0.2,0.360428,0.166667,0.681206,0.116667,0.350556,0.3,0.659984,0.5,0.757382,0.116667,0.505804,0.3,0.679643,0.833333,0.681206,0.116667,0.525578,0.3,0.699141,0.666667,0.738192,0.116667,0.412542,0.3,0.427188,0.333333,0.684837,0.116667,0.357913,0.3,0.576471,0.666667,0.677728,0.116667,0.41148,0.3
q0052,0.698967,0.333333,1.0,0.166667,0.200077,0.0,0.698782,0.333333,0.930569,0.15,0.305036,0.1,0.616442,0.333333,0.709375,0.116667,0.371472,0.3,0.712254,0.5,0.658181,0.1,0.406585,0.4,0.770697,0.5,0.905212,0.15,0.326937,0.1,0.690789,0.333333,0.870125,0.133333,0.297422,0.2,0.751864,0.5,0.790951,0.116667,0.3263,0.3
q0053,0.588928,0.4,0.889954,0.15,0.240686,0.1,0.592584,0.4,0.889954,0.15,0.274726,0.1,0.766171,0.8,0.795166,0.133333,0.389031,0.2,0.693336,0.6,0.684018,0.1,0.396246,0.4,0.639436,0.6,0.775994,0.133333,0.276757,0.2,0.573971,0.4,0.760079,0.116667,0.280229,0.3,0.541162,0.4,0.617284,0.083333,0.292925,0.5
q0054,0.487515,0.4,0.930569,0.15,0.270169,0.1,0.554864,0.4,1.0,0.166667,0.317337,0.0,0.486832,0.4,0.795166,0.133333,0.428012,0.2,0.634019,0.8,0.716767,0.116667,0.445596,0.3,0.639797,0.6,1.0,0.166667,0.322211,0.0,0.409721,0.2,0.800694,0.116667,0.354472,0.3,0.488691,0.4,0.793584,0.116667,0.388082,0.3
q0055,0.701506,0.666667,0.795166,0.133333,0.263163,0.2,0.688399,0.5,0.889954,0.15,0.285544,0.1,0.802667,0.666667,0.933746,0.15,0.311859,0.1,0.916894,1.0,0.933746,0.15,0.324662,0.1,0.753085,0.666667,0.81659,0.133333,0.248238,0.2,0.665818,0.5,0.795166,0.133333,0.272619,0.2,0.731798,0.666667,0.795166,0.133333,0.273921,0.2
q0056,0.591403,0.333333,1.0,0.166667,0.287841,0.0,0.683223,0.5,1.0,0.166667,0.338607,0.0,0.845402,0.833333,0.933746,0.15,0.39259,0.1,0.85382,1.0,0.851236,0.133333,0.386118,0.2,0.685166,0.5,0.863015,0.133333,0.362594,0.2,0.582005,0.333333,0.870125,0.133333,0.307048,0.2,0.701096,0.666667,0.857205,0.133333,0.347779,0.2
q0057,0.630417,0.4,0.914857,0.15,0.17934,0.1,0.536233,0.4,0.751092,0.133333,0.317051,0.2,0.7948,1.0,0.766349,0.133333,0.400454,0.2,0.758602,1.0,0.702728,0.116667,0.429141,0.3,0.698646,0.6,0.861138,0.15,0.34176,0.1,0.773075,0.8,0.914857,0.15,0.297232,0.1,0.79675,0.8,0.851236,0.133333,0.375704,0.2
q0058,0.640187,0.4,0.855348,0.133333,0.250648,0.2,0.57732,0.4,0.797517,0.133333,0.324027,0.2,0.761036,0.8,0.861138,0.15,0.369125,0.1,0.639162,0.6,0.702728,0.116667,0.38281,0.3,0.602132,0.4,0.690648,0.1,0.329662,0.4,0.709035,0.6,0.855348,0.133333,0.276981,0.2,0.843429,1.0,0.848238,0.133333,0.30143,0.2
q0059,0.607488,0.4,0.811556,0.133333,0.250512,0.2,0.625594,0.4,0.851236,0.133333,0.338675,0.2,0.753715,0.8,0.760079,0.116667,0.465627,0.3,0.822089,0.8,0.889954,0.15,0.467908,0.1,0.713685,0.8,0.889954,0.15,0.345523,0.1,0.745324,0.8,0.811556,0.133333,0.282641,0.2,0.717695,0.8,0.681681,0.1,0.293971,0.4
q0060,0.362147,0.166667,0.630664,0.1,0.345744,0.4,0.356925,0.166667,0.602808,0.1,0.356717,0.4,0.65243,0.666667,0.652371,0.1,0.500175,0.4,0.799022,0.833333,0.791706,0.133333,0.539183,0.2,0.533648,0.5,0.607842,0.1,0.409397,0.4,0.510222,0.5,0.696918,0.116667,0.391819,0.3,0.595061,0.5,0.766349,0.133333,0.406539,0.2
q0061,0.388947,0.2,0.766349,0.133333,0.271198,0.2,0.391264,0.2,0.70974,0.116667,0.29084,0.3,0.45391,0.4,0.541588,0.083333,0.497804,0.5,0.546866,0.6,0.570404,0.083333,0.489072,0.5,0.481307,0.6,0.428365,0.066667,0.454976,0.6,0.508335,0.4,0.766349,0.133333,0.359431,0.2,0.611536,0.6,0.766349,0.133333,0.410164,0.2
q0062,0.538698,0.4,0.716485,0.116667,0.246195,0.3,0.595227,0.6,0.636376,0.1,0.255917,0.4,0.861087,1.0,0.811556,0.133333,0.323657,0.2,0.84457,1.0,0.811556,0.133333,0.325684,0.2,0.659116,0.6,0.787774,0.133333,0.258131,0.2,0.580475,0.6,0.719118,0.116667,0.258787,0.3,0.691655,0.8,0.713308,0.116667,0.272292,0.3
q0063,0.70171,0.5,1.0,0.166667,0.28396,0.0,0.701318,0.5,1.0,0.166667,0.323828,0.0,0.766752,0.666667,0.857205,0.133333,0.378972,0.2,0.771192,0.666667,0.857205,0.133333,0.396389,0.2,0.697845,0.5,0.933746,0.15,0.309558,0.1,0.786868,0.666667,1.0,0.166667,0.289109,0.0,0.765121,0.666667,0.936379,0.15,0.267113,0.1
q0064,0.350358,0.4,0.501428,0.1,0.271237,0.4,0.317482,0.4,0.372493,0.083333,0.299066,0.5,0.383047,0.6,0.362848,0.083333,0.361965,0.5,0.50319,0.8,0.436212,0.1,0.391326,0.4,0.412985,0.4,0.433055,0.083333,0.299143,0.5,0.440861,0.6,0.567682,0.116667,0.251973,0.3,0.586538,0.8,0.641046,0.133333,0.270556,0.2
