query_id,pool,n_relevant,C0_sample_only,C1_business_context,C2_context_plus_metadata,C3_narrow_objective,L0_pooled,L1_chunks
q00060,logistics,13,0.217261,0.328062,0.229796,0.293456,0.212226,0.293456
q00061,security,17,0.687017,0.583618,0.535254,0.790951,0.593361,0.866948
q00062,procurement,13,0.453743,0.422575,0.403502,0.078398,0.179931,0.094788
q00063,engineering,14,0.355777,0.343697,0.397672,0.407317,0.253295,0.473387
q00064,legal,20,0.857981,0.78855,0.608618,0.094788,0.18341,0.778807
q00065,engineering,14,0.355777,0.343697,0.397672,0.407317,0.253295,0.473387
q00066,security,19,0.492006,0.712552,0.712552,0.637152,0.473387,0.797517
q00067,logistics,18,0.249664,0.220092,0.283515,0.399569,0.129875,0.705905
q00068,security,18,0.349487,0.278198,0.289977,0.179931,0.0,0.449887
q00069,finance,11,0.330138,0.396392,0.330138,0.364744,0.0,0.138862
q00070,procurement,13,0.453743,0.422575,0.403502,0.078398,0.179931,0.094788
q00071,security,13,0.422575,0.425208,0.49464,0.425208,0.451865,0.523153
q00072,engineering,15,0.617764,0.63322,0.637152,0.762416,0.434175,0.72733
q00073,procurement,17,0.561911,0.503324,0.248908,0.453743,0.378783,0.705808
q00074,finance,11,0.535254,0.432318,0.542364,0.393278,0.248908,0.444097
q00075,procurement,13,0.327307,0.205117,0.315163,0.212226,0.212226,0.220092
q00076,security,12,0.648932,0.424926,0.532141,0.699474,0.378501,0.289977
q00077,legal,18,0.495459,0.620397,0.583715,0.642187,0.293456,0.397672
q00078,logistics,19,0.838957,0.471036,0.643121,0.63322,0.424926,0.561892
q00079,legal,14,0.617284,0.703407,0.617585,0.161043,0.0,0.567227
q00080,finance,20,0.78855,0.848238,0.790951,0.693761,0.212226,0.72733
q00081,logistics,13,0.217261,0.328062,0.229796,0.293456,0.212226,0.293456
q00082,legal,20,0.857981,0.78855,0.608618,0.094788,0.18341,0.778807
q00083,security,12,0.72733,0.432318,0.519997,0.72733,0.432318,0.364744
q00084,logistics,16,0.261808,0.220092,0.063621,0.220092,0.078398,0.642187
q00085,finance,15,0.637889,0.800694,0.800694,0.532141,0.703407,0.772838
q00086,legal,27,0.785916,0.642187,0.800694,0.563788,0.538431,0.325429
q00087,security,18,0.0,0.0,0.0,0.188444,0.110046,0.073364
q00088,engineering,15,0.715186,0.77216,0.760079,0.870125,0.632541,0.800694
q00089,security,19,0.066254,0.330138,0.330138,0.72733,0.283713,0.595762
q00090,finance,15,0.72733,0.778807,0.857981,0.620397,0.428385,0.722295
q00091,finance,18,0.699474,0.648932,0.72733,0.233651,0.330138,0.698796
q00092,procurement,16,0.453743,0.110046,0.233651,0.286346,0.0,0.138862
q00093,finance,14,0.639944,0.643768,0.535254,0.523174,0.188444,0.388244
q00094,security,12,0.648932,0.424926,0.532141,0.699474,0.378501,0.289977
q00095,engineering,15,0.627409,0.460813,0.466623,0.611474,0.538431,0.72733
q00096,engineering,14,0.627409,0.632541,0.698796,0.511171,0.608317,0.72733
q00097,logistics,13,0.519997,0.444097,0.428385,0.425208,0.495939,0.554143
q00098,logistics,18,0.094788,0.110046,0.136985,0.358954,0.063621,0.563788
q00099,finance,17,0.778807,0.522496,0.672239,0.547398,0.302404,0.478422
q00100,engineering,23,0.790951,0.72733,0.72733,0.72733,0.400023,0.72733
q00101,legal,27,0.921602,0.772062,0.784617,0.61225,0.586892,0.533075
q00102,legal,20,0.936379,0.841591,0.930569,0.848238,0.337208,0.857981
q00103,procurement,13,0.334051,0.138862,0.248908,0.138862,0.144652,0.220092
q00104,legal,15,0.863015,0.930569,0.914857,0.242618,0.29026,0.705808
q00105,engineering,16,0.510069,0.542364,0.542364,0.637152,0.469,0.648932
q00106,security,12,0.563788,0.535254,0.532621,0.29849,0.110046,0.224761
q00107,legal,18,0.542325,0.700095,0.921602,0.61683,0.399569,0.589428
q00108,legal,16,0.358954,0.220092,0.224006,0.289977,0.073364,0.094788
q00109,engineering,13,0.400023,0.312049,0.312049,0.444097,0.453743,0.469
q00110,logistics,15,0.517461,0.554143,0.523174,0.358954,0.078398,0.498572
q00111,procurement,17,0.566945,0.700773,0.517461,0.385413,0.535254,0.538431
q00112,finance,18,0.522496,0.542364,0.510069,0.396392,0.220092,0.532141
q00113,legal,20,0.78855,0.708441,0.726413,0.721802,0.620762,0.800694
q00114,procurement,20,0.560611,0.453743,0.31488,0.208294,0.208294,0.283713
q00115,engineering,14,0.400023,0.385048,0.356232,0.535254,0.432318,0.563788
q00116,security,13,0.422575,0.422575,0.422575,0.519997,0.383633,0.547853
q00117,security,17,0.358954,0.136985,0.161043,0.321951,0.094788,0.245731
q00118,engineering,15,0.623574,0.58875,0.59586,0.602052,0.507539,0.72733
q00119,finance,17,0.608618,0.59586,0.605985,0.158409,0.139618,0.268553
q00120,legal,9,0.730493,0.753762,0.471268,0.101229,0.31877,0.832111
q00121,security,12,0.648932,0.424926,0.532141,0.699474,0.378501,0.289977
q00122,legal,16,0.358954,0.220092,0.224006,0.289977,0.073364,0.094788
q00123,procurement,11,0.415281,0.0,0.0,0.305235,0.069431,0.063621
q00124,logistics,18,0.217261,0.110046,0.094788,0.358954,0.138862,0.542364
q00125,logistics,19,0.503324,0.510716,0.642187,0.580148,0.227938,0.784617
q00126,finance,14,0.598875,0.5573,0.469,0.469,0.073364,0.110046
q00127,engineering,22,0.696162,0.696938,0.769526,0.78855,0.715551,0.718363
q00128,engineering,14,0.722295,0.632541,0.696162,0.706584,0.538886,0.72733
q00129,logistics,18,0.239921,0.286346,0.374666,0.469,0.234407,0.775337
q00130,legal,18,0.495459,0.620397,0.583715,0.642187,0.293456,0.397672
q00131,finance,18,0.522496,0.542364,0.510069,0.396392,0.220092,0.532141
q00132,procurement,18,0.188444,0.305235,0.330138,0.595762,0.173187,0.63322
q00133,engineering,17,0.784617,0.933746,0.936379,1.0,0.855348,0.936379
q00134,security,24,0.731447,0.675416,0.712552,0.870125,0.677728,0.504061
q00135,finance,21,0.642187,0.691128,0.781805,0.61225,0.661831,0.72733
q00136,procurement,17,0.561911,0.503324,0.248908,0.453743,0.378783,0.705808
q00137,engineering,16,0.29849,0.330138,0.31488,0.358954,0.358954,0.358954
q00138,procurement,17,0.566945,0.700773,0.517461,0.385413,0.535254,0.538431
q00139,logistics,19,0.503324,0.510716,0.642187,0.580148,0.227938,0.784617
q00140,finance,11,0.429141,0.371854,0.425208,0.330138,0.0,0.138862
q00141,logistics,13,0.519997,0.444097,0.428385,0.425208,0.495939,0.554143
q00142,finance,15,0.796761,0.784617,0.800694,0.554143,0.691128,0.620762
q00143,engineering,14,1.0,0.718363,0.790951,0.781805,0.242618,0.507718
q00144,legal,27,0.921602,0.772062,0.784617,0.61225,0.586892,0.533075
q00145,logistics,16,0.538431,0.303082,0.293456,0.563788,0.188444,0.648932
q00146,engineering,13,0.327307,0.444097,0.453743,0.469,0.415281,0.469
q00147,engineering,23,0.790951,0.72733,0.72733,0.72733,0.400023,0.72733
q00148,procurement,17,0.484712,0.642187,0.538431,0.550966,0.593361,0.513529
q00149,finance,18,0.460813,0.59586,0.517363,0.0,0.094788,0.529898
q00150,finance,17,0.547398,0.462992,0.506784,0.574337,0.390927,0.527106
q00151,procurement,16,0.453743,0.538431,0.424926,0.220092,0.0,0.094788
q00152,logistics,16,0.110046,0.220092,0.110046,0.293456,0.0,0.523174
q00153,engineering,14,0.627409,0.632541,0.698796,0.511171,0.608317,0.72733
q00154,engineering,14,0.627409,0.632541,0.698796,0.511171,0.608317,0.72733
q00155,procurement,14,0.110046,0.139618,0.069431,0.0,0.094788,0.085143
q00156,engineering,16,0.330138,0.330138,0.358954,0.330138,0.358954,0.358954
q00157,logistics,20,0.357076,0.428385,0.478422,0.233651,0.144652,0.469454
q00158,finance,11,0.469,0.358954,0.358954,0.383633,0.224006,0.437352
q00159,procurement,20,0.073364,0.138862,0.0,0.085143,0.063621,0.0
q00160,procurement,16,0.0,0.0,0.138862,0.220092,0.069431,0.358954
q00161,security,13,0.422575,0.425208,0.49464,0.425208,0.451865,0.523153
q00162,logistics,16,0.204834,0.293456,0.286346,0.422575,0.29849,0.538886
q00163,finance,11,0.469,0.358954,0.523174,0.408536,0.204834,0.453743
q00164,legal,27,0.921602,0.772062,0.784617,0.61225,0.586892,0.533075
q00165,logistics,15,0.696938,0.563788,0.563788,0.554143,0.16422,0.538886
q00166,logistics,16,0.384311,0.305235,0.29849,0.378599,0.220092,0.469
q00167,engineering,10,0.322272,0.330138,0.330138,0.444097,0.220092,0.415281
q00168,engineering,15,0.617764,0.63322,0.637152,0.762416,0.434175,0.72733
q00169,legal,16,0.848603,0.790951,0.681681,0.547398,0.358954,0.68045
q00170,legal,16,0.29849,0.220092,0.217261,0.248908,0.0,0.0
q00171,logistics,18,0.094788,0.110046,0.136985,0.358954,0.063621,0.563788
q00172,security,13,0.469,0.161043,0.094788,0.563788,0.110046,0.623574
q00173,logistics,25,0.648932,0.586795,0.563788,0.675416,0.545156,0.608317
q00174,legal,15,0.337208,0.242618,0.243098,0.230474,0.151397,0.571635
q00175,finance,18,0.648932,0.648932,0.72733,0.415281,0.432318,0.642187
q00176,logistics,16,0.617764,0.343697,0.31488,0.538886,0.205117,0.447932
q00177,legal,10,0.672239,0.63322,0.580148,0.358954,0.179931,0.444097
q00178,finance,18,0.522496,0.542364,0.510069,0.396392,0.220092,0.532141
q00179,procurement,20,0.0,0.29849,0.168152,0.293456,0.208294,0.239441
q00180,finance,18,0.522496,0.542364,0.510069,0.396392,0.220092,0.532141
q00181,finance,18,0.777872,0.778807,0.632541,0.094788,0.239921,0.760559
q00182,logistics,19,0.1763,0.220092,0.220092,0.469,0.078398,0.0
q00183,legal,27,0.785916,0.642187,0.800694,0.563788,0.538431,0.325429
q00184,engineering,14,0.355777,0.343697,0.397672,0.407317,0.253295,0.473387
q00185,finance,21,0.78855,0.67587,0.637113,0.358954,0.0,0.510069
q00186,finance,14,0.598875,0.5573,0.469,0.469,0.073364,0.110046
q00187,logistics,13,0.217261,0.328062,0.229796,0.293456,0.212226,0.293456
q00188,legal,9,0.720793,0.753867,0.396729,0.0,0.239225,0.685819
q00189,logistics,18,0.217261,0.110046,0.094788,0.358954,0.138862,0.542364
q00190,security,12,0.648932,0.424926,0.532141,0.699474,0.378501,0.289977
q00191,logistics,13,0.715186,0.371854,0.357076,0.133052,0.224663,0.627507
q00192,logistics,19,0.784617,0.627507,0.653147,0.554143,0.439389,0.712374
q00193,logistics,25,0.642187,0.620397,0.630043,0.715186,0.513508,0.718363
q00194,security,24,0.731447,0.675416,0.712552,0.870125,0.677728,0.504061
q00195,procurement,16,0.453743,0.110046,0.233651,0.286346,0.0,0.138862
q00196,finance,21,0.715551,0.628165,0.78855,0.636474,0.58875,0.784617
q00197,legal,20,1.0,0.861138,0.724153,0.705808,0.135685,0.261808
q00198,procurement,13,0.327307,0.205117,0.315163,0.212226,0.212226,0.220092
q00199,security,19,0.220092,0.358954,0.358954,0.790951,0.220092,0.551331
