[chain] qa lme start Mon Sep  7 08:28:16 IST 2026
[mcb] part1_qa at 13e1ed8 seed=13 threads=1
[part1]   lme: 100/20036 answered (0s, USD 0.000)
[part1]   lme: 7800/20036 answered (0s, USD 0.000)
[part1]   lme: 7900/20036 answered (0s, USD 0.000)
[part1]   lme: 8000/20036 answered (0s, USD 0.000)
[part1]   lme: 8100/20036 answered (0s, USD 0.000)
[part1]   lme: 8200/20036 answered (0s, USD 0.000)
[part1]   lme: 8300/20036 answered (0s, USD 0.000)
[part1]   lme: 8400/20036 answered (0s, USD 0.000)
[part1]   lme: 8500/20036 answered (0s, USD 0.000)
[part1]   lme: 8600/20036 answered (0s, USD 0.000)
[part1]   lme: 8700/20036 answered (0s, USD 0.000)
[part1]   lme: 8800/20036 answered (0s, USD 0.000)
[part1]   lme: 8900/20036 answered (0s, USD 0.000)
[part1]   lme: 9000/20036 answered (0s, USD 0.000)
[part1]   lme: 9100/20036 answered (0s, USD 0.000)
[part1]   lme: 9200/20036 answered (0s, USD 0.000)
[part1]   lme: 9300/20036 answered (0s, USD 0.000)
[part1]   lme: 9400/20036 answered (0s, USD 0.000)
[part1]   lme: 9500/20036 answered (0s, USD 0.000)
[part1]   lme: 9600/20036 answered (0s, USD 0.000)
[part1]   lme: 9700/20036 answered (0s, USD 0.000)
[part1]   lme: 9800/20036 answered (0s, USD 0.000)
[part1]   lme: 9900/20036 answered (0s, USD 0.000)
[part1]   lme: 10000/20036 answered (0s, USD 0.000)
[part1]   lme: 10100/20036 answered (0s, USD 0.000)
[part1]   lme: 10200/20036 answered (0s, USD 0.000)
[part1]   lme: 10300/20036 answered (0s, USD 0.000)
[part1]   lme: 10400/20036 answered (0s, USD 0.000)
[part1]   lme: 10500/20036 answered (0s, USD 0.000)
[part1]   lme: 10600/20036 answered (0s, USD 0.000)
[part1]   lme: 10700/20036 answered (0s, USD 0.000)
[part1]   lme: 10800/20036 answered (0s, USD 0.000)
[part1]   lme: 10900/20036 answered (0s, USD 0.000)
[part1]   lme: 11000/20036 answered (0s, USD 0.000)
[part1]   lme: 11100/20036 answered (0s, USD 0.000)
[part1]   lme: 11200/20036 answered (0s, USD 0.000)
[part1]   lme: 11300/20036 answered (0s, USD 0.000)
[part1]   lme: 11400/20036 answered (0s, USD 0.000)
[part1]   lme: 11500/20036 answered (0s, USD 0.000)
[part1]   lme: 11600/20036 answered (0s, USD 0.000)
[part1]   lme: 11700/20036 answered (0s, USD 0.000)
[part1]   lme: 11800/20036 answered (0s, USD 0.000)
[part1]   lme: 11900/20036 answered (0s, USD 0.000)
[part1]   lme: 12000/20036 answered (0s, USD 0.000)
[part1]   lme: 12100/20036 answered (0s, USD 0.000)
[part1]   lme: 12200/20036 answered (0s, USD 0.000)
[part1]   lme: 12300/20036 answered (0s, USD 0.000)
[part1]   lme: 12400/20036 answered (0s, USD 0.000)
[part1]   lme: 12500/20036 answered (0s, USD 0.000)
[part1]   lme: 12600/20036 answered (0s, USD 0.000)
[part1]   lme: 12700/20036 answered (0s, USD 0.000)
[part1]   lme: 12800/20036 answered (0s, USD 0.000)
[part1]   lme: 12900/20036 answered (0s, USD 0.000)
[part1]   lme: 13000/20036 answered (0s, USD 0.000)
[part1]   lme: 13100/20036 answered (0s, USD 0.000)
[part1]   lme: 13200/20036 answered (0s, USD 0.000)
[part1]   lme: 13300/20036 answered (0s, USD 0.000)
[part1]   lme: 13400/20036 answered (0s, USD 0.000)
[part1]   lme: 13500/20036 answered (0s, USD 0.000)
[part1]   lme: 13600/20036 answered (0s, USD 0.000)
[part1]   lme: 13700/20036 answered (0s, USD 0.000)
[part1]   lme: 13800/20036 answered (0s, USD 0.000)
[part1]   lme: 13900/20036 answered (0s, USD 0.000)
[part1]   lme: 14000/20036 answered (0s, USD 0.000)
[part1]   lme: 14100/20036 answered (0s, USD 0.000)
[part1]   lme: 14200/20036 answered (0s, USD 0.000)
[part1]   lme: 14300/20036 answered (0s, USD 0.000)
[part1]   lme: 14400/20036 answered (0s, USD 0.000)
[part1]   lme: 14500/20036 answered (0s, USD 0.000)
[part1]   lme: 14600/20036 answered (0s, USD 0.000)
[part1]   lme: 14700/20036 answered (0s, USD 0.000)
[part1]   lme: 14800/20036 answered (0s, USD 0.000)
[part1]   lme: 14900/20036 answered (0s, USD 0.000)
[part1]   lme: 15000/20036 answered (0s, USD 0.000)
[part1]   lme: 15100/20036 answered (0s, USD 0.000)
[part1]   lme: 15200/20036 answered (0s, USD 0.000)
[part1]   lme: 15300/20036 answered (0s, USD 0.000)
[part1]   lme: 15400/20036 answered (0s, USD 0.000)
[part1]   lme: 15500/20036 answered (0s, USD 0.000)
[part1]   lme: 15600/20036 answered (0s, USD 0.000)
[part1]   lme: 15700/20036 answered (0s, USD 0.000)
[part1]   lme: 15800/20036 answered (0s, USD 0.000)
[part1]   lme: 15900/20036 answered (0s, USD 0.000)
[part1]   lme: 16000/20036 answered (0s, USD 0.000)
[part1]   lme: 16100/20036 answered (0s, USD 0.000)
[part1]   lme: 16200/20036 answered (0s, USD 0.000)
[part1]   lme: 16300/20036 answered (0s, USD 0.000)
[part1]   lme: 16400/20036 answered (0s, USD 0.000)
[part1]   lme: 16500/20036 answered (0s, USD 0.000)
[part1]   lme: 16600/20036 answered (0s, USD 0.000)
[part1]   lme: 16700/20036 answered (0s, USD 0.000)
[part1]   lme: 16800/20036 answered (0s, USD 0.000)
[part1]   lme: 16900/20036 answered (0s, USD 0.000)
[part1]   lme: 17000/20036 answered (0s, USD 0.000)
[part1]   lme: 17100/20036 answered (0s, USD 0.000)
[part1]   lme: 17200/20036 answered (0s, USD 0.000)
[part1]   lme: 17300/20036 answered (0s, USD 0.000)
[part1]   lme: 17400/20036 answered (0s, USD 0.000)
[part1]   lme: 17500/20036 answered (0s, USD 0.000)
[part1]   lme: 17600/20036 answered (0s, USD 0.000)
[part1]   lme: 17700/20036 answered (0s, USD 0.000)
[part1]   lme: 17800/20036 answered (0s, USD 0.000)
[part1]   lme: 17900/20036 answered (0s, USD 0.000)
[part1]   lme: 18000/20036 answered (0s, USD 0.000)
[part1]   lme: 18100/20036 answered (0s, USD 0.000)
[part1]   lme: 18200/20036 answered (0s, USD 0.000)
[part1]   lme: 18300/20036 answered (0s, USD 0.000)
[part1]   lme: 18400/20036 answered (0s, USD 0.000)
[part1]   lme: 18500/20036 answered (0s, USD 0.000)
[part1]   lme: 18600/20036 answered (0s, USD 0.000)
[part1]   lme: 18700/20036 answered (0s, USD 0.000)
[part1]   lme: 18800/20036 answered (0s, USD 0.000)
[part1]   lme: 18900/20036 answered (0s, USD 0.000)
[part1]   lme: 19000/20036 answered (0s, USD 0.000)
[part1]   lme: 19100/20036 answered (0s, USD 0.000)
[part1]   lme: 19200/20036 answered (0s, USD 0.000)
[part1]   lme: 19300/20036 answered (0s, USD 0.000)
[part1]   lme: 19400/20036 answered (0s, USD 0.000)
[part1]   lme: 19500/20036 answered (0s, USD 0.000)
[part1]   lme: 19600/20036 answered (0s, USD 0.000)
[part1]   lme: 19700/20036 answered (0s, USD 0.000)
[part1]   lme: 19800/20036 answered (0s, USD 0.000)
[part1]   lme: 19900/20036 answered (0s, USD 0.000)
[part1]   lme: 20000/20036 answered (0s, USD 0.000)
[part1] judging 20536 records: audit first
[part1]   audit n 1200, agreement 0.843, primary gpt-5.4
Direct use of automatic function calling (AFC) in Models.generate_content is not recommended. Instead, we recommend to use AFC in Chat.send_message. Similarly, direct use of AFC in Models.generate_content_stream is not recommended. Instead, we recommend to use AFC in Chat.send_message_stream.
[part1]   primary judged 11944, second judge on wrong answers 1806, USD 0.010
[part1]   cross-family column: gemini-2.5-flash-lite scored 945 Reader B records, USD 0.020
[part1]   lme chandan_own chandan_full_uncut     4000: all 0.692  n 500
[part1]   lme reader_a S2_lazy                4000: all 0.566  n 500
[part1]   lme reader_a S2_lazy                8000: all 0.522  n 500
[part1]   lme reader_a S4_static              4000: all 0.564  n 500
[part1]   lme reader_a S4_static              8000: all 0.524  n 500
[part1]   lme reader_a S5_noPGR               4000: all 0.55  n 500
[part1]   lme reader_a S5_noPGR               8000: all 0.544  n 500
[part1]   lme reader_a S5_overlay_P0          4000: all 0.536  n 500
[part1]   lme reader_a S5_overlay_P0          8000: all 0.544  n 500
[part1]   lme reader_a S5_overlay_R0          4000: all 0.558  n 500
[part1]   lme reader_a S5_overlay_R0          8000: all 0.524  n 500
[part1]   lme reader_a S5_overlay_R2          4000: all 0.536  n 500
[part1]   lme reader_a S5_overlay_R2          8000: all 0.534  n 500
[part1]   lme reader_a S5_planner_oracle      4000: all 0.546  n 500
[part1]   lme reader_a S5_planner_oracle      8000: all 0.526  n 500
[part1]   lme reader_a S5_planner_rules       4000: all 0.556  n 500
[part1]   lme reader_a S5_planner_rules       8000: all 0.518  n 500
[part1]   lme reader_a S5_primary             4000: all 0.542  n 500
[part1]   lme reader_a S5_primary             8000: all 0.526  n 500
[part1]   lme reader_a S5_primary_norule      4000: all 0.55  n 500
[part1]   lme reader_a S5_primary_norule      8000: all 0.574  n 500
[part1]   lme reader_a chandan_full           4000: all 0.448  n 500
[part1]   lme reader_a chandan_full           8000: all 0.512  n 500
[part1]   lme reader_a chandan_live           4000: all 0.466  n 500
[part1]   lme reader_a chandan_live           8000: all 0.536  n 500
[part1]   lme reader_a chandan_live_cal       4000: all 0.3888888888888889  n 18
[part1]   lme reader_a chandan_live_cal       8000: all 0.5555555555555556  n 18
[part1]   lme reader_a closed_book            4000: all 0.078  n 500
[part1]   lme reader_a closed_book            8000: all 0.078  n 500
[part1]   lme reader_a oracle_full            4000: all 0.62  n 500
[part1]   lme reader_a oracle_full            8000: all 0.62  n 500
[part1]   lme reader_a ours_cheap             4000: all 0.558  n 500
[part1]   lme reader_a ours_cheap             8000: all 0.55  n 500
[part1]   lme reader_a ours_cheap_norule      4000: all 0.532  n 500
[part1]   lme reader_a ours_cheap_norule      8000: all 0.542  n 500
[part1]   lme reader_a ours_sentence_norule   4000: all 0.56  n 500
[part1]   lme reader_a ours_sentence_norule   8000: all 0.546  n 500
[part1]   lme reader_b S5_primary             4000: all 0.832  n 500  cheap judge 0.828 agreement 0.96 (500 of 500)
[part1]   lme reader_b chandan_full           4000: all 0.618  n 500  cheap judge 0.66 agreement 0.934 (500 of 500)
[part1]   lme reader_b chandan_live           4000: all 0.624  n 500  cheap judge 0.666 agreement 0.934 (500 of 500)
[part1]   lme reader_b closed_book            4000: all 0.074  n 500  cheap judge 0.486 agreement 0.572 (500 of 500)
[part1]   lme reader_b oracle_full            4000: all 0.858  n 500  cheap judge 0.858 agreement 0.964 (500 of 500)
[part1]   lme reader_b ours_cheap             4000: all 0.844  n 500  cheap judge 0.834 agreement 0.954 (500 of 500)
[part1] qa done in 6.1 min, USD 0.0196
[chain] report start Mon Sep  7 08:34:24 IST 2026
[chain] report FAILED
