query_id,n_relevant,bm25_ndcg10,bm25_recall10,bm25_recall100,bm25_success10,bm25_judged10,dense-pooled_ndcg10,dense-pooled_recall10,dense-pooled_recall100,dense-pooled_success10,dense-pooled_judged10,dense-chunk_ndcg10,dense-chunk_recall10,dense-chunk_recall100,dense-chunk_success10,dense-chunk_judged10,dense-multicard-extractive_ndcg10,dense-multicard-extractive_recall10,dense-multicard-extractive_recall100,dense-multicard-extractive_success10,dense-multicard-extractive_judged10,dense-multicard-template_ndcg10,dense-multicard-template_recall10,dense-multicard-template_recall100,dense-multicard-template_success10,dense-multicard-template_judged10,dense-multicard-lossy_ndcg10,dense-multicard-lossy_recall10,dense-multicard-lossy_recall100,dense-multicard-lossy_success10,dense-multicard-lossy_judged10,hybrid-rrf_ndcg10,hybrid-rrf_recall10,hybrid-rrf_recall100,hybrid-rrf_success10,hybrid-rrf_judged10
53,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
54,1,0.333333,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1
56,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
57,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
70,2,1.0,1.0,1.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,0.306574,0.5,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.650921,1.0,1.0,1.0,0.2
72,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
75,1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.430677,1.0,1.0,1.0,0.1,0.386853,1.0,1.0,1.0,0.1,0.430677,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1
94,1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.289065,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
99,1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
100,1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.30103,1.0,1.0,1.0,0.1,0.30103,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
113,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
115,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
118,1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1
124,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
127,1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.289065,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1
128,1,0.5,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315465,1.0,1.0,1.0,0.1
129,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
130,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
132,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,5,0.244108,0.4,0.8,1.0,0.2,0.639945,0.6,1.0,1.0,0.3,0.490559,0.6,1.0,1.0,0.3,0.504378,0.6,1.0,1.0,0.3,0.514771,0.6,1.0,1.0,0.3,0.722727,0.6,1.0,1.0,0.3,0.820766,0.8,1.0,1.0,0.4
137,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
141,2,1.0,1.0,1.0,1.0,0.2,0.919721,1.0,1.0,1.0,0.2,0.831555,1.0,1.0,1.0,0.2,0.850345,1.0,1.0,1.0,0.2,0.850345,1.0,1.0,1.0,0.2,0.613147,0.5,1.0,1.0,0.1,0.877215,1.0,1.0,1.0,0.2
142,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
143,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
146,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
148,1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
163,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
171,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
179,4,0.698415,0.75,1.0,1.0,0.3,0.95583,1.0,1.0,1.0,0.4,0.949389,1.0,1.0,1.0,0.4,0.748676,1.0,1.0,1.0,0.4,0.748676,1.0,1.0,1.0,0.4,0.39038,0.25,0.5,1.0,0.1,0.580549,0.75,1.0,1.0,0.3
180,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
183,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1
185,1,0.430677,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.315465,1.0,1.0,1.0,0.1,0.315465,1.0,1.0,1.0,0.1,0.386853,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1
198,1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430677,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1
208,1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
212,1,0.430677,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1,0.333333,1.0,1.0,1.0,0.1,0.315465,1.0,1.0,1.0,0.1,0.430677,1.0,1.0,1.0,0.1,0.333333,1.0,1.0,1.0,0.1,0.386853,1.0,1.0,1.0,0.1
213,1,0.356207,1.0,1.0,1.0,0.1,0.386853,1.0,1.0,1.0,0.1,0.333333,1.0,1.0,1.0,0.1,0.333333,1.0,1.0,1.0,0.1,0.333333,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1
216,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
217,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
218,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
219,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
230,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
232,1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
233,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
236,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
237,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.386853,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
238,1,0.0,0.0,1.0,0.0,0.0,0.63093,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.430677,1.0,1.0,1.0,0.1,0.386853,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1
239,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
248,1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
249,1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
261,2,0.218407,0.5,0.5,1.0,0.1,0.204382,0.5,1.0,1.0,0.1,0.455605,1.0,1.0,1.0,0.2,0.218407,0.5,1.0,1.0,0.1,0.218407,0.5,1.0,1.0,0.1,0.264068,0.5,1.0,1.0,0.1,0.237198,0.5,1.0,1.0,0.1
268,1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.333333,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1
269,1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.315465,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1,0.333333,1.0,1.0,1.0,0.1,0.333333,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1
274,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
275,3,0.469279,0.333333,0.666667,1.0,0.1,0.679731,1.0,1.0,1.0,0.3,0.798861,1.0,1.0,1.0,0.3,0.765361,0.666667,1.0,1.0,0.2,0.765361,0.666667,1.0,1.0,0.2,0.678762,1.0,1.0,1.0,0.3,0.636439,0.666667,1.0,1.0,0.2
279,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
294,1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
295,1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.430677,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
298,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
300,1,0.430677,1.0,1.0,1.0,0.1,0.430677,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.430677,1.0,1.0,1.0,0.1
303,1,0.63093,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
312,1,0.386853,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
314,1,0.430677,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.356207,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333333,1.0,1.0,1.0,0.1,0.356207,1.0,1.0,1.0,0.1
324,1,0.0,0.0,1.0,0.0,0.0,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1
327,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
338,1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
343,2,0.650921,1.0,1.0,1.0,0.2,0.831555,1.0,1.0,1.0,0.2,0.919721,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.2,0.81753,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.2
350,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
354,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
362,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
380,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1
384,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.356207,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.289065,1.0,1.0,1.0,0.1
385,2,0.306574,0.5,1.0,1.0,0.1,0.693426,1.0,1.0,1.0,0.2,0.693426,1.0,1.0,1.0,0.2,0.570642,1.0,1.0,1.0,0.2,0.543771,1.0,1.0,1.0,0.2,0.693426,1.0,1.0,1.0,0.2,0.693426,1.0,1.0,1.0,0.2
386,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
388,1,0.5,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.63093,1.0,1.0,1.0,0.1
399,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
410,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
411,1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1
415,1,0.356207,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.430677,1.0,1.0,1.0,0.1,0.315465,1.0,1.0,1.0,0.1,0.315465,1.0,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.386853,1.0,1.0,1.0,0.1
421,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
