query_id,pool,n_relevant,random,relevance,stratified,corpus,minority
q00071,research,6,0.419665,0.876016,0.650232,skewed,1
q00072,engineering,33,1.0,1.0,1.0,skewed,0
q00073,finance,78,1.0,1.0,1.0,skewed,0
q00074,finance,71,0.905212,0.926636,1.0,skewed,0
q00075,facilities,16,0.772838,0.841591,0.933746,skewed,1
q00076,finance,74,1.0,1.0,1.0,skewed,0
q00077,engineering,47,1.0,1.0,1.0,skewed,0
q00078,procurement,4,0.503225,0.970929,0.80481,skewed,1
q00079,engineering,43,1.0,1.0,1.0,skewed,0
q00080,engineering,43,1.0,1.0,1.0,skewed,0
q00081,security,6,1.0,1.0,0.752614,skewed,1
q00082,procurement,4,0.39038,0.831872,0.831872,skewed,1
q00083,logistics,102,1.0,0.602808,0.700773,skewed,0
q00084,security,1,0.5,0.0,0.0,skewed,1
q00085,legal,111,1.0,1.0,1.0,skewed,0
q00086,personnel,25,0.738192,1.0,0.936379,skewed,0
q00087,legal,135,1.0,1.0,1.0,skewed,0
q00088,facilities,6,0.282013,0.390074,0.584227,skewed,1
q00089,personnel,35,1.0,0.793584,0.936379,skewed,0
q00090,engineering,43,1.0,1.0,1.0,skewed,0
q00091,marketing,21,0.208273,0.129875,0.0,skewed,1
q00092,marketing,16,0.72733,0.800694,0.870125,skewed,1
q00093,research,8,0.510383,0.252943,0.343043,skewed,1
q00094,procurement,1,0.0,1.0,1.0,skewed,1
q00095,research,1,0.0,0.356207,0.0,skewed,1
q00096,procurement,1,0.0,0.0,0.0,skewed,1
q00097,research,10,0.838957,0.718363,0.793584,skewed,1
q00098,legal,105,0.627507,0.645755,0.668761,skewed,0
q00099,research,6,0.623847,0.658438,0.281625,skewed,1
q00100,research,12,0.637152,0.547853,0.590049,skewed,1
q00101,facilities,7,0.53105,0.646266,0.810462,skewed,1
q00102,security,1,0.333333,0.430677,1.0,skewed,1
q00103,security,5,0.539297,0.425079,0.874094,skewed,1
q00104,personnel,20,0.855348,1.0,1.0,skewed,0
q00105,engineering,43,1.0,1.0,1.0,skewed,0
q00106,research,8,0.676302,0.600483,0.709972,skewed,1
q00107,finance,72,1.0,0.826813,0.926636,skewed,0
q00108,marketing,20,0.926636,0.563788,0.305235,skewed,1
q00109,procurement,3,0.296082,0.0,0.296082,skewed,1
q00110,procurement,1,1.0,1.0,1.0,skewed,1
q00111,facilities,9,0.776747,0.670142,0.528247,skewed,1
q00112,finance,71,0.905212,0.926636,1.0,skewed,0
q00113,marketing,20,0.563788,0.936379,0.591927,skewed,1
q00114,legal,131,0.921602,0.826813,0.921602,skewed,0
q00115,legal,131,0.921602,0.826813,0.921602,skewed,0
q00116,facilities,8,0.539003,0.361879,0.496846,skewed,1
q00117,finance,72,1.0,0.826813,0.926636,skewed,0
q00118,logistics,106,0.914857,0.926636,0.800694,skewed,0
q00119,facilities,16,0.772838,0.841591,0.933746,skewed,1
q00120,research,3,0.636439,0.469279,0.604931,skewed,1
q00121,security,4,0.910853,0.787702,0.513531,skewed,1
q00122,finance,79,1.0,1.0,1.0,skewed,0
q00123,facilities,9,0.776747,0.685819,0.557996,skewed,1
q00124,legal,135,1.0,1.0,1.0,skewed,0
q00125,procurement,2,0.613147,0.613147,0.806574,skewed,1
q00126,personnel,25,0.936379,1.0,0.870125,skewed,0
q00127,engineering,37,1.0,1.0,1.0,skewed,0
q00128,finance,72,1.0,0.650513,1.0,skewed,0
q00129,personnel,32,1.0,1.0,0.933746,skewed,0
q00130,personnel,39,0.621499,0.613653,0.513508,skewed,0
q00131,logistics,106,0.914857,0.926636,0.800694,skewed,0
q00132,personnel,25,0.738192,1.0,0.936379,skewed,0
q00133,legal,120,0.921602,0.905212,0.926636,skewed,0
q00134,personnel,30,0.870125,0.790951,0.632541,skewed,0
q00135,engineering,43,1.0,1.0,1.0,skewed,0
q00136,finance,59,1.0,1.0,1.0,skewed,0
q00137,research,7,0.592973,0.704125,0.677368,skewed,1
q00138,finance,78,1.0,1.0,1.0,skewed,0
q00139,logistics,93,1.0,1.0,0.870125,skewed,0
q00140,engineering,43,1.0,1.0,1.0,skewed,0
q00141,facilities,10,0.642187,0.611019,0.662114,skewed,1
q00142,security,5,0.539297,0.548251,0.866337,skewed,1
q00143,personnel,27,0.681206,0.785916,0.870125,skewed,0
q00144,personnel,25,0.738192,1.0,0.936379,skewed,0
q00145,legal,112,0.148764,0.0,0.0,skewed,0
q00146,logistics,102,1.0,0.690194,1.0,skewed,0
q00147,procurement,2,0.613147,0.613147,0.806574,skewed,1
q00148,legal,112,0.705808,0.246551,0.378599,skewed,0
q00149,research,6,0.657778,0.524019,0.453904,skewed,1
q00150,security,2,0.790386,0.0,0.0,skewed,1
q00151,security,5,0.544193,0.539297,0.87529,skewed,1
q00152,logistics,102,1.0,1.0,1.0,skewed,0
q00153,legal,135,1.0,1.0,1.0,skewed,0
q00154,procurement,4,0.60962,0.636682,0.441492,skewed,1
q00155,legal,135,1.0,1.0,1.0,skewed,0
q00156,facilities,11,1.0,0.796761,0.930569,skewed,1
q00157,personnel,16,0.650513,0.538431,0.542364,skewed,0
q00158,engineering,43,1.0,1.0,1.0,skewed,0
q00159,research,1,1.0,0.0,1.0,skewed,1
q00160,facilities,9,0.776747,0.685819,0.557996,skewed,1
q00161,logistics,91,0.751092,0.791727,0.857205,skewed,0
q00162,facilities,15,1.0,0.699474,0.836459,skewed,1
q00163,logistics,111,0.848603,0.596517,0.933746,skewed,0
q00164,finance,72,1.0,0.826813,0.926636,skewed,0
q00165,finance,59,1.0,0.930569,1.0,skewed,0
q00166,finance,59,0.926636,0.669126,1.0,skewed,0
q00167,logistics,88,0.914857,0.778807,0.800694,skewed,0
q00168,research,10,0.838957,0.718363,0.793584,skewed,1
q00169,marketing,17,0.933746,0.627409,0.383633,skewed,1
q00170,facilities,16,0.933746,0.933746,1.0,skewed,1
q00171,personnel,27,0.698796,0.547398,0.936379,skewed,0
q00172,procurement,4,0.5414,0.866716,0.926758,skewed,1
q00173,legal,146,1.0,1.0,1.0,skewed,0
q00174,personnel,25,0.936379,1.0,0.870125,skewed,0
q00175,research,8,0.73804,0.64794,0.703634,skewed,1
q00176,personnel,38,0.820523,1.0,1.0,skewed,0
q00177,security,1,0.430677,0.0,0.0,skewed,1
q00178,legal,106,1.0,1.0,1.0,skewed,0
q00179,finance,65,0.489931,0.444097,1.0,skewed,0
q00180,research,3,0.650821,0.61732,0.61732,skewed,1
q00181,finance,82,1.0,1.0,1.0,skewed,0
q00182,personnel,25,0.738192,1.0,0.936379,skewed,0
q00183,logistics,93,1.0,1.0,0.870125,skewed,0
q00184,research,8,0.319722,0.252943,0.199588,skewed,1
q00185,procurement,4,0.123151,0.0,0.0,skewed,1
q00186,logistics,93,1.0,1.0,0.870125,skewed,0
q00187,legal,106,1.0,1.0,1.0,skewed,0
q00188,procurement,4,0.0,0.636682,0.636682,skewed,1
q00189,marketing,17,0.870125,0.63322,0.29849,skewed,1
q00190,marketing,17,0.870125,0.63322,0.29849,skewed,1
q00191,security,6,1.0,0.862755,0.740285,skewed,1
q00192,logistics,100,1.0,1.0,1.0,skewed,0
q00193,security,1,0.0,0.0,1.0,skewed,1
q00194,research,6,0.419665,0.876016,0.650232,skewed,1
q00195,personnel,33,0.855348,0.343697,1.0,skewed,0
q00196,logistics,93,1.0,1.0,1.0,skewed,0
q00197,personnel,25,0.870125,1.0,1.0,skewed,0
q00198,finance,82,1.0,1.0,1.0,skewed,0
q00199,logistics,93,0.836459,0.621697,0.358954,skewed,0
q00000,finance,28,0.425208,0.283713,0.469,balanced,0
q00001,security,32,0.870125,1.0,1.0,balanced,1
q00002,engineering,45,1.0,1.0,1.0,balanced,0
q00003,logistics,35,0.563788,0.936379,1.0,balanced,0
q00004,personnel,44,0.763193,0.914857,1.0,balanced,0
q00005,facilities,37,1.0,1.0,1.0,balanced,1
q00006,facilities,46,1.0,0.860382,1.0,balanced,1
q00007,personnel,39,0.793584,0.781805,0.863015,balanced,0
q00008,research,45,0.411533,0.572756,0.506784,balanced,1
q00009,research,48,0.283713,1.0,0.860382,balanced,1
q00010,security,42,0.848238,0.863015,0.936379,balanced,1
q00011,logistics,44,0.852171,0.72733,0.469,balanced,0
q00012,research,49,0.864315,1.0,1.0,balanced,1
q00013,finance,42,1.0,1.0,1.0,balanced,0
q00014,logistics,44,0.863015,0.930569,0.77216,balanced,0
q00015,research,40,0.513529,1.0,0.936379,balanced,1
q00016,marketing,44,0.138862,0.31488,0.066254,balanced,1
q00017,security,50,0.936379,1.0,0.70151,balanced,1
q00018,research,41,0.778807,0.772838,0.870125,balanced,1
q00019,logistics,41,0.930569,1.0,0.0,balanced,0
q00020,procurement,46,0.0,0.094788,0.415281,balanced,1
q00021,logistics,45,1.0,1.0,1.0,balanced,0
q00022,logistics,41,0.686715,0.72733,0.696162,balanced,0
q00023,procurement,51,0.800694,1.0,0.936379,balanced,1
q00024,legal,34,0.775239,0.841493,0.936379,balanced,0
q00025,research,48,0.283713,1.0,0.852171,balanced,1
q00026,personnel,44,0.857205,1.0,1.0,balanced,0
q00027,logistics,35,0.367921,0.72733,0.790951,balanced,0
q00028,facilities,46,0.358954,0.539641,1.0,balanced,1
q00029,personnel,51,1.0,1.0,1.0,balanced,0
q00030,security,39,1.0,1.0,1.0,balanced,1
q00031,research,32,0.598395,1.0,0.933746,balanced,1
q00032,engineering,40,1.0,1.0,1.0,balanced,0
q00033,logistics,42,0.8237,0.693663,1.0,balanced,0
q00034,procurement,35,0.870125,1.0,0.936379,balanced,1
q00035,finance,35,0.55826,0.5573,0.767027,balanced,0
q00036,marketing,46,1.0,0.637152,0.069431,balanced,1
q00037,procurement,34,0.690194,1.0,1.0,balanced,1
q00038,personnel,44,0.857205,1.0,1.0,balanced,0
q00039,finance,42,1.0,0.936379,1.0,balanced,0
q00040,facilities,49,1.0,1.0,1.0,balanced,1
q00041,engineering,34,1.0,1.0,1.0,balanced,0
q00042,procurement,34,0.473387,0.863015,0.936379,balanced,1
q00043,personnel,48,0.855348,0.870125,0.905212,balanced,0
q00044,personnel,46,0.863015,0.841493,1.0,balanced,0
q00045,legal,39,0.539987,0.411533,0.779908,balanced,0
q00046,finance,42,1.0,0.791727,1.0,balanced,0
q00047,personnel,44,1.0,0.933746,1.0,balanced,0
q00048,security,49,1.0,1.0,1.0,balanced,1
q00049,security,50,0.936379,1.0,0.70151,balanced,1
q00050,legal,34,0.791727,0.926636,0.864315,balanced,0
q00051,finance,28,0.59586,0.476749,0.936379,balanced,0
q00052,marketing,49,0.72733,0.770204,0.767027,balanced,1
q00053,legal,30,0.424926,0.232973,0.432773,balanced,0
q00054,marketing,30,0.437352,0.627409,0.407415,balanced,1
q00055,legal,44,0.820069,0.645755,0.725452,balanced,0
q00056,logistics,35,0.78855,1.0,1.0,balanced,0
q00057,legal,30,1.0,1.0,1.0,balanced,0
q00058,legal,45,0.864315,0.936379,0.930569,balanced,0
q00059,personnel,42,0.83578,0.936379,0.838957,balanced,0
q00060,legal,30,1.0,1.0,1.0,balanced,0
q00061,finance,42,1.0,1.0,1.0,balanced,0
q00062,procurement,35,0.930569,0.860382,1.0,balanced,1
q00063,marketing,30,0.437352,0.627409,0.407415,balanced,1
q00064,legal,30,1.0,1.0,1.0,balanced,0
q00065,research,40,0.775239,1.0,1.0,balanced,1
q00066,procurement,48,0.74167,0.936379,1.0,balanced,1
q00067,legal,39,0.539987,0.411533,0.779908,balanced,0
q00068,finance,41,1.0,0.848603,0.930569,balanced,0
q00069,procurement,44,1.0,1.0,1.0,balanced,1
q00070,research,41,0.83578,0.936379,1.0,balanced,1
q00071,logistics,33,0.763095,0.148764,0.522496,balanced,0
q00072,finance,52,1.0,1.0,1.0,balanced,0
q00073,logistics,45,1.0,1.0,0.933746,balanced,0
q00074,finance,42,1.0,1.0,1.0,balanced,0
q00075,logistics,39,1.0,1.0,1.0,balanced,0
q00076,security,39,1.0,1.0,1.0,balanced,1
q00077,research,50,0.845426,0.422575,0.836459,balanced,1
q00078,logistics,39,0.746705,1.0,0.715186,balanced,0
q00079,finance,42,0.863015,0.775239,1.0,balanced,0
q00080,security,36,1.0,1.0,0.870125,balanced,1
q00081,marketing,42,0.492762,0.453743,0.583715,balanced,1
q00082,engineering,43,1.0,1.0,1.0,balanced,0
q00083,security,36,0.855348,0.620397,0.4427,balanced,1
q00084,security,33,0.870125,1.0,1.0,balanced,1
q00085,marketing,43,1.0,0.60514,0.538886,balanced,1
q00086,legal,43,0.781984,0.933746,0.930569,balanced,0
q00087,research,38,0.718363,1.0,0.936379,balanced,1
q00088,security,50,0.936379,1.0,0.70151,balanced,1
q00089,security,50,0.592683,0.72733,1.0,balanced,1
q00090,personnel,51,1.0,1.0,1.0,balanced,0
q00091,marketing,44,0.138862,0.173667,0.860382,balanced,1
q00092,legal,30,0.627507,0.652864,0.61683,balanced,0
q00093,research,38,0.706584,1.0,0.936379,balanced,1
q00094,facilities,36,1.0,1.0,1.0,balanced,1
q00095,research,30,0.330138,1.0,0.428385,balanced,1
q00096,security,37,1.0,1.0,1.0,balanced,1
q00097,procurement,48,0.253295,0.492762,0.456997,balanced,1
q00098,facilities,30,0.750336,1.0,0.930569,balanced,1
q00099,finance,28,0.351068,0.501749,0.306337,balanced,0
q00100,logistics,33,1.0,1.0,0.693761,balanced,0
q00101,logistics,39,1.0,1.0,1.0,balanced,0
q00102,security,32,0.800694,0.870125,1.0,balanced,1
q00103,legal,52,0.905212,0.860382,1.0,balanced,0
q00104,personnel,43,0.781984,1.0,0.767027,balanced,0
q00105,research,38,0.706584,1.0,0.936379,balanced,1
q00106,engineering,48,1.0,1.0,1.0,balanced,0
q00107,personnel,48,0.747935,1.0,1.0,balanced,0
q00108,marketing,42,1.0,0.936379,0.796761,balanced,1
q00109,legal,52,0.905212,1.0,1.0,balanced,0
q00110,facilities,49,1.0,1.0,1.0,balanced,1
q00111,research,48,0.358954,1.0,0.800694,balanced,1
q00112,research,33,0.870125,0.220092,0.592683,balanced,1
q00113,research,45,0.530244,0.889954,0.820069,balanced,1
q00114,security,40,1.0,1.0,1.0,balanced,1
q00115,security,37,0.936379,1.0,0.905212,balanced,1
q00116,finance,36,0.933746,1.0,0.785916,balanced,0
q00117,security,29,0.933746,0.72733,0.848238,balanced,1
q00118,engineering,40,1.0,1.0,1.0,balanced,0
q00119,security,40,1.0,1.0,1.0,balanced,1
q00120,engineering,31,0.712552,0.936379,0.933746,balanced,0
q00121,facilities,46,0.110046,0.696162,0.563788,balanced,1
q00122,engineering,37,1.0,1.0,1.0,balanced,0
q00123,facilities,46,0.110046,0.696162,0.563788,balanced,1
q00124,legal,44,0.706563,0.480681,0.413128,balanced,0
q00125,legal,45,0.936379,0.845426,0.860382,balanced,0
q00126,procurement,35,1.0,1.0,1.0,balanced,1
q00127,finance,35,0.848603,0.674936,1.0,balanced,0
q00128,logistics,39,0.72733,0.699474,0.936379,balanced,0
q00129,research,45,0.411533,0.572756,0.506784,balanced,1
q00130,personnel,46,0.863015,0.841493,1.0,balanced,0
q00131,marketing,43,1.0,0.60514,0.538886,balanced,1
q00132,research,32,0.690194,1.0,0.627409,balanced,1
q00133,finance,43,0.936379,1.0,1.0,balanced,0
q00134,finance,41,1.0,0.933746,1.0,balanced,0
q00135,research,40,0.775239,1.0,1.0,balanced,1
q00136,security,33,0.848238,0.870125,1.0,balanced,1
q00137,security,36,0.855348,0.620397,0.4427,balanced,1
q00138,facilities,58,1.0,1.0,1.0,balanced,1
q00139,engineering,40,1.0,1.0,1.0,balanced,0
q00140,finance,41,1.0,0.870125,1.0,balanced,0
q00141,research,44,0.469,0.68166,0.933746,balanced,1
q00142,legal,34,0.747159,0.83578,1.0,balanced,0
q00143,engineering,34,1.0,1.0,1.0,balanced,0
q00144,engineering,41,1.0,1.0,1.0,balanced,0
q00145,personnel,42,0.752969,0.518119,0.719118,balanced,0
q00146,personnel,48,0.78855,0.921602,0.921602,balanced,0
q00147,finance,35,0.848603,0.674936,1.0,balanced,0
q00148,finance,52,0.775337,0.562193,0.642187,balanced,0
q00149,marketing,46,0.453743,0.302404,0.0,balanced,1
q00150,finance,42,0.863015,0.775239,1.0,balanced,0
q00151,security,36,0.936379,0.933746,0.791706,balanced,1
q00152,legal,45,0.864315,0.936379,0.930569,balanced,0
q00153,finance,28,0.59586,0.476749,0.936379,balanced,0
q00154,security,49,1.0,1.0,1.0,balanced,1
q00155,facilities,58,1.0,1.0,1.0,balanced,1
q00156,logistics,35,0.563788,0.936379,1.0,balanced,0
q00157,logistics,32,0.763095,0.936379,0.857981,balanced,0
q00158,engineering,40,1.0,1.0,1.0,balanced,0
q00159,procurement,45,0.860382,1.0,1.0,balanced,1
q00160,finance,52,1.0,1.0,1.0,balanced,0
q00161,marketing,33,0.72733,0.699474,0.933746,balanced,1
q00162,finance,28,0.59586,0.476749,0.936379,balanced,0
q00163,personnel,44,0.760079,1.0,1.0,balanced,0
q00164,personnel,48,0.930569,1.0,1.0,balanced,0
q00165,procurement,46,1.0,1.0,1.0,balanced,1
q00166,facilities,58,1.0,1.0,1.0,balanced,1
q00167,legal,33,1.0,0.936379,1.0,balanced,0
q00168,finance,54,1.0,1.0,1.0,balanced,0
q00169,logistics,33,0.848238,1.0,0.930569,balanced,0
q00170,security,29,0.870125,0.563788,0.870125,balanced,1
q00171,procurement,36,0.933746,1.0,1.0,balanced,1
q00172,research,33,0.870125,0.358954,0.784617,balanced,1
q00173,security,34,1.0,1.0,1.0,balanced,1
q00174,finance,42,0.863015,0.775239,1.0,balanced,0
q00175,legal,30,0.627507,0.652864,0.61683,balanced,0
q00176,logistics,41,1.0,1.0,1.0,balanced,0
q00177,facilities,41,0.936379,0.863015,1.0,balanced,1
q00178,marketing,38,0.72733,0.78855,0.933746,balanced,1
q00179,facilities,44,1.0,1.0,1.0,balanced,1
q00180,procurement,48,0.74167,0.936379,1.0,balanced,1
q00181,facilities,44,1.0,1.0,1.0,balanced,1
q00182,finance,54,1.0,1.0,1.0,balanced,0
q00183,finance,41,1.0,0.870125,1.0,balanced,0
q00184,procurement,46,0.0,0.094788,0.0,balanced,1
q00185,finance,35,0.55826,0.5573,0.767027,balanced,0
q00186,security,42,0.863015,0.921602,0.621499,balanced,1
q00187,facilities,30,0.378501,0.777872,0.425208,balanced,1
q00188,personnel,51,0.933746,1.0,1.0,balanced,0
q00189,engineering,32,0.921602,0.864315,0.800694,balanced,0
q00190,security,40,0.936379,0.936379,0.855348,balanced,1
q00191,engineering,34,1.0,1.0,1.0,balanced,0
q00192,marketing,42,1.0,0.936379,0.796761,balanced,1
q00193,security,34,1.0,1.0,1.0,balanced,1
q00194,security,31,0.936379,1.0,1.0,balanced,1
q00195,marketing,37,0.936379,0.926636,0.933746,balanced,1
q00196,marketing,42,0.905212,0.693663,0.371835,balanced,1
q00197,research,48,0.283713,1.0,0.852171,balanced,1
q00198,security,36,1.0,1.0,1.0,balanced,1
q00199,facilities,30,0.933746,1.0,0.699474,balanced,1
