qid,qtype,arm,budget,variants,joint_recall,candidate_joint_recall,session_joint_recall,turn_r10,turn_ndcg10,sess_r5,rendered_tokens,duplicate_share,n_candidates,n_rendered,n_truncated,truncated_evidence,missing,cut_evidence
gpt4_a1b77f9c,temporal-reasoning,S5_overlay_R2,4000,,1.0,1.0,1.0,0.8333333333333334,0.654545534692224,0.8333333333333334,2839,0.0,43,43,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_overlay_P0,4000,,1.0,1.0,1.0,0.6666666666666666,0.5547450991557722,0.8333333333333334,2729,0.0,42,42,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S2_lazy,4000,,1.0,1.0,1.0,0.8333333333333334,0.6581662238142739,0.8333333333333334,2779,0.0,42,42,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,ours_cheap,8000,,1.0,1.0,1.0,1.0,0.7686741786309024,0.8333333333333334,4826,0.0,46,78,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,ours_cheap_norule,8000,,1.0,1.0,1.0,0.8333333333333334,0.5852404021106663,0.8333333333333334,8000,0.0,100,32,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,ours_sentence_norule,8000,,1.0,1.0,1.0,0.6666666666666666,0.4941479988872082,0.8333333333333334,8000,0.0,100,30,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S4_static,8000,,1.0,1.0,1.0,0.8333333333333334,0.6581662238142739,0.8333333333333334,2779,0.0,42,42,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_primary,8000,,1.0,1.0,1.0,0.8333333333333334,0.654545534692224,0.8333333333333334,2839,0.0,43,43,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_primary_norule,8000,,0.0,1.0,1.0,0.6666666666666666,0.4210450676257571,0.8333333333333334,8000,0.0,100,25,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_noPGR,8000,,1.0,1.0,1.0,0.6666666666666666,0.6508562437134188,0.8333333333333334,2489,0.0,37,37,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_planner_rules,8000,,1.0,1.0,1.0,0.8333333333333334,0.654545534692224,0.8333333333333334,2839,0.0,43,43,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_planner_oracle,8000,,1.0,1.0,1.0,0.8333333333333334,0.654545534692224,0.8333333333333334,2839,0.0,43,43,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_overlay_R0,8000,,1.0,1.0,1.0,0.8333333333333334,0.654545534692224,0.8333333333333334,2839,0.0,43,43,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_overlay_R2,8000,,1.0,1.0,1.0,0.8333333333333334,0.654545534692224,0.8333333333333334,2839,0.0,43,43,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_overlay_P0,8000,,1.0,1.0,1.0,0.6666666666666666,0.5547450991557722,0.8333333333333334,2729,0.0,42,42,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S2_lazy,8000,,1.0,1.0,1.0,0.8333333333333334,0.6581662238142739,0.8333333333333334,2779,0.0,42,42,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,chandan_live,4000,"shipped,raised_4k",0.0,1.0,0.0,0.16666666666666666,0.30260241349881345,0.8333333333333334,4000,0.0,227,2,1,1,False,0
gpt4_a1b77f9c,temporal-reasoning,chandan_full,4000,shipped,0.0,1.0,0.0,0.16666666666666666,0.30260241349881345,0.8333333333333334,4000,0.0,227,2,1,1,False,0
gpt4_a1b77f9c,temporal-reasoning,chandan_live,8000,"shipped,raised_8k",0.0,1.0,0.0,0.16666666666666666,0.30260241349881345,0.8333333333333334,8000,0.0,227,3,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,chandan_full,8000,shipped,0.0,1.0,0.0,0.16666666666666666,0.30260241349881345,0.8333333333333334,8000,0.0,227,3,1,0,False,0
6b7dfb22,single-session-preference,ours_cheap,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,100,30,1,0,False,0
6b7dfb22,single-session-preference,ours_cheap_norule,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,100,30,1,0,False,0
6b7dfb22,single-session-preference,ours_sentence_norule,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,100,29,1,0,False,0
6b7dfb22,single-session-preference,S4_static,4000,,1.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,17,1,0,False,0
6b7dfb22,single-session-preference,S5_primary,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,19,1,0,False,0
6b7dfb22,single-session-preference,S5_primary_norule,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,19,1,0,False,0
6b7dfb22,single-session-preference,S5_noPGR,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,20,1,0,False,0
6b7dfb22,single-session-preference,S5_planner_rules,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,19,1,0,False,0
6b7dfb22,single-session-preference,S5_planner_oracle,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,19,1,0,False,0
6b7dfb22,single-session-preference,S5_overlay_R0,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,15,1,0,False,0
6b7dfb22,single-session-preference,S5_overlay_R2,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,15,1,0,False,0
6b7dfb22,single-session-preference,S5_overlay_P0,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,18,1,0,False,0
6b7dfb22,single-session-preference,S2_lazy,4000,,1.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,17,1,0,False,0
6b7dfb22,single-session-preference,ours_cheap,8000,,1.0,1.0,1.0,1.0,1.0,1.0,7999,0.0,100,50,0,0,False,0
6b7dfb22,single-session-preference,ours_cheap_norule,8000,,1.0,1.0,1.0,1.0,1.0,1.0,7999,0.0,100,50,0,0,False,0
6b7dfb22,single-session-preference,ours_sentence_norule,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,100,52,1,0,False,0
6b7dfb22,single-session-preference,S4_static,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,35,1,0,False,0
6b7dfb22,single-session-preference,S5_primary,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,33,1,0,False,0
6b7dfb22,single-session-preference,S5_primary_norule,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,33,1,0,False,0
6b7dfb22,single-session-preference,S5_noPGR,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,36,1,0,False,0
6b7dfb22,single-session-preference,S5_planner_rules,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,33,1,0,False,0
6b7dfb22,single-session-preference,S5_planner_oracle,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,33,1,0,False,0
6b7dfb22,single-session-preference,S5_overlay_R0,8000,,0.0,1.0,1.0,0.0,0.0,1.0,7991,0.0,100,30,0,0,False,0
6b7dfb22,single-session-preference,S5_overlay_R2,8000,,0.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,31,1,0,False,0
6b7dfb22,single-session-preference,S5_overlay_P0,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,35,1,0,False,0
6b7dfb22,single-session-preference,S2_lazy,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,35,1,0,False,0
6b7dfb22,single-session-preference,chandan_live,4000,"shipped,raised_4k",0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,254,1,1,0,False,0
6b7dfb22,single-session-preference,chandan_full,4000,shipped,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,254,1,1,0,False,0
6b7dfb22,single-session-preference,chandan_live,8000,"shipped,raised_8k",1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,254,3,1,0,False,0
6b7dfb22,single-session-preference,chandan_full,8000,shipped,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,254,3,1,0,False,0
eac54adc,temporal-reasoning,ours_cheap,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,71,44,1,0,False,0
eac54adc,temporal-reasoning,ours_cheap_norule,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,100,19,1,0,False,0
eac54adc,temporal-reasoning,ours_sentence_norule,4000,,1.0,1.0,1.0,1.0,0.8503449055347546,1.0,4000,0.0,100,15,1,0,False,0
eac54adc,temporal-reasoning,S4_static,4000,,1.0,1.0,1.0,1.0,0.6240505200038379,1.0,4000,0.0,57,31,1,0,False,0
eac54adc,temporal-reasoning,S5_primary,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,54,32,1,0,False,0
eac54adc,temporal-reasoning,S5_primary_norule,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,100,11,1,0,False,0
eac54adc,temporal-reasoning,S5_noPGR,4000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,4000,0.0,59,38,1,0,False,0
eac54adc,temporal-reasoning,S5_planner_rules,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,54,32,1,0,False,0
eac54adc,temporal-reasoning,S5_planner_oracle,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,54,32,1,0,False,0
eac54adc,temporal-reasoning,S5_overlay_R0,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,57,32,1,0,False,0
eac54adc,temporal-reasoning,S5_overlay_R2,4000,,1.0,1.0,1.0,1.0,0.9197207891481876,1.0,4000,0.0,54,29,1,0,False,0
eac54adc,temporal-reasoning,S5_overlay_P0,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,54,31,1,0,False,0
eac54adc,temporal-reasoning,S2_lazy,4000,,1.0,1.0,1.0,1.0,0.6240505200038379,1.0,4000,0.0,57,31,1,0,False,0
eac54adc,temporal-reasoning,ours_cheap,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,71,95,1,0,False,0
eac54adc,temporal-reasoning,ours_cheap_norule,8000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,8000,0.0,100,49,1,0,False,0
eac54adc,temporal-reasoning,ours_sentence_norule,8000,,1.0,1.0,1.0,1.0,0.8503449055347546,1.0,8000,0.0,100,40,0,0,False,0
eac54adc,temporal-reasoning,S4_static,8000,,1.0,1.0,1.0,1.0,0.6240505200038379,1.0,6345,0.0,57,57,0,0,False,0
eac54adc,temporal-reasoning,S5_primary,8000,,1.0,1.0,1.0,1.0,1.0,1.0,5810,0.0,54,54,0,0,False,0
eac54adc,temporal-reasoning,S5_primary_norule,8000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,8000,0.0,100,30,1,0,False,0
eac54adc,temporal-reasoning,S5_noPGR,8000,,1.0,1.0,1.0,1.0,0.6509209298071326,1.0,6733,0.0,59,59,0,0,False,0
eac54adc,temporal-reasoning,S5_planner_rules,8000,,1.0,1.0,1.0,1.0,1.0,1.0,5810,0.0,54,54,0,0,False,0
eac54adc,temporal-reasoning,S5_planner_oracle,8000,,1.0,1.0,1.0,1.0,1.0,1.0,5810,0.0,54,54,0,0,False,0
eac54adc,temporal-reasoning,S5_overlay_R0,8000,,1.0,1.0,1.0,1.0,1.0,1.0,5869,0.0,57,57,0,0,False,0
eac54adc,temporal-reasoning,S5_overlay_R2,8000,,1.0,1.0,1.0,1.0,0.9197207891481876,1.0,5859,0.0,54,54,0,0,False,0
eac54adc,temporal-reasoning,S5_overlay_P0,8000,,1.0,1.0,1.0,1.0,1.0,1.0,5987,0.0,54,54,0,0,False,0
eac54adc,temporal-reasoning,S2_lazy,8000,,1.0,1.0,1.0,1.0,0.6240505200038379,1.0,6345,0.0,57,57,0,0,False,0
eac54adc,temporal-reasoning,chandan_live,4000,"shipped,raised_4k",0.0,1.0,0.0,0.5,0.6131471927654584,0.5,4000,0.0,228,2,1,0,False,0
eac54adc,temporal-reasoning,chandan_full,4000,shipped,0.0,1.0,0.0,0.5,0.6131471927654584,0.5,4000,0.0,228,2,1,0,False,0
eac54adc,temporal-reasoning,chandan_live,8000,"shipped,raised_8k",0.0,1.0,0.0,0.5,0.6131471927654584,0.5,8000,0.0,228,4,1,0,False,0
eac54adc,temporal-reasoning,chandan_full,8000,shipped,0.0,1.0,0.0,0.5,0.6131471927654584,0.5,8000,0.0,228,4,1,0,False,0
2c63a862,temporal-reasoning,ours_cheap,4000,,1.0,1.0,1.0,1.0,0.5249810332008933,1.0,4000,0.0,58,69,1,0,False,0
2c63a862,temporal-reasoning,ours_cheap_norule,4000,,1.0,1.0,1.0,0.5,0.20438239758848611,1.0,4000,0.0,100,18,1,0,False,0
2c63a862,temporal-reasoning,ours_sentence_norule,4000,,1.0,1.0,1.0,0.5,0.18457569677956817,1.0,4000,0.0,100,16,1,0,False,0
2c63a862,temporal-reasoning,S4_static,4000,,1.0,1.0,1.0,1.0,0.48247555939075504,1.0,3371,0.0,52,52,0,0,False,0
2c63a862,temporal-reasoning,S5_primary,4000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,3116,0.0,48,48,0,0,False,0
2c63a862,temporal-reasoning,S5_primary_norule,4000,,1.0,1.0,1.0,1.0,0.5640920940185894,1.0,4000,0.0,100,15,1,0,False,0
2c63a862,temporal-reasoning,S5_noPGR,4000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,3306,0.0,46,48,0,0,False,0
2c63a862,temporal-reasoning,S5_planner_rules,4000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,3116,0.0,48,48,0,0,False,0
2c63a862,temporal-reasoning,S5_planner_oracle,4000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,3116,0.0,48,48,0,0,False,0
2c63a862,temporal-reasoning,S5_overlay_R0,4000,,1.0,1.0,1.0,1.0,0.5249810332008933,1.0,3239,0.0,50,50,0,0,False,0
2c63a862,temporal-reasoning,S5_overlay_R2,4000,,1.0,1.0,1.0,1.0,0.5249810332008933,1.0,3281,0.0,49,49,0,0,False,0
2c63a862,temporal-reasoning,S5_overlay_P0,4000,,1.0,1.0,1.0,1.0,0.46845052016107697,1.0,3379,0.0,50,50,0,0,False,0
2c63a862,temporal-reasoning,S2_lazy,4000,,1.0,1.0,1.0,1.0,0.48247555939075504,1.0,3371,0.0,52,52,0,0,False,0
2c63a862,temporal-reasoning,ours_cheap,8000,,1.0,1.0,1.0,1.0,0.5249810332008933,1.0,5271,0.0,58,90,0,0,False,0
2c63a862,temporal-reasoning,ours_cheap_norule,8000,,1.0,1.0,1.0,0.5,0.20438239758848611,1.0,8000,0.0,100,40,1,0,False,0
2c63a862,temporal-reasoning,ours_sentence_norule,8000,,1.0,1.0,1.0,0.5,0.18457569677956817,1.0,8000,0.0,100,29,1,0,False,0
2c63a862,temporal-reasoning,S4_static,8000,,1.0,1.0,1.0,1.0,0.48247555939075504,1.0,3371,0.0,52,52,0,0,False,0
2c63a862,temporal-reasoning,S5_primary,8000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,3116,0.0,48,48,0,0,False,0
2c63a862,temporal-reasoning,S5_primary_norule,8000,,1.0,1.0,1.0,1.0,0.5640920940185894,1.0,8000,0.0,100,31,1,0,False,0
2c63a862,temporal-reasoning,S5_noPGR,8000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,3306,0.0,46,48,0,0,False,0
2c63a862,temporal-reasoning,S5_planner_rules,8000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,3116,0.0,48,48,0,0,False,0
2c63a862,temporal-reasoning,S5_planner_oracle,8000,,1.0,1.0,1.0,1.0,0.6934264036172708,1.0,3116,0.0,48,48,0,0,False,0
2c63a862,temporal-reasoning,S5_overlay_R0,8000,,1.0,1.0,1.0,1.0,0.5249810332008933,1.0,3239,0.0,50,50,0,0,False,0
2c63a862,temporal-reasoning,S5_overlay_R2,8000,,1.0,1.0,1.0,1.0,0.5249810332008933,1.0,3281,0.0,49,49,0,0,False,0
2c63a862,temporal-reasoning,S5_overlay_P0,8000,,1.0,1.0,1.0,1.0,0.46845052016107697,1.0,3379,0.0,50,50,0,0,False,0
2c63a862,temporal-reasoning,S2_lazy,8000,,1.0,1.0,1.0,1.0,0.48247555939075504,1.0,3371,0.0,52,52,0,0,False,0
2c63a862,temporal-reasoning,chandan_live,4000,"shipped,raised_4k",1.0,1.0,1.0,0.5,0.18457569677956817,1.0,4000,0.0,248,2,1,1,False,0
2c63a862,temporal-reasoning,chandan_full,4000,shipped,1.0,1.0,1.0,0.5,0.18457569677956817,1.0,4000,0.0,248,2,1,1,False,0
2c63a862,temporal-reasoning,chandan_live,8000,"shipped,raised_8k",1.0,1.0,1.0,0.5,0.18457569677956817,1.0,8000,0.0,248,3,1,0,False,0
2c63a862,temporal-reasoning,chandan_full,8000,shipped,1.0,1.0,1.0,0.5,0.18457569677956817,1.0,8000,0.0,248,3,1,0,False,0
