query_id,pool,n_relevant,C0_sample_only,C1_business_context,C2_context_plus_metadata,C3_narrow_objective,L0_pooled,L1_chunks
q00089,security,19,0.608618,0.467122,0.085143,0.498572,0.283713,0.538886
q00090,finance,15,0.632541,0.580602,0.661831,0.469,0.428385,0.72733
q00091,finance,18,0.767027,0.72733,0.563788,0.110046,0.330138,0.705808
q00092,procurement,16,0.432318,0.220092,0.220092,0.248908,0.0,0.094788
q00093,finance,14,0.627409,0.770204,0.581082,0.437352,0.188444,0.31488
q00094,security,12,0.453064,0.293456,0.611019,0.56537,0.378501,0.308872
q00095,engineering,15,0.722295,0.715551,0.500973,0.715551,0.538431,0.72733
q00096,engineering,14,0.72733,0.72733,0.591927,0.72733,0.608317,0.72733
q00097,logistics,13,0.330138,0.403502,0.519997,0.147829,0.495939,0.453743
q00098,logistics,18,0.305235,0.358954,0.293456,0.224006,0.063621,0.563788
q00099,finance,17,0.863015,0.756902,0.767027,0.574337,0.302404,0.397192
q00100,engineering,23,0.800694,0.718363,0.648932,0.718363,0.400023,0.793584
q00101,legal,27,0.708441,0.760559,0.857205,0.796761,0.586892,0.539187
q00102,legal,20,0.784982,0.933746,0.683538,0.781805,0.337208,0.848603
q00103,procurement,13,0.327307,0.283233,0.303082,0.312529,0.144652,0.220092
q00104,legal,15,0.860382,0.779171,0.851236,0.820523,0.29026,0.59586
q00105,engineering,16,0.538886,0.593361,0.613653,0.494357,0.469,0.642187
q00106,security,12,0.305235,0.289977,0.0,0.602506,0.110046,0.135685
q00107,legal,18,0.444853,0.766349,0.72733,0.691128,0.399569,0.498572
q00108,legal,16,0.281658,0.358954,0.224006,0.586116,0.073364,0.217261
q00109,engineering,13,0.388244,0.469,0.444097,0.444097,0.453743,0.469
q00110,logistics,15,0.563788,0.469,0.535254,0.396392,0.078398,0.383633
q00111,procurement,17,0.557978,0.665193,0.437352,0.522496,0.535254,0.699474
q00112,finance,18,0.715551,0.569579,0.532141,0.204834,0.220092,0.538886
q00113,legal,20,0.800694,0.763095,0.678504,0.831848,0.620762,0.648932
q00114,procurement,20,0.620762,0.18341,0.148764,0.066254,0.208294,0.0
q00115,engineering,14,0.563788,0.563788,0.453064,0.542364,0.432318,0.563788
q00116,security,13,0.611795,0.331694,0.202483,0.355777,0.383633,0.63322
q00117,security,17,0.31488,0.148764,0.163541,0.293437,0.094788,0.094788
q00118,engineering,15,0.72733,0.648932,0.684383,0.648932,0.507539,0.72733
q00119,finance,17,0.678049,0.447254,0.660159,0.400023,0.139618,0.352946
q00120,legal,9,0.58459,0.733886,0.420512,0.602094,0.31877,0.921651
q00121,security,12,0.453064,0.293456,0.611019,0.56537,0.378501,0.308872
q00122,legal,16,0.281658,0.358954,0.224006,0.586116,0.073364,0.217261
q00123,procurement,11,0.286346,0.220092,0.358954,0.078398,0.069431,0.063621
q00124,logistics,18,0.330138,0.453743,0.283713,0.243552,0.138862,0.563788
q00125,logistics,19,0.478422,0.648932,0.637152,0.567227,0.227938,0.73538
q00126,finance,14,0.627409,0.681681,0.535254,0.408536,0.073364,0.069431
q00127,engineering,22,0.706584,0.796761,0.627507,0.800694,0.715551,0.711618
q00128,engineering,14,0.72733,0.72733,0.675416,0.72733,0.538886,0.72733
q00129,logistics,18,0.588467,0.358954,0.289523,0.408536,0.234407,0.715551
q00130,legal,18,0.554143,0.747935,0.501749,0.696938,0.293456,0.517363
q00131,finance,18,0.715551,0.569579,0.532141,0.204834,0.220092,0.538886
q00132,procurement,18,0.378599,0.527106,0.289523,0.25833,0.173187,0.469454
q00133,engineering,17,1.0,0.855348,0.933746,1.0,0.855348,0.936379
q00134,security,24,0.857205,0.437352,0.836459,0.589428,0.677728,0.550113
q00135,finance,21,0.699474,0.563788,0.648932,0.388526,0.661831,0.696162
q00136,procurement,17,0.580602,0.532141,0.138862,0.400023,0.378783,0.469
q00137,engineering,16,0.358954,0.358954,0.163541,0.330138,0.358954,0.358954
q00138,procurement,17,0.557978,0.665193,0.437352,0.522496,0.535254,0.699474
q00139,logistics,19,0.478422,0.648932,0.637152,0.567227,0.227938,0.73538
q00140,finance,11,0.620397,0.248908,0.396392,0.0,0.0,0.29849
q00141,logistics,13,0.330138,0.403502,0.519997,0.147829,0.495939,0.453743
q00142,finance,15,0.784982,0.800694,0.784617,0.55197,0.691128,0.715551
q00143,engineering,14,0.796761,0.83578,0.785916,0.841591,0.242618,0.527106
q00144,legal,27,0.708441,0.760559,0.857205,0.796761,0.586892,0.539187
q00145,logistics,16,0.563788,0.432318,0.31488,0.469,0.188444,0.588467
q00146,engineering,13,0.35971,0.469,0.444097,0.444097,0.415281,0.453743
q00147,engineering,23,0.800694,0.718363,0.648932,0.718363,0.400023,0.793584
q00148,procurement,17,0.537008,0.523251,0.460013,0.501749,0.593361,0.696162
q00149,finance,18,0.330874,0.648932,0.567043,0.460013,0.094788,0.494357
q00150,finance,17,0.870125,0.768227,0.706584,0.602506,0.390927,0.409951
q00151,procurement,16,0.501749,0.538886,0.532621,0.424926,0.0,0.094788
q00152,logistics,16,0.467122,0.293456,0.224006,0.409951,0.0,0.322272
q00153,engineering,14,0.72733,0.72733,0.591927,0.72733,0.608317,0.72733
q00154,engineering,14,0.72733,0.72733,0.591927,0.72733,0.608317,0.72733
q00155,procurement,14,0.073364,0.085143,0.063621,0.069431,0.094788,0.0
q00156,engineering,16,0.358954,0.330138,0.202483,0.283713,0.358954,0.358954
q00157,logistics,20,0.346951,0.384311,0.355777,0.158507,0.144652,0.481535
q00158,finance,11,0.547398,0.535254,0.469,0.286346,0.224006,0.293456
q00159,procurement,20,0.349487,0.110046,0.367921,0.0,0.063621,0.220092
q00160,procurement,16,0.358954,0.063621,0.31488,0.078398,0.069431,0.0
q00161,security,13,0.687017,0.456997,0.310171,0.297369,0.451865,0.627409
q00162,logistics,16,0.469,0.248908,0.358954,0.425208,0.29849,0.453743
q00163,finance,11,0.554143,0.563788,0.538431,0.220092,0.204834,0.415281
q00164,legal,27,0.708441,0.760559,0.857205,0.796761,0.586892,0.539187
q00165,logistics,15,0.715186,0.469,0.605985,0.542364,0.16422,0.532141
q00166,logistics,16,0.469,0.248908,0.358954,0.403502,0.220092,0.469
q00167,engineering,10,0.538886,0.469,0.368856,0.527106,0.220092,0.444097
q00168,engineering,15,0.72733,0.648932,0.718363,0.712552,0.434175,0.790951
q00169,legal,16,0.796761,0.78855,0.722295,0.591927,0.358954,0.67587
q00170,legal,16,0.073364,0.138862,0.085143,0.438108,0.0,0.0
q00171,logistics,18,0.305235,0.358954,0.293456,0.224006,0.063621,0.563788
q00172,security,13,0.510352,0.400023,0.239441,0.648932,0.110046,0.476071
q00173,logistics,25,0.393758,0.481535,0.617284,0.500973,0.545156,0.689829
q00174,legal,15,0.299227,0.366703,0.275847,0.094788,0.151397,0.498271
q00175,finance,18,0.687195,0.722295,0.718363,0.147829,0.432318,0.632541
q00176,logistics,16,0.547398,0.445101,0.444097,0.330138,0.205117,0.586892
q00177,legal,10,0.510352,0.637152,0.415281,0.519997,0.179931,0.358954
q00178,finance,18,0.715551,0.569579,0.532141,0.204834,0.220092,0.538886
q00179,procurement,20,0.485814,0.085143,0.358954,0.205117,0.208294,0.456997
q00180,finance,18,0.715551,0.569579,0.532141,0.204834,0.220092,0.538886
q00181,finance,18,0.671938,0.648932,0.627507,0.495939,0.239921,0.611019
q00182,logistics,19,0.261808,0.202483,0.110046,0.066254,0.078398,0.063621
q00183,legal,27,0.738557,0.608317,0.933746,0.61225,0.538431,0.331239
q00184,engineering,14,0.503324,0.523174,0.371835,0.542364,0.253295,0.478422
q00185,finance,21,0.905212,0.64029,0.936379,0.800694,0.0,0.453743
q00186,finance,14,0.627409,0.681681,0.535254,0.408536,0.073364,0.069431
q00187,logistics,13,0.220092,0.29849,0.349967,0.066254,0.212226,0.289523
q00188,legal,9,0.623271,0.655831,0.386714,0.485378,0.239225,0.850896
q00189,logistics,18,0.330138,0.453743,0.283713,0.243552,0.138862,0.563788
q00190,security,12,0.453064,0.293456,0.611019,0.56537,0.378501,0.308872
q00191,logistics,13,0.684383,0.504906,0.417061,0.542364,0.224663,0.648932
q00192,logistics,19,0.72733,0.563788,0.711618,0.374666,0.439389,0.637152
q00193,logistics,25,0.396392,0.415281,0.630043,0.611795,0.513508,0.767027
q00194,security,24,0.857205,0.437352,0.836459,0.589428,0.677728,0.550113
q00195,procurement,16,0.432318,0.220092,0.220092,0.248908,0.0,0.094788
q00196,finance,21,0.930569,0.642187,0.642187,0.350313,0.58875,0.790951
q00197,legal,20,0.598395,0.623554,0.449887,0.747935,0.135685,0.457182
q00198,procurement,13,0.400023,0.268553,0.38196,0.290625,0.212226,0.293456
q00199,security,19,0.627507,0.469,0.0,0.437352,0.220092,0.547398
