k,query_id,aspect,n_relevant,sim_pooled,sim_maxcard,ndcg10_pooled,ndcg10_oraclecard,ndcg10_inferredcard,ndcg10_chunk,recall10_pooled,recall10_maxcard
1,q00097,personnel,3,0.609651,0.609651,0.946902,0.946902,0.967468,0.967468,1.0,1.0
1,q00098,legal,4,0.459244,0.459244,0.61989,0.61989,0.627182,0.649223,1.0,1.0
1,q00099,facilities,5,0.559246,0.559246,0.631732,0.631732,0.981848,0.82972,0.8,0.8
1,q00100,procurement,4,0.336449,0.336449,0.943866,0.943866,1.0,1.0,1.0,1.0
1,q00101,marketing,4,0.287457,0.287457,0.982892,0.982892,0.849435,0.944718,1.0,1.0
1,q00102,engineering,3,0.535521,0.535521,1.0,1.0,1.0,1.0,1.0,1.0
1,q00103,personnel,3,0.489622,0.489622,0.598894,0.598894,0.308427,0.654615,1.0,1.0
1,q00104,marketing,3,0.31441,0.31441,0.671386,0.671386,0.765361,0.746198,0.666667,0.666667
1,q00105,personnel,5,0.470153,0.470153,0.592222,0.592222,0.403445,0.970892,0.6,0.6
1,q00106,marketing,3,0.302965,0.302965,0.296082,0.296082,0.765361,0.0,0.333333,0.333333
1,q00107,facilities,4,0.432871,0.432871,0.910853,0.910853,0.943866,0.922326,1.0,1.0
1,q00108,research,4,0.583752,0.583752,0.7037,0.7037,0.803607,0.961999,1.0,1.0
1,q00109,marketing,3,0.325478,0.325478,0.296082,0.296082,0.765361,0.416181,0.333333,0.333333
1,q00110,engineering,3,0.629735,0.629735,1.0,1.0,1.0,1.0,1.0,1.0
1,q00111,logistics,6,0.50162,0.50162,1.0,1.0,0.90454,0.983303,1.0,1.0
1,q00112,research,4,0.521058,0.521058,0.970929,0.970929,1.0,1.0,1.0,1.0
1,q00113,engineering,2,0.511354,0.511354,1.0,1.0,0.693426,1.0,1.0,1.0
1,q00114,facilities,4,0.578911,0.578911,0.961999,0.961999,1.0,0.982892,1.0,1.0
1,q00115,research,3,0.376436,0.376436,0.967468,0.967468,0.932521,0.921787,1.0,1.0
1,q00116,facilities,2,0.535511,0.535511,0.919721,0.919721,1.0,0.919721,1.0,1.0
1,q00117,security,7,0.42464,0.42464,0.535585,0.535585,0.535585,0.632931,0.571429,0.571429
1,q00118,personnel,1,0.576336,0.576336,1.0,1.0,0.430677,0.5,1.0,1.0
1,q00119,engineering,5,0.512418,0.512418,1.0,1.0,0.906825,0.974743,1.0,1.0
1,q00120,logistics,6,0.50162,0.50162,1.0,1.0,0.90454,0.983303,1.0,1.0
1,q00121,security,7,0.464241,0.464241,0.700157,0.700157,0.779614,0.564318,0.714286,0.714286
1,q00122,research,3,0.377224,0.377224,0.471628,0.471628,0.765361,0.703918,1.0,1.0
1,q00123,personnel,3,0.649484,0.649484,0.967468,0.967468,0.967468,1.0,1.0,1.0
1,q00124,logistics,1,0.478435,0.478435,1.0,1.0,0.386853,1.0,1.0,1.0
1,q00125,engineering,2,0.651428,0.651428,1.0,1.0,1.0,1.0,1.0,1.0
1,q00126,personnel,1,0.608616,0.608616,1.0,1.0,0.63093,0.63093,1.0,1.0
1,q00127,finance,6,0.456166,0.456166,0.965137,0.965137,0.86262,0.935546,1.0,1.0
1,q00128,finance,6,0.473034,0.473034,0.869676,0.869676,0.740285,0.644824,0.833333,0.833333
1,q00129,procurement,3,0.417603,0.417603,0.932521,0.932521,1.0,0.469279,1.0,1.0
1,q00130,finance,6,0.436331,0.436331,0.789652,0.789652,0.718375,0.987671,0.833333,0.833333
1,q00131,security,5,0.45525,0.45525,0.748636,0.748636,0.748636,0.888111,1.0,1.0
1,q00132,logistics,1,0.548299,0.548299,1.0,1.0,0.63093,1.0,1.0,1.0
1,q00133,research,3,0.550002,0.550002,1.0,1.0,0.772091,1.0,1.0,1.0
1,q00134,marketing,3,0.326669,0.326669,0.625705,0.625705,0.765361,0.463242,0.666667,0.666667
1,q00135,engineering,5,0.44522,0.44522,0.975788,0.975788,0.989606,1.0,1.0,1.0
1,q00136,procurement,5,0.384757,0.384757,0.83042,0.83042,0.722727,0.927019,0.8,0.8
1,q00137,facilities,7,0.564502,0.564502,1.0,1.0,0.988801,1.0,1.0,1.0
1,q00138,security,3,0.422904,0.422904,0.61732,0.61732,0.61732,0.604931,0.666667,0.666667
1,q00139,procurement,4,0.336449,0.336449,0.943866,0.943866,1.0,1.0,1.0,1.0
1,q00140,finance,5,0.483923,0.483923,0.941577,0.941577,0.974743,0.974743,1.0,1.0
1,q00141,research,3,0.577604,0.577604,1.0,1.0,1.0,0.967468,1.0,1.0
1,q00142,personnel,4,0.555475,0.555475,0.831872,0.831872,1.0,0.944718,0.75,0.75
1,q00143,personnel,4,0.493468,0.493468,0.658916,0.658916,0.970929,0.833213,0.75,0.75
1,q00144,security,1,0.489222,0.489222,1.0,1.0,1.0,1.0,1.0,1.0
1,q00145,security,6,0.571331,0.571331,0.937238,0.937238,0.948942,0.983303,1.0,1.0
1,q00146,legal,3,0.504503,0.504503,1.0,1.0,1.0,1.0,1.0,1.0
1,q00147,engineering,1,0.513396,0.513396,1.0,1.0,1.0,1.0,1.0,1.0
1,q00148,procurement,3,0.365967,0.365967,0.871079,0.871079,1.0,0.317194,1.0,1.0
1,q00149,security,3,0.464821,0.464821,0.78448,0.78448,0.78448,0.88546,1.0,1.0
1,q00150,legal,2,0.638453,0.638453,1.0,1.0,1.0,0.919721,1.0,1.0
1,q00151,legal,4,0.459244,0.459244,0.61989,0.61989,0.627182,0.649223,1.0,1.0
1,q00152,finance,5,0.414718,0.414718,0.820026,0.820026,0.824824,0.895444,0.8,0.8
1,q00153,finance,4,0.443355,0.443355,1.0,1.0,0.76064,0.982892,1.0,1.0
1,q00154,legal,3,0.502812,0.502812,0.593173,0.593173,0.584788,0.932521,1.0,1.0
1,q00155,finance,3,0.485487,0.485487,1.0,1.0,1.0,0.932521,1.0,1.0
1,q00156,research,2,0.539274,0.539274,0.42279,0.42279,0.397809,0.448644,1.0,1.0
1,q00157,personnel,4,0.554728,0.554728,0.926758,0.926758,0.922326,1.0,1.0,1.0
1,q00158,facilities,4,0.432871,0.432871,0.910853,0.910853,0.943866,0.922326,1.0,1.0
1,q00159,marketing,3,0.236558,0.236558,0.148041,0.148041,0.469279,0.469279,0.333333,0.333333
1,q00160,facilities,7,0.463061,0.463061,0.913639,0.913639,0.804013,0.995088,1.0,1.0
1,q00161,procurement,3,0.501484,0.501484,0.851959,0.851959,0.712263,0.491415,1.0,1.0
1,q00162,engineering,2,0.396479,0.396479,0.81753,0.81753,0.613147,0.850345,1.0,1.0
1,q00163,marketing,2,0.232127,0.232127,0.218407,0.218407,0.264068,0.613147,0.5,0.5
1,q00164,logistics,5,0.474645,0.474645,0.974743,0.974743,0.950531,0.989606,1.0,1.0
1,q00165,facilities,1,0.414596,0.414596,0.386853,0.386853,0.0,1.0,1.0,1.0
1,q00166,security,4,0.410312,0.410312,0.982892,0.982892,0.949389,0.58557,1.0,1.0
1,q00167,personnel,4,0.509343,0.509343,0.831872,0.831872,1.0,0.753698,0.75,0.75
1,q00168,personnel,6,0.570466,0.570466,0.965137,0.965137,1.0,1.0,1.0,1.0
1,q00169,procurement,1,0.569826,0.569826,1.0,1.0,1.0,1.0,1.0,1.0
1,q00170,legal,4,0.459244,0.459244,0.61989,0.61989,0.627182,0.649223,1.0,1.0
1,q00171,security,4,0.347083,0.347083,0.247643,0.247643,0.0,0.448468,0.5,0.5
1,q00172,procurement,4,0.35311,0.35311,0.724626,0.724626,1.0,1.0,0.75,0.75
1,q00173,logistics,5,0.408324,0.408324,0.974743,0.974743,0.919261,0.974743,1.0,1.0
1,q00174,facilities,2,0.602965,0.602965,1.0,1.0,1.0,1.0,1.0,1.0
1,q00175,personnel,3,0.614332,0.614332,1.0,1.0,1.0,1.0,1.0,1.0
1,q00176,logistics,3,0.445617,0.445617,1.0,1.0,0.852928,1.0,1.0,1.0
1,q00177,research,4,0.583752,0.583752,0.7037,0.7037,0.803607,0.961999,1.0,1.0
1,q00178,personnel,3,0.482499,0.482499,0.618891,0.618891,0.329583,0.679731,1.0,1.0
1,q00179,legal,3,0.575856,0.575856,0.967468,0.967468,1.0,1.0,1.0,1.0
1,q00180,engineering,3,0.514883,0.514883,1.0,1.0,1.0,1.0,1.0,1.0
1,q00181,marketing,4,0.287457,0.287457,0.982892,0.982892,0.849435,0.944718,1.0,1.0
1,q00182,legal,3,0.575856,0.575856,0.967468,0.967468,1.0,1.0,1.0,1.0
1,q00183,logistics,6,0.489941,0.489941,0.772955,0.772955,0.642217,0.882937,0.833333,0.833333
1,q00184,facilities,1,0.619485,0.619485,1.0,1.0,1.0,0.63093,1.0,1.0
1,q00185,facilities,1,0.650652,0.650652,1.0,1.0,1.0,1.0,1.0,1.0
1,q00186,research,4,0.556804,0.556804,0.587524,0.587524,0.803607,0.883824,1.0,1.0
1,q00187,facilities,4,0.432871,0.432871,0.910853,0.910853,0.943866,0.922326,1.0,1.0
1,q00188,logistics,1,0.226446,0.226446,0.356207,0.356207,0.0,0.0,1.0,1.0
1,q00189,procurement,6,0.574391,0.574391,0.892211,0.892211,0.983303,1.0,0.833333,0.833333
1,q00190,finance,6,0.531556,0.531556,0.752614,0.752614,0.775148,0.644824,0.666667,0.666667
1,q00191,personnel,3,0.606764,0.606764,0.967468,0.967468,0.967468,1.0,1.0,1.0
1,q00192,security,4,0.274567,0.274567,0.0,0.0,0.0,0.0,0.0,0.0
1,q00193,marketing,3,0.268779,0.268779,0.0,0.0,0.469279,0.469279,0.0,0.0
1,q00194,facilities,6,0.568871,0.568871,0.979683,0.979683,0.761887,1.0,1.0,1.0
1,q00195,logistics,6,0.50162,0.50162,1.0,1.0,0.90454,0.983303,1.0,1.0
1,q00196,engineering,2,0.51214,0.51214,0.919721,0.919721,0.919721,0.919721,1.0,1.0
1,q00197,finance,5,0.578435,0.578435,0.966834,0.966834,0.868795,1.0,1.0,1.0
1,q00198,facilities,4,0.552827,0.552827,1.0,1.0,0.944718,1.0,1.0,1.0
1,q00199,research,3,0.341944,0.341944,0.436747,0.436747,0.61732,0.234639,0.666667,0.666667
2,q00000,procurement,8,0.378913,0.49963,0.325832,0.643509,0.818703,0.443492,0.375,0.625
2,q00001,engineering,7,0.390188,0.496493,0.995088,1.0,0.908375,1.0,1.0,1.0
2,q00002,security,7,0.282458,0.406562,0.079457,0.393612,0.476437,0.322632,0.142857,0.428571
2,q00003,facilities,5,0.409948,0.515564,0.773193,1.0,0.960925,0.989606,0.8,1.0
2,q00004,procurement,8,0.261046,0.359938,0.343043,0.732254,0.835891,0.662743,0.25,0.625
2,q00005,security,8,0.388072,0.449029,0.790083,0.920205,0.811156,0.786534,0.875,0.875
2,q00006,procurement,8,0.381739,0.540344,0.56158,0.678899,0.812048,0.713417,0.5,0.625
2,q00007,marketing,4,0.248089,0.347337,0.652587,0.724626,0.39038,0.58557,0.75,0.75
2,q00008,finance,10,0.264982,0.450765,0.330138,0.785916,0.69684,0.648932,0.2,0.7
2,q00009,personnel,8,0.469824,0.648524,0.56847,0.993322,0.825586,0.996349,0.5,1.0
2,q00010,procurement,8,0.232987,0.321861,0.732254,0.983017,0.920205,1.0,0.625,1.0
2,q00011,research,2,0.412868,0.564445,0.264068,0.919721,1.0,0.877215,0.5,1.0
2,q00012,personnel,9,0.45144,0.591658,0.474271,0.993795,0.925851,0.847503,0.333333,1.0
2,q00013,security,5,0.407832,0.564527,0.673958,0.966985,0.966985,0.868795,0.6,1.0
2,q00014,logistics,5,0.158857,0.198147,0.0,0.360055,0.553146,0.33916,0.0,0.4
2,q00015,security,7,0.300254,0.48465,0.326521,0.991121,0.858027,0.902087,0.428571,1.0
2,q00016,facilities,6,0.389808,0.440745,0.503244,0.836784,1.0,0.949566,0.666667,0.833333
2,q00017,research,8,0.224122,0.423775,0.0,0.912035,0.786115,0.873529,0.0,0.875
2,q00018,marketing,6,0.287708,0.374433,0.493523,0.892211,0.882937,0.882937,0.333333,0.833333
2,q00019,personnel,9,0.466477,0.621483,0.451286,1.0,0.929244,0.855096,0.333333,1.0
2,q00020,finance,11,0.358943,0.443996,0.432318,1.0,1.0,1.0,0.272727,0.909091
2,q00021,personnel,9,0.385331,0.585995,0.500866,0.845519,0.855096,0.751198,0.333333,0.777778
2,q00022,security,3,0.394088,0.476651,0.625705,0.860344,0.416181,0.827812,0.666667,1.0
2,q00023,finance,4,0.223356,0.372845,0.112845,0.73659,0.642281,0.770104,0.25,0.75
2,q00024,research,7,0.309359,0.513106,0.673023,0.893663,0.861994,0.637387,0.571429,0.857143
2,q00025,engineering,3,0.543992,0.568198,0.967468,0.967468,0.946902,0.838547,1.0,1.0
2,q00026,security,2,0.376707,0.435418,0.831555,0.919721,0.850345,0.806574,1.0,1.0
2,q00027,research,4,0.244296,0.337903,0.0,0.39038,0.558508,0.0,0.0,0.25
2,q00028,research,10,0.24471,0.28715,0.0,0.0,0.656303,0.0,0.0,0.0
2,q00029,procurement,7,0.280356,0.329598,0.274876,0.72889,0.393259,0.441047,0.142857,0.714286
2,q00030,finance,7,0.320789,0.444614,0.6646,0.79575,0.815726,0.96521,0.571429,0.714286
2,q00031,marketing,10,0.273963,0.305076,0.220092,0.517363,0.554143,0.501749,0.1,0.4
2,q00032,procurement,10,0.345767,0.55341,0.293456,0.722295,0.648932,0.791727,0.2,0.6
2,q00033,procurement,5,0.20171,0.244061,0.0,0.0,0.0,0.0,0.0,0.0
2,q00034,research,2,0.348346,0.540627,0.204382,0.877215,1.0,0.81753,0.5,1.0
2,q00035,security,7,0.419674,0.537436,0.869449,0.893663,0.810462,0.893208,0.857143,0.857143
2,q00036,marketing,6,0.2792,0.363154,0.281625,0.752614,0.302602,0.623847,0.333333,0.666667
2,q00037,facilities,6,0.54625,0.58422,1.0,1.0,0.993078,1.0,1.0,1.0
2,q00038,finance,5,0.393945,0.486376,0.621794,0.820026,0.868795,0.82972,0.6,0.8
2,q00039,facilities,8,0.423438,0.549875,0.902148,0.920205,0.835891,0.993322,0.875,0.875
2,q00040,facilities,6,0.389808,0.440745,0.503244,0.836784,1.0,0.949566,0.666667,0.833333
2,q00041,logistics,6,0.43852,0.516237,0.706046,0.971476,0.840085,0.94844,0.666667,1.0
2,q00042,personnel,3,0.430778,0.570252,0.323587,0.946902,0.921787,0.967468,0.666667,1.0
2,q00043,procurement,3,0.280413,0.403475,0.16716,0.913402,1.0,0.765361,0.333333,1.0
2,q00044,facilities,6,0.396997,0.490329,0.435726,0.601312,0.892211,0.970409,0.666667,0.5
2,q00045,personnel,9,0.353424,0.532766,0.410423,0.643443,0.565901,0.743462,0.333333,0.555556
2,q00046,procurement,5,0.20171,0.244061,0.0,0.0,0.0,0.0,0.0,0.0
2,q00047,security,8,0.388072,0.449029,0.790083,0.920205,0.811156,0.786534,0.875,0.875
2,q00048,facilities,3,0.456205,0.582947,0.765361,1.0,0.906628,1.0,0.666667,1.0
2,q00049,legal,10,0.498598,0.616346,0.481881,0.855348,0.77216,0.718363,0.5,0.8
2,q00050,security,8,0.369717,0.506193,0.727711,0.912035,0.64794,0.615146,0.75,0.875
2,q00051,procurement,7,0.213601,0.299403,0.357622,0.79575,0.789992,0.69931,0.285714,0.714286
2,q00052,engineering,10,0.39901,0.405683,0.936379,0.936379,0.936379,0.930569,0.9,0.9
2,q00053,engineering,7,0.523644,0.618179,0.85765,1.0,0.873585,0.991121,0.857143,1.0
2,q00054,personnel,4,0.416113,0.52664,0.168128,0.654245,0.558508,0.363318,0.25,0.75
2,q00055,facilities,8,0.398121,0.528711,0.912035,0.915686,0.818908,0.991829,0.875,0.875
2,q00056,procurement,7,0.280356,0.329598,0.274876,0.72889,0.393259,0.441047,0.142857,0.714286
2,q00057,security,8,0.369717,0.506193,0.727711,0.912035,0.64794,0.615146,0.75,0.875
2,q00058,facilities,5,0.505483,0.528334,0.729487,0.764239,0.806208,0.773893,0.8,0.8
2,q00059,legal,12,0.436886,0.490936,0.63322,0.852171,0.795166,0.548135,0.416667,0.666667
2,q00060,personnel,10,0.351112,0.541272,0.533377,0.914857,0.790951,0.78855,0.5,0.9
2,q00061,legal,7,0.504523,0.639321,0.17737,0.477604,0.581774,0.558583,0.285714,0.571429
2,q00062,personnel,10,0.351112,0.541272,0.533377,0.914857,0.790951,0.78855,0.5,0.9
2,q00063,facilities,5,0.509785,0.540378,0.843538,0.853932,0.797405,0.989606,0.8,0.8
2,q00064,finance,3,0.383334,0.494559,0.383649,1.0,1.0,1.0,0.666667,1.0
2,q00065,engineering,7,0.45154,0.49497,0.775281,0.988801,0.757392,0.821661,0.714286,1.0
2,q00066,finance,2,0.458658,0.567599,0.613147,1.0,1.0,0.831555,0.5,1.0
2,q00067,legal,9,0.593623,0.65133,0.850896,0.929244,0.925851,0.892566,0.777778,0.888889
2,q00068,personnel,3,0.45766,0.557192,0.452508,0.967468,0.765361,0.913402,0.666667,1.0
2,q00069,security,7,0.228703,0.444639,0.372789,0.908375,0.876706,0.893663,0.285714,0.857143
2,q00070,research,4,0.283924,0.404694,0.636682,0.671353,0.95583,0.60962,0.5,0.75
2,q00071,marketing,7,0.211628,0.221277,0.310866,0.220184,0.137438,0.173428,0.285714,0.285714
2,q00072,legal,6,0.53117,0.577079,0.40347,0.302602,0.393695,0.511259,0.333333,0.166667
2,q00073,facilities,5,0.417589,0.580106,0.562069,0.989606,0.820766,0.981848,0.6,1.0
2,q00074,legal,6,0.504457,0.606005,0.369231,0.832002,0.714939,0.745692,0.5,0.833333
2,q00075,procurement,5,0.26609,0.313069,0.33916,0.699215,0.933819,0.553146,0.2,0.6
2,q00076,logistics,6,0.426779,0.520995,0.541375,0.993078,0.714939,0.94844,0.5,1.0
2,q00077,procurement,10,0.388668,0.62921,0.220092,0.866948,0.857981,0.864315,0.1,0.8
2,q00078,security,9,0.386406,0.475382,0.700088,0.929244,0.847503,0.929244,0.666667,0.888889
2,q00079,research,8,0.376372,0.594034,0.626923,0.652459,0.694941,0.76172,0.75,0.625
2,q00080,personnel,6,0.304963,0.503194,0.511259,0.74091,0.644824,0.731636,0.5,0.666667
2,q00081,legal,7,0.523295,0.580081,0.770369,0.995088,1.0,1.0,0.714286,1.0
2,q00082,facilities,11,0.397908,0.529883,0.800694,1.0,0.790951,1.0,0.636364,0.909091
