dataset,cohort,comparison,paired,requested,full_dataset,scope,status,metric,reference_score,score,delta,cluster_ci_low,cluster_ci_high,A_score,delta_vs_A,answer_usd,judge_usd,standalone_shared_fact_setup_usd,answer_plus_setup_usd,total_serving_cost_per_correct,cost_per_correct,correct_basis,changed_contexts,empty_answers
factconsolidation_sh_262k,headline,B-A,100,100,100,full,complete,substring_exact_match,0.74,0.79,0.050000000000000044,,,0.74,0.050000000000000044,0.4885290000000002,0,0.35457870000000014,0.8431077000000003,0.010672249367088611,0.006183911392405066,binary_correct,100,0
factconsolidation_sh_262k,headline,C-B,100,100,100,full,complete,substring_exact_match,0.79,0.6,-0.19000000000000006,,,0.74,-0.14,0.5126174999999998,0,0.35457870000000014,0.8671962,0.014453269999999999,0.008543624999999997,binary_correct,100,0
factconsolidation_sh_262k,headline,D-C,100,100,100,full,complete,substring_exact_match,0.6,0.69,0.08999999999999997,,,0.74,-0.050000000000000044,0.49087125,0,0.35457870000000014,0.8454499500000001,0.012252897826086958,0.007114076086956521,binary_correct,99,0
factconsolidation_sh_32k,headline,B-A,100,100,100,full,complete,substring_exact_match,0.92,0.92,0.0,,,0.92,0.0,0.4504042500000001,0,0.09590850000000001,0.5463127500000001,0.005938182065217392,0.004895698369565218,binary_correct,100,0
factconsolidation_sh_32k,headline,C-B,100,100,100,full,complete,substring_exact_match,0.92,0.79,-0.13,,,0.92,-0.13,0.48534150000000004,0,0.09590850000000001,0.58125,0.007357594936708861,0.006143563291139241,binary_correct,100,0
factconsolidation_sh_32k,headline,D-C,100,100,100,full,complete,substring_exact_match,0.79,0.91,0.12,,,0.92,-0.010000000000000009,0.4588439999999999,0,0.09590850000000001,0.5547525,0.006096181318681318,0.005042241758241757,binary_correct,99,0
factconsolidation_sh_64k,headline,B-A,100,100,100,full,complete,substring_exact_match,0.86,0.9,0.040000000000000036,,,0.86,0.040000000000000036,0.4598819999999999,0,0.16992910000000008,0.6298111,0.006997901111111111,0.0051097999999999985,binary_correct,100,0
factconsolidation_sh_64k,headline,C-B,100,100,100,full,complete,substring_exact_match,0.9,0.74,-0.16000000000000003,,,0.86,-0.12,0.48118425,0,0.16992910000000008,0.65111335,0.008798829054054054,0.006502489864864865,binary_correct,100,0
factconsolidation_sh_64k,headline,D-C,100,100,100,full,complete,substring_exact_match,0.74,0.9,0.16000000000000003,,,0.86,0.040000000000000036,0.45389549999999995,0,0.16992910000000008,0.6238246000000001,0.006931384444444445,0.005043283333333333,binary_correct,100,0
factconsolidation_sh_6k,headline,B-A,100,100,100,full,complete,substring_exact_match,1.0,0.87,-0.13,,,1.0,-0.13,0.44272500000000015,0,0.0176966,0.46042160000000015,0.005292202298850576,0.005088793103448277,binary_correct,100,0
factconsolidation_sh_6k,headline,C-B,100,100,100,full,complete,substring_exact_match,0.87,0.84,-0.030000000000000027,,,1.0,-0.16000000000000003,0.46050675000000013,0,0.0176966,0.47820335000000014,0.005692897023809525,0.0054822232142857155,binary_correct,100,0
factconsolidation_sh_6k,headline,D-C,100,100,100,full,complete,substring_exact_match,0.84,0.86,0.020000000000000018,,,1.0,-0.14,0.4517107499999999,0,0.0176966,0.4694073499999999,0.005458224999999999,0.005252450581395347,binary_correct,100,0
locomo,headline,B-A,77,77,1986,screen,complete,judge,0.6103896103896104,0.5454545454545454,-0.06493506493506496,-0.125,0.0,0.6103896103896104,-0.06493506493506496,0.42666525000000005,0.0007332000000000001,0.07139566146103897,0.49806091146103904,0.011858593130024738,0.01015869642857143,binary_correct,75,0
locomo,headline,C-B,77,77,1986,screen,complete,judge,0.5454545454545454,0.5454545454545454,0.0,-0.09375,0.07894736842105263,0.6103896103896104,-0.06493506493506496,0.43318950000000006,0.0007415999999999999,0.07139566146103897,0.504585161461039,0.012013932415739025,0.010314035714285717,binary_correct,75,0
locomo,headline,D-C,77,77,1986,screen,complete,judge,0.5454545454545454,0.5584415584415584,0.012987012987012991,-0.058841036414565825,0.09375,0.6103896103896104,-0.051948051948051965,0.4386157499999999,0.0007481000000000001,0.07139566146103897,0.5100114114610389,0.011860730499093928,0.010200366279069766,binary_correct,77,0
locomo,adversarial,B-A,23,23,1986,screen,complete,judge,0.9130434782608695,1.0,0.08695652173913049,0.0,0.2,0.9130434782608695,0.08695652173913049,0.13729425,0.00017839999999999997,0.02075413853896104,0.15804838853896105,0.00687166906691135,0.005969315217391305,binary_correct,23,0
locomo,adversarial,C-B,23,23,1986,screen,complete,judge,1.0,1.0,0.0,0.0,0.0,0.9130434782608695,0.08695652173913049,0.1396095,0.00017839999999999997,0.02075413853896104,0.16036363853896105,0.006972332110389611,0.006069978260869565,binary_correct,23,0
locomo,adversarial,D-C,23,23,1986,screen,complete,judge,1.0,0.9130434782608695,-0.08695652173913049,-0.15384615384615385,0.0,0.9130434782608695,0.0,0.13700775000000004,0.0001873,0.02075413853896104,0.1577618885389611,0.007512470882807671,0.006524178571428573,binary_correct,23,0
longmemeval_oracle,headline,B-A,100,100,500,screen,complete,judge,0.76,0.74,-0.020000000000000018,-0.07,0.03,0.76,-0.020000000000000018,0.46959449999999997,0.0017298,0.47036319999999987,0.9399576999999999,0.01270213108108108,0.006345871621621621,binary_correct,81,0
longmemeval_oracle,headline,C-B,100,100,500,screen,complete,judge,0.74,0.8,0.06000000000000005,0.02,0.11,0.76,0.040000000000000036,0.48316799999999993,0.0017000000000000001,0.47036319999999987,0.9535311999999998,0.011919139999999998,0.006039599999999999,binary_correct,81,0
longmemeval_oracle,headline,D-C,100,100,500,screen,complete,judge,0.8,0.76,-0.040000000000000036,-0.11,0.02,0.76,0.0,0.48604050000000015,0.0017185000000000004,0.47036319999999987,0.9564037000000001,0.012584259210526317,0.006395269736842108,binary_correct,82,0
longmemeval_s,headline,B-A,100,100,500,screen,complete,judge,0.72,0.75,0.030000000000000027,-0.04,0.1,0.72,0.030000000000000027,0.5153227499999999,0.0016958000000000003,0.4605896000000001,0.97591235,0.013012164666666666,0.006870969999999999,binary_correct,83,0
longmemeval_s,headline,C-B,100,100,500,screen,complete,judge,0.75,0.74,-0.010000000000000009,-0.08,0.05,0.72,0.020000000000000018,0.5199847500000001,0.0017329000000000003,0.4605896000000001,0.9805743500000002,0.013251004729729732,0.007026820945945947,binary_correct,83,0
longmemeval_s,headline,D-C,100,100,500,screen,complete,judge,0.74,0.75,0.010000000000000009,-0.04,0.06,0.72,0.030000000000000027,0.5192512500000002,0.0017307999999999998,0.4605896000000001,0.9798408500000002,0.013064544666666669,0.006923350000000003,binary_correct,89,0
multihoprag,headline,B-A,100,100,2556,screen,complete,judge,0.53,0.54,0.010000000000000009,,,0.53,0.010000000000000009,0.5491905000000001,0.0013235000000000009,0.3982582000000001,0.9474487000000003,0.0175453462962963,0.010170194444444447,binary_correct,82,0
multihoprag,headline,C-B,100,100,2556,screen,complete,judge,0.54,0.56,0.020000000000000018,,,0.53,0.030000000000000027,0.5484517499999999,0.0013321000000000003,0.3982582000000001,0.94670995,0.01690553482142857,0.009793781249999998,binary_correct,82,0
multihoprag,headline,D-C,100,100,2556,screen,complete,judge,0.56,0.57,0.009999999999999898,,,0.53,0.039999999999999925,0.5431612499999998,0.0013279000000000008,0.3982582000000001,0.9414194499999999,0.016516130701754384,0.009529144736842103,binary_correct,99,0
musique,headline,B-A,100,100,1000,screen,complete,f1,0.5301118326118326,0.49762287712287717,-0.03248895548895542,,,0.5301118326118326,-0.03248895548895542,0.5859015,0,0.40040580000000003,0.9863073,0.02144146304347826,0.012736989130434782,exact_match,99,0
musique,headline,C-B,100,100,1000,screen,complete,f1,0.49762287712287717,0.4986424849660143,0.0010196078431371491,,,0.5301118326118326,-0.03146934764581827,0.585798,0,0.40040580000000003,0.9862038000000001,0.02241372272727273,0.01331359090909091,exact_match,57,0
musique,headline,D-C,100,100,1000,screen,complete,f1,0.4986424849660143,0.5381680716943875,0.0395255867283732,,,0.5301118326118326,0.008056239082554928,0.5855100000000002,0,0.40040580000000003,0.9859158000000002,0.020976931914893623,0.012457659574468089,exact_match,97,0
personamem_v2_128k,headline,B-A,100,100,5000,screen,complete,mcq,0.41,0.4,-0.009999999999999953,-0.057167774086378735,0.031578947368421054,0.41,-0.009999999999999953,0.5929619999999999,0,0.2591589000000001,0.8521209,0.021303022499999998,0.014824049999999997,binary_correct,63,0
personamem_v2_128k,headline,C-B,100,100,5000,screen,complete,mcq,0.4,0.39,-0.010000000000000009,-0.03260869565217391,0.0,0.41,-0.019999999999999962,0.59367825,0,0.2591589000000001,0.85283715,0.02186761923076923,0.01522251923076923,binary_correct,7,0
personamem_v2_128k,headline,D-C,100,100,5000,screen,complete,mcq,0.39,0.42,0.02999999999999997,-0.04672897196261682,0.11224489795918367,0.41,0.010000000000000009,0.5871405,0,0.2591589000000001,0.8462994,0.020149985714285716,0.013979535714285713,binary_correct,84,0
personamem_v2_32k,headline,B-A,100,100,5000,screen,complete,mcq,0.45,0.5,0.04999999999999999,0.01020408163265306,0.09377467105263144,0.45,0.04999999999999999,0.5906017500000001,0,0.31592839999999994,0.90653015,0.018130603000000002,0.011812035000000004,binary_correct,67,0
personamem_v2_32k,headline,C-B,100,100,5000,screen,complete,mcq,0.5,0.5,0.0,0.0,0.0,0.45,0.04999999999999999,0.5918167500000001,0,0.31592839999999994,0.90774515,0.018154903,0.011836335000000002,binary_correct,5,0
personamem_v2_32k,headline,D-C,100,100,5000,screen,complete,mcq,0.5,0.44,-0.06,-0.14545895851721094,0.02040816326530612,0.45,-0.010000000000000009,0.5935050000000001,0,0.31592839999999994,0.9094334,0.020668940909090907,0.01348875,binary_correct,86,0
