dataset,comparison,type,paired,delta
personamem_v2_128k,C-B,sensitive_info,10,0.0
personamem_v2_128k,C-B,stereotypical_pref,11,0.0
personamem_v2_128k,C-B,therapy_background,13,-0.07692307692307693
personamem_v2_128k,D-C,anti_stereotypical_pref,17,0.0
personamem_v2_128k,D-C,ask_to_forget,21,0.0
personamem_v2_128k,D-C,health_and_medical_conditions,11,0.09090909090909091
personamem_v2_128k,D-C,neutral_preferences,17,-0.058823529411764705
personamem_v2_128k,D-C,sensitive_info,10,0.2
personamem_v2_128k,D-C,stereotypical_pref,11,-0.09090909090909091
personamem_v2_128k,D-C,therapy_background,13,0.15384615384615385
personamem_v2_32k,B-A,anti_stereotypical_pref,17,0.0
personamem_v2_32k,B-A,ask_to_forget,21,0.09523809523809523
personamem_v2_32k,B-A,health_and_medical_conditions,11,0.0
personamem_v2_32k,B-A,neutral_preferences,17,0.11764705882352941
personamem_v2_32k,B-A,sensitive_info,10,0.0
personamem_v2_32k,B-A,stereotypical_pref,11,0.09090909090909091
personamem_v2_32k,B-A,therapy_background,13,0.0
personamem_v2_32k,C-B,anti_stereotypical_pref,17,0.0
personamem_v2_32k,C-B,ask_to_forget,21,0.0
personamem_v2_32k,C-B,health_and_medical_conditions,11,0.0
personamem_v2_32k,C-B,neutral_preferences,17,0.0
personamem_v2_32k,C-B,sensitive_info,10,0.0
personamem_v2_32k,C-B,stereotypical_pref,11,0.0
personamem_v2_32k,C-B,therapy_background,13,0.0
personamem_v2_32k,D-C,anti_stereotypical_pref,17,0.11764705882352941
personamem_v2_32k,D-C,ask_to_forget,21,-0.14285714285714285
personamem_v2_32k,D-C,health_and_medical_conditions,11,0.0
personamem_v2_32k,D-C,neutral_preferences,17,-0.17647058823529413
personamem_v2_32k,D-C,sensitive_info,10,0.1
personamem_v2_32k,D-C,stereotypical_pref,11,-0.09090909090909091
personamem_v2_32k,D-C,therapy_background,13,-0.15384615384615385
