query_id,pool,n_relevant,L2_generic,L4_corpus,L5_full,L0_pooled,L1_chunks
q00036,legal,27,0.781805,1.0,0.930569,0.425208,1.0
q00037,procurement,17,0.422575,0.358954,0.0,0.066254,0.283713
q00038,legal,22,0.653147,1.0,0.933746,0.283713,1.0
q00039,legal,24,0.542364,0.271914,0.268737,0.221193,0.52521
q00040,security,19,0.662016,0.358954,0.503324,0.283713,0.855348
q00041,security,33,0.542042,0.422575,0.35971,0.158507,0.161043
q00042,procurement,23,0.686715,0.415281,0.35971,0.419398,0.526613
q00043,procurement,27,0.547398,0.72733,0.444097,0.078398,0.358954
q00044,security,30,0.18341,0.422575,0.926636,0.085143,0.428365
q00045,security,30,0.18341,0.422575,0.926636,0.085143,0.428365
q00046,procurement,32,0.72733,0.864315,0.926636,0.538431,0.914857
q00047,legal,24,0.863015,0.857981,0.863015,0.375768,0.905212
q00048,legal,27,0.671938,0.933746,1.0,0.434175,0.926636
q00049,security,31,0.316916,0.632541,0.611795,0.283713,0.358954
q00050,legal,25,0.29849,0.469,0.517363,0.094788,0.478422
q00051,procurement,22,0.073364,0.31488,0.094788,0.138862,0.212226
q00052,security,22,0.217261,0.72733,0.220092,0.357076,0.31488
q00053,security,18,0.073364,0.0,0.202483,0.0,0.173667
q00054,security,18,0.073364,0.0,0.202483,0.0,0.173667
q00055,legal,25,0.384311,0.621697,0.930569,0.532141,0.567682
q00056,procurement,24,0.205117,0.800694,0.393278,0.293456,0.517363
q00057,security,27,0.712552,1.0,0.450566,0.358954,0.831848
q00058,legal,27,0.781805,1.0,0.930569,0.425208,1.0
q00059,legal,26,0.469,1.0,1.0,0.224663,0.930569
q00060,legal,32,0.268553,1.0,1.0,0.472157,0.926636
q00061,legal,24,0.602052,0.701973,0.851236,0.094788,0.779171
q00062,legal,31,0.866948,1.0,1.0,0.68045,0.933746
q00063,legal,24,0.46271,0.432318,0.453743,0.085143,0.110046
q00064,procurement,27,0.567043,0.790951,0.428365,0.29849,0.624232
q00065,legal,26,0.532621,1.0,1.0,0.257875,0.914857
q00066,legal,24,0.542364,0.173667,0.247031,0.142019,0.480681
q00067,procurement,27,0.547398,0.72733,0.444097,0.078398,0.358954
q00068,legal,31,0.110046,0.738557,0.596498,0.358954,0.745302
q00069,legal,19,0.399569,0.936379,0.930569,0.248908,0.866948
q00070,procurement,29,0.315163,0.693663,0.432318,0.069431,0.715551
q00071,security,31,0.278198,0.775239,0.580148,0.0,0.29849
q00072,procurement,23,0.415281,0.469,0.289523,0.374666,0.583715
q00073,procurement,29,0.173187,0.705808,0.069431,0.205117,0.0
q00074,security,19,0.437352,0.77216,0.396392,0.220092,0.637152
q00075,legal,27,0.746705,1.0,1.0,0.477967,0.857205
q00076,security,24,0.574337,0.936379,0.700773,0.467122,0.775337
q00077,procurement,29,0.214084,0.851236,0.905212,0.215383,0.312049
q00078,procurement,28,0.535254,0.678049,0.870125,0.358954,0.643121
q00079,procurement,28,0.563788,0.708441,0.72733,0.220092,0.221193
q00080,legal,38,0.770204,0.921602,0.905212,0.602052,0.778807
q00081,security,23,0.179931,0.069431,0.498572,0.139618,0.621217
q00082,procurement,27,0.567043,0.790951,0.428365,0.29849,0.624232
q00083,security,19,0.437352,0.77216,0.396392,0.220092,0.637152
q00084,security,33,0.232973,0.44803,0.094788,0.148764,0.069431
q00085,procurement,29,0.214084,0.851236,0.905212,0.215383,0.312049
q00086,legal,22,0.653147,1.0,0.933746,0.283713,1.0
q00087,procurement,23,0.0,0.273587,0.0,0.0,0.0
q00088,security,22,0.548154,0.602052,0.681681,0.214084,0.870125
q00089,security,19,0.662016,0.358954,0.503324,0.283713,0.855348
q00090,procurement,27,0.0,0.138862,0.078398,0.0,0.0
q00091,security,18,0.073364,0.0,0.202483,0.0,0.173667
q00092,security,18,0.163541,0.220092,0.388244,0.139618,0.243552
q00093,security,26,0.453064,0.650033,0.358954,0.151397,0.712552
q00094,legal,24,0.863015,1.0,0.933746,0.416382,0.866948
q00095,procurement,32,0.768227,0.800694,0.926636,0.519997,0.864315
q00096,security,33,0.375768,0.393758,0.374666,0.147829,0.139618
q00097,legal,25,0.085143,0.352664,0.363341,0.066254,0.215018
q00098,security,19,0.662016,0.358954,0.503324,0.283713,0.855348
q00099,legal,28,0.362887,0.800694,0.791727,0.399569,0.715186
q00100,legal,27,0.467122,0.767027,0.785916,0.138862,0.548135
q00101,legal,25,0.29849,0.469,0.517363,0.094788,0.478422
q00102,procurement,23,0.492006,0.492006,0.283713,0.202483,0.188444
q00103,security,31,0.701973,0.800694,0.930569,0.605985,0.855348
q00104,legal,26,0.532621,1.0,1.0,0.257875,0.914857
q00105,security,27,0.712552,1.0,0.450566,0.358954,0.831848
q00106,procurement,29,0.527106,0.690194,0.0,0.0,0.408536
q00107,procurement,29,0.68045,0.29849,0.378599,0.358954,0.498572
q00108,legal,25,0.384311,0.621697,0.930569,0.532141,0.567682
q00109,procurement,32,0.700773,0.926636,1.0,0.523174,0.73538
q00110,security,24,0.574337,0.936379,0.700773,0.467122,0.775337
q00111,procurement,26,0.652371,0.870125,0.930569,0.554143,0.905212
q00112,procurement,21,0.138862,0.718363,0.791727,0.249664,0.718342
q00113,security,18,0.163541,0.220092,0.388244,0.139618,0.243552
q00114,security,23,0.253295,0.066254,0.358954,0.0,0.637152
q00115,legal,31,0.860382,1.0,1.0,0.608317,0.866948
q00116,procurement,29,0.173187,0.705808,0.069431,0.205117,0.0
q00117,procurement,29,0.494357,0.358954,0.358954,0.234407,0.393758
q00118,legal,28,0.362887,0.800694,0.791727,0.399569,0.715186
q00119,procurement,23,0.492006,0.492006,0.283713,0.202483,0.188444
q00120,procurement,29,0.173187,0.705808,0.069431,0.205117,0.0
q00121,procurement,17,0.500973,0.110046,0.0,0.066254,0.094788
q00122,procurement,21,0.069431,0.620397,0.715186,0.094788,0.085143
q00123,legal,25,0.394495,1.0,1.0,0.472933,0.936379
q00124,legal,38,0.742125,0.926636,0.866948,0.627409,0.689829
q00125,legal,25,0.29849,0.469,0.517363,0.094788,0.478422
q00126,procurement,21,0.138862,0.718363,0.791727,0.249664,0.718342
q00127,procurement,22,0.353881,0.605985,0.415281,0.330138,0.384594
q00128,security,31,0.305235,0.864315,0.693663,0.073364,0.495094
q00129,legal,32,0.138862,1.0,1.0,0.456997,0.785916
q00130,legal,19,0.399569,0.936379,0.930569,0.248908,0.866948
q00131,legal,28,0.400023,0.69684,0.772062,0.44092,0.753814
q00132,procurement,29,0.494357,0.358954,0.358954,0.234407,0.393758
q00133,security,18,0.163541,0.220092,0.388244,0.139618,0.243552
q00134,security,42,0.596498,1.0,0.627409,0.400306,0.863015
q00135,legal,32,0.195189,1.0,0.933746,0.678504,0.905212
q00136,procurement,23,0.686715,0.415281,0.35971,0.419398,0.526613
q00137,security,33,0.444097,1.0,0.425208,0.608297,0.650033
q00138,security,31,0.701973,0.800694,0.930569,0.605985,0.855348
q00139,security,30,0.085143,0.358954,0.860382,0.0,0.357076
q00140,procurement,27,0.567043,0.790951,0.428365,0.29849,0.624232
q00141,security,23,0.289977,0.073364,0.492006,0.0,0.756902
q00142,security,42,0.596498,1.0,0.627409,0.400306,0.863015
q00143,security,31,0.654722,1.0,0.921602,0.588467,0.921602
q00144,security,31,0.316916,0.632541,0.611795,0.283713,0.358954
q00145,procurement,24,0.205117,0.800694,0.393278,0.293456,0.517363
q00146,security,19,0.662016,0.358954,0.503324,0.283713,0.855348
q00147,procurement,22,0.353881,0.605985,0.415281,0.330138,0.384594
q00148,legal,19,0.432318,0.936379,0.866948,0.179931,0.857205
q00149,security,31,0.305235,0.864315,0.693663,0.073364,0.495094
