query_id,pool,n_relevant,L0_pooled,I_instruction,L5_views
56,,1,1.0,1.0,1.0
57,,1,1.0,1.0,1.0
70,,2,0.386853,0.0,0.264068
72,,1,0.386853,0.0,1.0
75,,1,1.0,1.0,1.0
94,,1,0.63093,0.63093,1.0
99,,1,1.0,0.386853,1.0
100,,1,1.0,0.63093,1.0
113,,1,1.0,1.0,0.5
115,,1,1.0,1.0,1.0
118,,1,1.0,1.0,1.0
124,,1,1.0,1.0,0.63093
127,,1,0.0,0.0,0.0
128,,1,0.0,0.0,0.0
129,,1,1.0,1.0,1.0
130,,1,1.0,1.0,1.0
132,,1,0.0,0.0,0.0
133,,5,0.77562,0.752848,0.843538
137,,1,1.0,1.0,1.0
141,,2,0.919721,0.831555,0.877215
142,,1,1.0,1.0,1.0
143,,1,1.0,1.0,1.0
146,,1,1.0,1.0,1.0
148,,1,1.0,1.0,1.0
163,,1,1.0,1.0,1.0
171,,1,1.0,1.0,1.0
179,,4,0.961999,0.905218,0.970929
180,,1,1.0,1.0,1.0
183,,1,0.63093,1.0,1.0
185,,1,0.30103,1.0,0.0
198,,1,0.0,0.0,0.430677
208,,1,1.0,1.0,1.0
212,,1,0.430677,0.386853,0.430677
213,,1,0.356207,0.386853,0.356207
216,,1,1.0,1.0,1.0
217,,1,1.0,1.0,1.0
218,,1,1.0,1.0,1.0
219,,1,1.0,1.0,1.0
230,,1,1.0,1.0,1.0
232,,1,0.5,0.5,0.63093
233,,1,1.0,1.0,1.0
236,,1,1.0,1.0,1.0
237,,1,1.0,1.0,0.63093
238,,1,0.0,0.386853,0.315465
239,,1,0.0,1.0,0.0
248,,1,1.0,1.0,1.0
249,,1,1.0,1.0,1.0
261,,2,0.395647,0.177239,0.42279
268,,1,1.0,0.63093,0.63093
269,,1,0.63093,0.5,0.315465
274,,1,1.0,1.0,1.0
275,,3,0.812653,0.650821,0.671386
279,,1,1.0,1.0,1.0
294,,1,0.0,0.0,0.0
295,,1,0.30103,0.0,0.63093
298,,1,1.0,1.0,0.63093
300,,1,0.5,0.63093,0.0
303,,1,0.0,0.0,0.0
312,,1,0.0,0.0,0.0
314,,1,0.0,0.0,0.0
324,,1,0.0,0.0,0.0
327,,1,1.0,1.0,1.0
338,,1,1.0,1.0,1.0
343,,2,0.831555,0.850345,0.650921
350,,1,1.0,1.0,1.0
354,,1,1.0,1.0,1.0
362,,1,1.0,1.0,0.0
380,,1,0.430677,0.333333,0.356207
384,,1,0.315465,0.430677,0.5
385,,2,0.693426,0.0,0.501266
386,,1,1.0,1.0,1.0
388,,1,1.0,1.0,0.5
399,,1,1.0,1.0,1.0
410,,1,1.0,1.0,1.0
411,,1,1.0,1.0,1.0
415,,1,0.63093,0.63093,0.63093
421,,1,0.0,0.0,0.0
431,,1,0.0,0.0,0.0
436,,1,1.0,1.0,1.0
437,,1,0.0,0.0,0.0
439,,1,1.0,1.0,1.0
440,,1,1.0,1.0,1.0
443,,1,1.0,1.0,1.0
452,,2,0.613147,0.218407,0.184576
475,,1,1.0,1.0,0.315465
478,,1,0.63093,1.0,0.430677
491,,1,1.0,1.0,1.0
501,,1,1.0,1.0,1.0
502,,1,0.0,0.0,0.0
507,,1,0.63093,0.63093,0.63093
508,,1,0.0,0.0,0.0
513,,1,0.5,0.0,0.333333
514,,1,1.0,1.0,0.5
516,,1,1.0,1.0,1.0
517,,1,0.0,0.0,0.356207
521,,1,0.63093,1.0,0.63093
525,,1,1.0,1.0,1.0
527,,1,0.0,0.0,0.0
528,,1,1.0,1.0,0.430677
532,,1,1.0,1.0,1.0
533,,1,1.0,1.0,1.0
535,,1,0.386853,0.333333,0.333333
536,,1,1.0,1.0,1.0
539,,1,1.0,1.0,1.0
540,,2,0.386853,0.613147,0.613147
544,,1,1.0,0.63093,0.333333
549,,1,1.0,1.0,1.0
551,,1,0.356207,0.333333,0.0
552,,1,1.0,1.0,1.0
554,,1,0.0,0.0,0.0
560,,1,0.0,0.0,0.0
569,,1,0.63093,0.5,0.386853
575,,1,0.63093,0.63093,0.0
577,,1,0.30103,0.0,0.0
578,,1,0.5,0.333333,1.0
587,,1,0.0,0.0,0.0
589,,1,1.0,1.0,1.0
593,,1,1.0,1.0,1.0
597,,3,0.906628,0.765361,0.671386
598,,1,0.30103,0.0,0.30103
613,,1,1.0,1.0,1.0
619,,2,0.0,0.0,0.0
623,,1,0.0,0.0,0.0
628,,1,1.0,1.0,0.63093
636,,1,1.0,1.0,1.0
637,,1,0.5,0.5,0.5
641,,2,1.0,0.919721,0.613147
644,,1,0.63093,0.63093,1.0
649,,1,1.0,1.0,0.63093
659,,1,0.356207,0.0,0.0
660,,1,0.0,0.0,0.0
674,,1,0.0,0.289065,1.0
684,,1,1.0,1.0,0.0
690,,1,0.386853,1.0,0.0
691,,1,0.386853,0.430677,0.30103
692,,1,1.0,0.63093,1.0
693,,1,1.0,1.0,1.0
700,,1,1.0,1.0,1.0
702,,1,1.0,1.0,1.0
715,,1,0.0,0.0,0.0
716,,1,0.0,0.0,0.0
718,,1,1.0,0.63093,1.0
721,,1,1.0,1.0,1.0
723,,1,1.0,1.0,1.0
727,,1,0.333333,0.30103,0.0
728,,2,0.831555,0.797723,0.797723
729,,1,0.63093,0.5,1.0
742,,1,0.63093,0.63093,1.0
743,,1,0.5,0.386853,0.30103
744,,1,0.5,0.5,0.5
756,,1,0.63093,0.5,0.5
759,,1,1.0,0.63093,1.0
768,,1,0.0,0.0,0.0
770,,1,1.0,1.0,1.0
775,,1,0.0,0.0,0.0
781,,1,1.0,0.63093,1.0
783,,1,0.0,0.0,0.0
784,,1,0.5,0.63093,0.430677
785,,1,0.0,0.0,0.5
793,,1,0.5,0.0,0.0
800,,1,1.0,1.0,0.5
805,,1,1.0,1.0,1.0
808,,1,1.0,1.0,1.0
811,,1,1.0,1.0,1.0
814,,1,1.0,1.0,1.0
820,,1,0.5,1.0,0.0
821,,1,0.30103,0.63093,0.0
823,,1,1.0,1.0,1.0
830,,1,0.0,0.0,0.0
831,,1,0.0,0.0,0.0
832,,1,1.0,1.0,1.0
834,,1,0.0,0.0,0.333333
837,,1,0.430677,0.333333,0.5
839,,1,1.0,1.0,0.63093
845,,1,0.430677,0.430677,0.333333
847,,1,0.63093,1.0,0.63093
852,,1,1.0,0.5,0.5
859,,1,1.0,0.0,1.0
870,,1,0.333333,0.30103,0.0
873,,5,0.315648,0.485229,0.120811
879,,1,1.0,1.0,1.0
880,,1,1.0,1.0,1.0
882,,1,0.63093,1.0,1.0
887,,1,0.0,0.0,0.0
903,,1,1.0,1.0,1.0
904,,1,1.0,1.0,1.0
907,,1,1.0,1.0,1.0
911,,1,1.0,0.63093,1.0
913,,1,0.0,0.0,0.0
914,,1,1.0,0.356207,0.315465
921,,1,1.0,1.0,1.0
922,,1,1.0,1.0,1.0
936,,1,1.0,0.5,1.0
956,,1,1.0,1.0,1.0
957,,1,1.0,1.0,1.0
960,,1,1.0,1.0,1.0
967,,2,0.850345,1.0,0.613147
971,,4,0.926758,0.810583,0.76064
975,,1,0.0,0.0,0.0
982,,1,1.0,1.0,1.0
985,,1,1.0,1.0,1.0
993,,1,0.63093,1.0,1.0
1012,,1,1.0,1.0,1.0
1014,,1,1.0,1.0,0.63093
1019,,1,1.0,1.0,1.0
1020,,1,1.0,1.0,1.0
1021,,1,1.0,1.0,1.0
1024,,1,0.63093,0.0,0.356207
1029,,3,0.946902,0.946902,0.852928
1041,,2,0.457495,0.491149,0.193426
1049,,1,0.0,0.30103,0.333333
1062,,1,1.0,1.0,1.0
1086,,1,1.0,1.0,1.0
1088,,1,1.0,1.0,0.63093
1089,,1,1.0,1.0,1.0
1099,,1,0.63093,0.430677,0.30103
1100,,1,0.63093,0.0,0.315465
1104,,1,1.0,1.0,1.0
1107,,1,0.430677,0.63093,0.63093
1110,,1,0.0,0.0,0.0
1121,,1,1.0,0.5,1.0
1130,,1,1.0,1.0,1.0
1132,,2,0.306574,0.264068,0.193426
1137,,1,1.0,1.0,1.0
1140,,1,1.0,1.0,1.0
1144,,1,1.0,1.0,1.0
1146,,1,1.0,1.0,1.0
1150,,1,1.0,1.0,1.0
1163,,1,1.0,1.0,1.0
1175,,1,0.0,0.0,0.0
1179,,1,0.0,0.0,0.0
1180,,1,0.386853,0.30103,1.0
1185,,1,1.0,1.0,1.0
1187,,1,0.63093,0.63093,0.63093
1191,,1,0.333333,0.356207,0.0
1194,,1,1.0,1.0,1.0
1196,,1,0.430677,0.430677,1.0
1197,,1,0.5,0.386853,0.5
1199,,1,0.0,0.0,0.0
1200,,1,0.0,0.0,0.0
1202,,1,1.0,1.0,1.0
1204,,1,1.0,1.0,1.0
1207,,1,1.0,1.0,0.386853
1213,,1,0.0,0.0,0.0
1216,,1,1.0,1.0,1.0
1221,,1,1.0,0.63093,0.0
1225,,1,0.63093,0.63093,0.386853
1226,,1,0.0,0.0,0.0
1232,,1,1.0,1.0,1.0
1241,,1,1.0,1.0,1.0
1245,,1,0.0,0.0,0.0
1259,,1,1.0,1.0,1.0
1262,,1,1.0,1.0,1.0
1266,,1,1.0,0.63093,1.0
1270,,1,1.0,1.0,1.0
1271,,1,1.0,1.0,1.0
1272,,1,0.0,0.0,0.0
1273,,1,1.0,1.0,1.0
1274,,3,0.932521,0.817981,0.860344
1278,,1,0.5,0.386853,0.0
1279,,1,1.0,1.0,0.0
1280,,1,0.0,0.0,0.0
1281,,1,0.0,0.0,0.0
1282,,1,1.0,0.386853,1.0
1290,,1,1.0,1.0,1.0
1292,,1,0.63093,0.356207,0.289065
1298,,1,1.0,1.0,1.0
1303,,1,1.0,1.0,0.356207
1316,,1,0.0,0.0,0.0
1319,,1,0.5,1.0,1.0
1320,,1,0.63093,0.63093,0.63093
1332,,1,0.0,0.0,0.0
1335,,1,1.0,1.0,0.63093
1336,,1,1.0,1.0,0.63093
1337,,1,0.430677,0.63093,0.5
1339,,1,1.0,1.0,1.0
1344,,1,1.0,0.63093,0.63093
1352,,1,1.0,1.0,1.0
1359,,1,1.0,1.0,1.0
1362,,1,0.0,0.0,0.0
1363,,1,0.0,0.0,0.0
1368,,1,1.0,1.0,1.0
1370,,1,1.0,1.0,1.0
1379,,4,0.943866,0.910853,0.982892
1382,,1,1.0,1.0,0.63093
1385,,1,1.0,1.0,1.0
1389,,1,1.0,1.0,1.0
1395,,1,0.0,0.0,0.0
