task,policy,consumer,subtopics_total,subtopics_in_selection,subtopics_covered_in_output,coverage_rate,judged_covered,judged_coverage_rate,judged_beyond_selection,unsupported_word_rate,output_words,cached
q0012,harvest,machine,6,4,0,0.0,1,0.166667,0,0.571429,97,1
q0012,harvest,human,6,4,0,0.0,1,0.166667,0,0.421053,46,1
q0013,relevance,machine,6,2,1,0.166667,2,0.333333,0,0.424242,87,1
q0013,relevance,human,6,2,1,0.166667,2,0.333333,0,0.421053,37,1
q0013,harvest,machine,6,5,1,0.166667,0,0.0,0,0.0,60,1
q0013,harvest,human,6,5,0,0.0,1,0.166667,0,0.28,38,1
q0014,relevance,machine,6,2,2,0.333333,2,0.333333,0,0.428571,111,1
q0014,relevance,human,6,2,2,0.333333,2,0.333333,0,0.181818,58,1
q0014,harvest,machine,6,3,2,0.333333,2,0.333333,0,0.52,50,1
q0014,harvest,human,6,3,2,0.333333,2,0.333333,0,0.333333,28,1
q0015,relevance,machine,5,3,4,0.8,1,0.2,0,0.323077,326,1
q0015,relevance,human,5,3,0,0.0,0,0.0,0,0.45098,80,1
q0015,harvest,machine,5,4,2,0.4,1,0.2,0,0.523256,440,1
q0015,harvest,human,5,4,0,0.0,0,0.0,0,0.555556,73,1
q0016,relevance,machine,4,1,1,0.25,0,0.0,0,0.24,61,1
q0016,relevance,human,4,1,0,0.0,0,0.0,0,0.2,36,1
q0016,harvest,machine,4,3,1,0.25,2,0.5,1,0.235294,36,1
q0016,harvest,human,4,3,0,0.0,0,0.0,0,0.375,28,1
q0017,relevance,machine,6,1,0,0.0,1,0.166667,0,0.375,63,1
q0017,relevance,human,6,1,0,0.0,1,0.166667,0,0.764706,60,1
q0017,harvest,machine,6,3,1,0.166667,1,0.166667,0,0.304348,67,1
q0017,harvest,human,6,3,0,0.0,1,0.166667,0,0.411765,31,1
q0018,relevance,machine,5,2,1,0.2,2,0.4,0,0.702128,131,1
q0018,relevance,human,5,2,0,0.0,2,0.4,0,0.724138,51,1
q0018,harvest,machine,5,4,1,0.2,0,0.0,0,0.606061,95,1
q0018,harvest,human,5,4,1,0.2,0,0.0,0,0.5,50,1
q0019,relevance,machine,4,2,2,0.5,2,0.5,0,0.5,88,1
q0019,relevance,human,4,2,1,0.25,2,0.5,0,0.47619,35,1
q0019,harvest,machine,4,3,2,0.5,2,0.5,0,0.142857,61,1
q0019,harvest,human,4,3,1,0.25,2,0.5,0,0.363636,37,1
q0020,relevance,machine,4,3,4,1.0,0,0.0,0,0.385714,384,1
q0020,relevance,human,4,3,4,1.0,2,0.5,0,0.153846,59,1
q0020,harvest,machine,4,3,4,1.0,1,0.25,0,0.178571,252,1
q0020,harvest,human,4,3,2,0.5,0,0.0,0,0.469388,68,1
q0021,relevance,machine,6,1,1,0.166667,1,0.166667,0,0.071429,136,1
q0021,relevance,human,6,1,1,0.166667,1,0.166667,0,0.366667,58,1
q0021,harvest,machine,6,3,1,0.166667,1,0.166667,0,0.137931,88,1
q0021,harvest,human,6,3,1,0.166667,1,0.166667,0,0.214286,64,1
q0022,relevance,machine,5,1,1,0.2,1,0.2,0,0.4375,81,1
q0022,relevance,human,5,1,1,0.2,1,0.2,0,0.346154,50,1
q0022,harvest,machine,5,3,1,0.2,1,0.2,0,0.575,81,1
q0022,harvest,human,5,3,1,0.2,1,0.2,0,0.575758,54,1
q0023,relevance,machine,3,1,1,0.333333,1,0.333333,0,0.0,123,1
q0023,relevance,human,3,1,1,0.333333,1,0.333333,0,0.315789,49,1
q0023,harvest,machine,3,2,1,0.333333,1,0.333333,0,0.208333,92,1
q0023,harvest,human,3,2,1,0.333333,1,0.333333,0,0.142857,46,1
q0024,relevance,machine,6,2,2,0.333333,2,0.333333,0,0.368421,115,1
q0024,relevance,human,6,2,1,0.166667,2,0.333333,0,0.25,55,1
q0024,harvest,machine,6,4,1,0.166667,2,0.333333,0,0.28125,87,1
q0024,harvest,human,6,4,1,0.166667,2,0.333333,0,0.12,50,1
q0025,relevance,machine,6,1,1,0.166667,1,0.166667,0,0.584906,147,1
q0025,relevance,human,6,1,0,0.0,1,0.166667,0,0.458333,38,1
q0025,harvest,machine,6,3,1,0.166667,1,0.166667,0,0.571429,126,1
q0025,harvest,human,6,3,1,0.166667,1,0.166667,0,0.344828,69,1
q0026,relevance,machine,6,2,2,0.333333,2,0.333333,0,0.294118,44,1
q0026,relevance,human,6,2,2,0.333333,2,0.333333,0,0.444444,31,1
q0026,harvest,machine,6,4,2,0.333333,2,0.333333,0,0.724138,68,1
q0026,harvest,human,6,4,1,0.166667,1,0.166667,0,0.4,46,1
q0027,relevance,machine,5,1,1,0.2,1,0.2,0,0.538462,102,1
q0027,relevance,human,5,1,1,0.2,1,0.2,0,0.071429,24,1
q0027,harvest,machine,5,2,0,0.0,2,0.4,1,0.548387,51,1
q0027,harvest,human,5,2,0,0.0,1,0.2,0,0.0,18,1
q0028,relevance,machine,6,1,2,0.333333,1,0.166667,0,0.25,93,1
q0028,relevance,human,6,1,2,0.333333,2,0.333333,1,0.466667,50,1
q0028,harvest,machine,6,3,2,0.333333,0,0.0,0,0.043478,68,1
q0028,harvest,human,6,3,2,0.333333,0,0.0,0,0.230769,61,1
q0029,relevance,machine,5,2,2,0.4,2,0.4,0,0.666667,82,1
q0029,relevance,human,5,2,2,0.4,1,0.2,0,0.529412,30,1
q0029,harvest,machine,5,4,2,0.4,2,0.4,0,0.56,56,1
q0029,harvest,human,5,4,2,0.4,2,0.4,0,0.4375,26,1
q0030,relevance,machine,4,3,0,0.0,3,0.75,0,0.321429,158,1
q0030,relevance,human,4,3,1,0.25,3,0.75,0,0.333333,49,1
q0030,harvest,machine,4,3,2,0.5,3,0.75,0,0.5,122,1
q0030,harvest,human,4,3,3,0.75,3,0.75,0,0.321429,55,1
q0031,relevance,machine,4,3,3,0.75,3,0.75,0,0.666667,81,1
q0031,relevance,human,4,3,0,0.0,2,0.5,0,0.625,42,1
q0031,harvest,machine,4,3,1,0.25,3,0.75,0,0.185185,67,1
q0031,harvest,human,4,3,0,0.0,1,0.25,0,0.484848,46,1
q0032,relevance,machine,6,1,1,0.166667,1,0.166667,0,0.410256,153,1
q0032,relevance,human,6,1,0,0.0,1,0.166667,0,0.607143,52,1
q0032,harvest,machine,6,3,0,0.0,1,0.166667,0,0.466667,98,1
q0032,harvest,human,6,3,0,0.0,1,0.166667,0,0.666667,33,1
q0033,relevance,machine,5,3,3,0.6,3,0.6,0,0.387097,116,1
q0033,relevance,human,5,3,2,0.4,3,0.6,0,0.391304,34,1
q0033,harvest,machine,5,4,3,0.6,2,0.4,0,0.444444,98,1
q0033,harvest,human,5,4,3,0.6,3,0.6,0,0.157895,42,1
q0034,relevance,machine,4,1,1,0.25,1,0.25,0,0.413793,70,1
q0034,relevance,human,4,1,1,0.25,1,0.25,0,0.392857,59,1
q0034,harvest,machine,4,4,1,0.25,1,0.25,0,0.210526,60,1
q0034,harvest,human,4,4,1,0.25,1,0.25,0,0.5,35,1
q0035,relevance,machine,5,1,1,0.2,1,0.2,0,0.536585,124,1
q0035,relevance,human,5,1,0,0.0,1,0.2,0,0.333333,49,1
q0035,harvest,machine,5,3,1,0.2,1,0.2,0,0.4375,77,1
q0035,harvest,human,5,3,1,0.2,2,0.4,0,0.142857,40,1
q0036,relevance,machine,4,1,1,0.25,1,0.25,0,0.357143,68,1
q0036,relevance,human,4,1,1,0.25,1,0.25,0,0.32,43,1
q0036,harvest,machine,4,3,1,0.25,1,0.25,0,0.35,45,1
q0036,harvest,human,4,3,0,0.0,1,0.25,0,0.403846,73,1
q0037,relevance,machine,6,2,2,0.333333,2,0.333333,0,0.6,89,1
q0037,relevance,human,6,2,2,0.333333,2,0.333333,0,0.48,58,1
q0037,harvest,machine,6,4,1,0.166667,2,0.333333,0,0.516129,73,1
q0037,harvest,human,6,4,2,0.333333,2,0.333333,0,0.315789,36,1
q0038,relevance,machine,6,2,2,0.333333,2,0.333333,0,0.5,117,1
q0038,relevance,human,6,2,0,0.0,2,0.333333,0,0.566667,46,1
q0038,harvest,machine,6,3,2,0.333333,2,0.333333,0,0.136364,78,1
q0038,harvest,human,6,3,1,0.166667,2,0.333333,0,0.3,46,1
q0039,relevance,machine,5,2,2,0.4,2,0.4,0,0.56,128,1
q0039,relevance,human,5,2,0,0.0,2,0.4,0,0.707317,59,1
q0039,harvest,machine,5,3,0,0.0,2,0.4,0,0.609756,86,1
q0039,harvest,human,5,3,1,0.2,2,0.4,0,0.333333,45,1
q0040,relevance,machine,3,1,1,0.333333,1,0.333333,0,0.321429,59,1
q0040,relevance,human,3,1,0,0.0,2,0.666667,1,0.333333,29,1
q0040,harvest,machine,3,3,0,0.0,2,0.666667,0,0.48,56,1
q0040,harvest,human,3,3,0,0.0,1,0.333333,0,0.259259,44,1
q0041,relevance,machine,6,2,1,0.166667,2,0.333333,0,0.230769,66,1
q0041,relevance,human,6,2,1,0.166667,2,0.333333,0,0.333333,61,1
q0041,harvest,machine,6,3,1,0.166667,1,0.166667,0,0.451613,76,1
q0041,harvest,human,6,3,1,0.166667,2,0.333333,0,0.409091,44,1
q0042,relevance,machine,6,3,2,0.333333,2,0.333333,0,0.296296,74,1
q0042,relevance,human,6,3,1,0.166667,0,0.0,0,0.166667,44,1
q0042,harvest,machine,6,4,2,0.333333,2,0.333333,0,0.269231,60,1
q0042,harvest,human,6,4,2,0.333333,0,0.0,0,0.111111,39,1
q0043,relevance,machine,4,2,2,0.5,2,0.5,0,0.365079,412,1
q0043,relevance,human,4,2,2,0.5,0,0.0,0,0.3,38,1
q0043,harvest,machine,4,3,2,0.5,2,0.5,0,0.387097,275,1
q0043,harvest,human,4,3,2,0.5,1,0.25,0,0.428571,41,1
q0044,relevance,machine,6,3,2,0.333333,3,0.5,0,0.636364,110,1
q0044,relevance,human,6,3,2,0.333333,3,0.5,0,0.451613,53,1
q0044,harvest,machine,6,4,1,0.166667,3,0.5,0,0.560976,84,1
q0044,harvest,human,6,4,1,0.166667,3,0.5,0,0.428571,43,1
q0045,relevance,machine,5,3,3,0.6,3,0.6,0,0.631579,78,1
q0045,relevance,human,5,3,1,0.2,1,0.2,0,0.0,19,1
q0045,harvest,machine,5,5,3,0.6,2,0.4,0,0.3,38,1
q0045,harvest,human,5,5,1,0.2,1,0.2,0,0.166667,24,1
q0046,relevance,machine,4,1,2,0.5,0,0.0,0,0.25,154,1
q0046,relevance,human,4,1,0,0.0,0,0.0,0,0.48,64,1
q0046,harvest,machine,4,3,3,0.75,2,0.5,0,0.380282,415,1
q0046,harvest,human,4,3,0,0.0,0,0.0,0,0.409091,46,1
q0047,relevance,machine,4,1,1,0.25,0,0.0,0,0.583333,121,1
q0047,relevance,human,4,1,1,0.25,0,0.0,0,0.384615,53,1
q0047,harvest,machine,4,3,1,0.25,0,0.0,0,0.636364,133,1
q0047,harvest,human,4,3,1,0.25,0,0.0,0,0.238095,39,1
q0048,relevance,machine,5,2,2,0.4,1,0.2,0,0.675676,165,1
q0048,relevance,human,5,2,1,0.2,2,0.4,0,0.393939,53,1
q0048,harvest,machine,5,4,2,0.4,2,0.4,0,0.565217,85,1
q0048,harvest,human,5,4,1,0.2,2,0.4,0,0.32,47,1
q0049,relevance,machine,5,1,1,0.2,0,0.0,0,0.708333,122,1
q0049,relevance,human,5,1,1,0.2,1,0.2,0,0.235294,40,1
q0049,harvest,machine,5,3,1,0.2,0,0.0,0,0.263158,69,1
q0049,harvest,human,5,3,1,0.2,0,0.0,0,0.277778,47,1
q0050,relevance,machine,6,2,1,0.166667,2,0.333333,0,0.615385,112,1
q0050,relevance,human,6,2,1,0.166667,2,0.333333,0,0.333333,60,1
q0050,harvest,machine,6,5,0,0.0,2,0.333333,0,0.558824,86,1
q0050,harvest,human,6,5,0,0.0,2,0.333333,0,0.416667,43,1
q0051,relevance,machine,6,1,1,0.166667,1,0.166667,0,0.515152,89,1
q0051,relevance,human,6,1,1,0.166667,1,0.166667,0,0.391304,51,1
q0051,harvest,machine,6,4,1,0.166667,1,0.166667,0,0.238095,58,1
q0051,harvest,human,6,4,1,0.166667,1,0.166667,0,0.176471,34,1
q0052,relevance,machine,6,2,2,0.333333,1,0.166667,0,0.538462,108,1
q0052,relevance,human,6,2,1,0.166667,2,0.333333,0,0.586207,36,1
q0052,harvest,machine,6,3,2,0.333333,2,0.333333,0,0.454545,79,1
q0052,harvest,human,6,3,1,0.166667,2,0.333333,0,0.285714,46,1
q0053,relevance,machine,5,2,2,0.4,0,0.0,0,0.486486,143,1
q0053,relevance,human,5,2,2,0.4,1,0.2,0,0.5,51,1
q0053,harvest,machine,5,2,2,0.4,0,0.0,0,0.419355,100,1
q0053,harvest,human,5,2,2,0.4,1,0.2,0,0.26087,50,1
q0054,relevance,machine,5,2,0,0.0,2,0.4,0,0.666667,101,1
q0054,relevance,human,5,2,0,0.0,1,0.2,0,0.5,31,1
q0054,harvest,machine,5,2,0,0.0,1,0.2,0,0.357143,37,1
q0054,harvest,human,5,2,0,0.0,1,0.2,0,0.333333,37,1
q0055,relevance,machine,6,4,5,0.833333,3,0.5,0,0.435897,405,1
q0055,relevance,human,6,4,0,0.0,3,0.5,0,0.394737,59,1
q0055,harvest,machine,6,4,2,0.333333,4,0.666667,0,0.611111,227,1
q0055,harvest,human,6,4,3,0.5,3,0.5,0,0.487805,66,1
q0056,relevance,machine,6,2,2,0.333333,1,0.166667,0,0.653061,190,1
q0056,relevance,human,6,2,1,0.166667,1,0.166667,0,0.483871,46,1
q0056,harvest,machine,6,4,2,0.333333,1,0.166667,0,0.40625,284,1
q0056,harvest,human,6,4,1,0.166667,1,0.166667,0,0.555556,38,1
q0057,relevance,machine,5,2,2,0.4,2,0.4,0,0.571429,159,1
q0057,relevance,human,5,2,1,0.2,1,0.2,0,0.354839,61,1
q0057,harvest,machine,5,4,2,0.4,2,0.4,0,0.482759,114,1
q0057,harvest,human,5,4,1,0.2,2,0.4,0,0.4,57,1
q0058,relevance,machine,5,2,0,0.0,1,0.2,0,0.481481,97,1
q0058,relevance,human,5,2,3,0.6,2,0.4,0,0.2,45,1
q0058,harvest,machine,5,5,2,0.4,2,0.4,0,0.514286,89,1
q0058,harvest,human,5,5,2,0.4,1,0.2,0,0.4,37,1
q0059,relevance,machine,5,2,2,0.4,0,0.0,0,0.55,129,1
q0059,relevance,human,5,2,2,0.4,2,0.4,0,0.310345,58,1
q0059,harvest,machine,5,4,2,0.4,2,0.4,0,0.5,99,1
q0059,harvest,human,5,4,1,0.2,2,0.4,0,0.380952,67,1
