query_id,pool,n_relevant,T_A,T_B,workload
q00019,logistics,27,0.800694,0.583433,B
q00020,logistics,31,0.429596,0.504906,B
q00021,facilities,28,0.863015,1.0,B
q00022,engineering,22,0.826813,0.921602,B
q00023,logistics,20,0.765593,0.696162,B
q00024,engineering,31,1.0,1.0,B
q00025,logistics,25,0.800694,0.456899,B
q00026,engineering,23,0.864315,1.0,B
q00027,engineering,35,1.0,1.0,B
q00028,logistics,25,0.800694,0.456899,B
q00029,logistics,22,0.72733,0.768227,B
q00030,engineering,31,1.0,1.0,B
q00031,engineering,35,1.0,1.0,B
q00032,logistics,22,0.665291,0.78855,B
q00033,facilities,33,0.652371,0.870125,B
q00034,facilities,36,0.905212,0.930569,B
q00035,facilities,25,0.781805,1.0,B
q00036,logistics,27,0.778807,0.791727,B
q00037,facilities,26,0.921602,1.0,B
q00038,logistics,28,0.709375,0.933746,B
q00039,logistics,31,0.429596,0.504906,B
q00040,engineering,28,1.0,1.0,B
q00041,engineering,20,0.933746,1.0,B
q00042,facilities,31,0.731447,1.0,B
q00043,facilities,31,1.0,1.0,B
q00044,engineering,22,1.0,1.0,B
q00045,engineering,22,1.0,1.0,B
q00046,facilities,29,0.334051,0.136985,B
q00047,logistics,22,0.708441,0.063621,B
q00048,logistics,20,0.538886,0.435475,B
q00049,engineering,29,0.866948,1.0,B
q00050,logistics,20,0.617585,0.715186,B
q00051,facilities,28,0.870125,1.0,B
q00052,engineering,20,1.0,1.0,B
q00053,engineering,26,1.0,1.0,B
q00054,engineering,26,1.0,1.0,B
q00055,logistics,30,0.432318,0.618866,B
q00056,facilities,33,0.652371,0.870125,B
q00057,engineering,23,0.930569,1.0,B
q00058,logistics,27,0.778807,0.791727,B
q00059,logistics,25,0.538431,0.205117,B
q00060,logistics,29,0.538431,0.078398,B
q00061,logistics,26,0.652371,0.568458,B
q00062,logistics,31,0.527106,0.220092,B
q00063,logistics,26,0.836459,0.712552,B
q00064,facilities,25,0.781805,1.0,B
q00065,logistics,25,0.173187,0.0,B
q00066,logistics,31,0.709375,0.725452,B
q00067,facilities,31,1.0,1.0,B
q00068,logistics,23,0.756448,0.403502,B
q00069,logistics,33,0.422095,0.327307,B
q00070,facilities,27,0.520618,0.870125,B
q00071,engineering,29,1.0,0.930569,B
q00072,facilities,31,0.820069,0.936379,B
q00073,facilities,22,0.784617,0.926636,B
q00074,engineering,28,0.933746,0.855348,B
q00075,logistics,27,0.800694,0.583433,B
q00076,engineering,21,1.0,0.930569,B
q00077,facilities,27,0.407415,0.921602,B
q00078,facilities,27,1.0,1.0,B
q00079,facilities,27,1.0,1.0,B
q00080,logistics,25,0.642187,0.094788,B
q00081,engineering,22,0.933746,0.933746,B
q00082,facilities,25,0.781805,1.0,B
q00083,engineering,28,0.933746,0.855348,B
q00084,engineering,20,1.0,1.0,B
q00085,facilities,27,0.407415,0.921602,B
q00086,logistics,28,0.709375,0.933746,B
q00087,facilities,29,0.848603,1.0,B
q00088,engineering,26,1.0,1.0,B
q00089,engineering,28,1.0,1.0,B
q00090,facilities,25,0.930569,1.0,B
q00091,engineering,26,1.0,1.0,B
q00092,engineering,26,0.936379,1.0,B
q00093,engineering,35,1.0,1.0,B
q00094,logistics,22,0.72733,0.768227,B
q00095,facilities,29,0.549434,0.135685,B
q00096,engineering,20,0.930569,1.0,B
q00097,logistics,20,0.665291,0.745302,B
q00098,engineering,28,1.0,1.0,B
q00099,logistics,30,0.637152,0.658181,B
q00100,logistics,20,0.793584,0.711618,B
q00101,logistics,20,0.617585,0.715186,B
q00102,facilities,31,0.921602,1.0,B
q00103,engineering,31,1.0,1.0,B
q00104,logistics,25,0.173187,0.0,B
q00105,engineering,23,0.930569,1.0,B
q00106,facilities,22,1.0,0.841591,B
q00107,facilities,36,1.0,1.0,B
q00108,logistics,30,0.432318,0.618866,B
q00109,facilities,29,0.47479,0.069431,B
q00110,engineering,21,1.0,0.930569,B
q00111,facilities,23,0.469,0.574337,B
q00112,facilities,21,0.425208,0.147829,B
q00113,engineering,26,0.936379,1.0,B
q00114,engineering,22,0.826813,0.921602,B
q00115,logistics,31,0.220092,0.0,B
q00116,facilities,22,0.784617,0.926636,B
q00117,facilities,36,0.936379,0.930569,B
q00118,logistics,30,0.637152,0.658181,B
q00119,facilities,31,0.921602,1.0,B
q00120,facilities,22,0.784617,0.926636,B
q00121,facilities,26,1.0,1.0,B
q00122,facilities,21,0.573038,0.173187,B
q00123,logistics,30,0.49464,0.705808,B
q00124,logistics,25,0.800694,0.456899,B
q00125,logistics,20,0.617585,0.715186,B
q00126,facilities,21,0.425208,0.147829,B
q00127,facilities,28,0.863015,1.0,B
q00128,engineering,29,1.0,1.0,B
q00129,logistics,29,0.574337,0.542364,B
q00130,logistics,33,0.422095,0.327307,B
q00131,logistics,30,0.425208,0.613653,B
q00132,facilities,36,0.936379,0.930569,B
q00133,engineering,26,0.936379,1.0,B
q00134,engineering,39,1.0,1.0,B
q00135,logistics,29,0.538431,0.745302,B
q00136,facilities,31,0.731447,1.0,B
q00137,engineering,35,1.0,1.0,B
q00138,engineering,31,1.0,1.0,B
q00139,engineering,22,1.0,1.0,B
q00140,facilities,25,0.781805,1.0,B
q00141,engineering,22,1.0,1.0,B
q00142,engineering,39,1.0,1.0,B
q00143,engineering,31,1.0,1.0,B
q00144,engineering,29,0.866948,1.0,B
q00145,facilities,33,0.652371,0.870125,B
q00146,engineering,28,1.0,1.0,B
q00147,facilities,28,0.863015,1.0,B
q00148,logistics,33,0.747935,0.568458,B
q00149,engineering,29,1.0,1.0,B
