k,query_id,aspect,n_relevant,sim_pooled,sim_maxcard,ndcg10_pooled,ndcg10_maxcard,recall10_pooled,recall10_maxcard
1,q00100,procurement,4,0.411805,0.411805,0.849435,0.849435,1.0,1.0
1,q00101,marketing,4,0.335784,0.335784,0.666505,0.666505,1.0,1.0
1,q00102,engineering,3,0.536912,0.536912,0.860344,0.860344,1.0,1.0
1,q00103,personnel,3,0.533277,0.533277,0.913402,0.913402,1.0,1.0
1,q00104,marketing,3,0.378058,0.378058,0.636439,0.636439,0.666667,0.666667
1,q00105,personnel,5,0.546123,0.546123,0.621794,0.621794,0.6,0.6
1,q00106,marketing,3,0.359696,0.359696,0.469279,0.469279,0.333333,0.333333
1,q00107,facilities,4,0.420112,0.420112,0.787702,0.787702,0.75,0.75
1,q00108,research,4,0.656155,0.656155,1.0,1.0,1.0,1.0
1,q00109,marketing,3,0.350478,0.350478,0.469279,0.469279,0.333333,0.333333
1,q00110,engineering,3,0.612829,0.612829,0.967468,0.967468,1.0,1.0
1,q00111,logistics,6,0.516554,0.516554,0.685069,0.685069,0.833333,0.833333
1,q00112,research,4,0.550976,0.550976,0.875646,0.875646,1.0,1.0
1,q00113,engineering,2,0.482258,0.482258,0.624051,0.624051,1.0,1.0
1,q00114,facilities,4,0.583288,0.583288,0.982892,0.982892,1.0,1.0
1,q00115,research,3,0.36035,0.36035,0.88546,0.88546,1.0,1.0
1,q00116,facilities,2,0.542266,0.542266,1.0,1.0,1.0,1.0
1,q00117,security,7,0.369551,0.369551,0.729012,0.729012,0.714286,0.714286
1,q00118,personnel,1,0.527256,0.527256,0.356207,0.356207,1.0,1.0
1,q00119,engineering,5,0.486576,0.486576,0.742605,0.742605,0.8,0.8
1,q00120,logistics,6,0.516554,0.516554,0.685069,0.685069,0.833333,0.833333
1,q00121,security,7,0.443979,0.443979,0.764081,0.764081,0.714286,0.714286
1,q00122,research,3,0.49007,0.49007,0.812653,0.812653,1.0,1.0
1,q00123,personnel,3,0.633479,0.633479,0.639456,0.639456,1.0,1.0
1,q00124,logistics,1,0.511393,0.511393,0.356207,0.356207,1.0,1.0
1,q00125,engineering,2,0.626557,0.626557,0.624051,0.624051,1.0,1.0
1,q00126,personnel,1,0.549763,0.549763,0.63093,0.63093,1.0,1.0
1,q00127,finance,6,0.535039,0.535039,0.805847,0.805847,0.833333,0.833333
1,q00128,finance,6,0.553277,0.553277,0.681862,0.681862,0.666667,0.666667
1,q00129,procurement,3,0.380085,0.380085,0.703918,0.703918,0.666667,0.666667
1,q00130,finance,6,0.463678,0.463678,0.657153,0.657153,0.666667,0.666667
1,q00131,security,5,0.441188,0.441188,0.654809,0.654809,0.6,0.6
1,q00132,logistics,1,0.519576,0.519576,0.430677,0.430677,1.0,1.0
1,q00133,research,3,0.656261,0.656261,0.817981,0.817981,1.0,1.0
1,q00134,marketing,3,0.397089,0.397089,0.431734,0.431734,0.666667,0.666667
1,q00135,engineering,5,0.426785,0.426785,0.932517,0.932517,1.0,1.0
1,q00136,procurement,5,0.457146,0.457146,0.636596,0.636596,1.0,1.0
1,q00137,facilities,7,0.616709,0.616709,0.684223,0.684223,0.714286,0.714286
1,q00138,security,3,0.36794,0.36794,0.671386,0.671386,0.666667,0.666667
1,q00139,procurement,4,0.411805,0.411805,0.849435,0.849435,1.0,1.0
1,q00140,finance,5,0.559754,0.559754,0.787011,0.787011,0.8,0.8
1,q00141,research,3,0.688895,0.688895,0.932521,0.932521,1.0,1.0
1,q00142,personnel,4,0.609147,0.609147,0.961999,0.961999,1.0,1.0
1,q00143,personnel,4,0.491939,0.491939,0.168128,0.168128,0.25,0.25
1,q00144,security,1,0.449459,0.449459,1.0,1.0,1.0,1.0
1,q00145,security,6,0.616622,0.616622,0.74091,0.74091,0.666667,0.666667
1,q00146,legal,3,0.545551,0.545551,0.967468,0.967468,1.0,1.0
1,q00147,engineering,1,0.477496,0.477496,0.63093,0.63093,1.0,1.0
1,q00148,procurement,3,0.424688,0.424688,0.906628,0.906628,1.0,1.0
1,q00149,security,3,0.427618,0.427618,0.636439,0.636439,0.666667,0.666667
1,q00150,legal,2,0.644259,0.644259,0.831555,0.831555,1.0,1.0
1,q00151,legal,4,0.466673,0.466673,0.559009,0.559009,0.75,0.75
1,q00152,finance,5,0.445787,0.445787,0.549948,0.549948,0.8,0.8
1,q00153,finance,4,0.486077,0.486077,0.636682,0.636682,0.5,0.5
1,q00154,legal,3,0.515525,0.515525,0.650821,0.650821,0.666667,0.666667
1,q00155,finance,3,0.54746,0.54746,0.650821,0.650821,0.666667,0.666667
1,q00156,research,2,0.681823,0.681823,0.306574,0.306574,0.5,0.5
1,q00157,personnel,4,0.604372,0.604372,0.955024,0.955024,1.0,1.0
1,q00158,facilities,4,0.420112,0.420112,0.787702,0.787702,0.75,0.75
1,q00159,marketing,3,0.322088,0.322088,0.431734,0.431734,0.666667,0.666667
1,q00160,facilities,7,0.517156,0.517156,0.732011,0.732011,0.714286,0.714286
1,q00161,procurement,3,0.535179,0.535179,0.807247,0.807247,1.0,1.0
1,q00162,engineering,2,0.425057,0.425057,0.850345,0.850345,1.0,1.0
1,q00163,marketing,2,0.243825,0.243825,0.386853,0.386853,0.5,0.5
1,q00164,logistics,5,0.506213,0.506213,0.761802,0.761802,0.8,0.8
1,q00165,facilities,1,0.487168,0.487168,0.333333,0.333333,1.0,1.0
1,q00166,security,4,0.39223,0.39223,0.970929,0.970929,1.0,1.0
1,q00167,personnel,4,0.566008,0.566008,0.879654,0.879654,1.0,1.0
1,q00168,personnel,6,0.572139,0.572139,0.792382,0.792382,0.833333,0.833333
1,q00169,procurement,1,0.663597,0.663597,1.0,1.0,1.0,1.0
1,q00170,legal,4,0.466673,0.466673,0.559009,0.559009,0.75,0.75
1,q00171,security,4,0.340628,0.340628,0.0,0.0,0.0,0.0
1,q00172,procurement,4,0.427442,0.427442,0.842142,0.842142,1.0,1.0
1,q00173,logistics,5,0.436593,0.436593,0.853932,0.853932,0.8,0.8
1,q00174,facilities,2,0.62594,0.62594,0.850345,0.850345,1.0,1.0
1,q00175,personnel,3,0.607629,0.607629,0.967468,0.967468,1.0,1.0
1,q00176,logistics,3,0.449869,0.449869,0.906025,0.906025,1.0,1.0
1,q00177,research,4,0.656155,0.656155,1.0,1.0,1.0,1.0
1,q00178,personnel,3,0.459493,0.459493,0.636439,0.636439,0.666667,0.666667
1,q00179,legal,3,0.574517,0.574517,0.792865,0.792865,1.0,1.0
1,q00180,engineering,3,0.48949,0.48949,0.549841,0.549841,1.0,1.0
1,q00181,marketing,4,0.335784,0.335784,0.666505,0.666505,1.0,1.0
1,q00182,legal,3,0.574517,0.574517,0.792865,0.792865,1.0,1.0
1,q00183,logistics,6,0.484711,0.484711,0.646964,0.646964,0.833333,0.833333
1,q00184,facilities,1,0.666288,0.666288,1.0,1.0,1.0,1.0
1,q00185,facilities,1,0.675885,0.675885,1.0,1.0,1.0,1.0
1,q00186,research,4,0.616898,0.616898,0.739747,0.739747,1.0,1.0
1,q00187,facilities,4,0.420112,0.420112,0.787702,0.787702,0.75,0.75
1,q00188,logistics,1,0.306657,0.306657,0.430677,0.430677,1.0,1.0
1,q00189,procurement,6,0.571045,0.571045,0.823389,0.823389,0.833333,0.833333
1,q00190,finance,6,0.598244,0.598244,0.580995,0.580995,0.5,0.5
1,q00191,personnel,3,0.602442,0.602442,1.0,1.0,1.0,1.0
1,q00192,security,4,0.23758,0.23758,0.0,0.0,0.0,0.0
1,q00193,marketing,3,0.34782,0.34782,0.234639,0.234639,0.333333,0.333333
1,q00194,facilities,6,0.560085,0.560085,0.486159,0.486159,0.666667,0.666667
1,q00195,logistics,6,0.516554,0.516554,0.685069,0.685069,0.833333,0.833333
1,q00196,engineering,2,0.502139,0.502139,0.510956,0.510956,1.0,1.0
1,q00197,finance,5,0.633603,0.633603,0.868795,0.868795,0.8,0.8
1,q00198,facilities,4,0.587456,0.587456,0.577218,0.577218,1.0,1.0
1,q00199,research,3,0.438346,0.438346,0.181542,0.181542,0.333333,0.333333
2,q00000,procurement,8,0.43683,0.547845,0.329086,0.40712,0.25,0.5
2,q00001,engineering,7,0.386913,0.454773,0.610277,0.790839,0.571429,0.714286
2,q00002,security,7,0.360764,0.396649,0.118383,0.390667,0.142857,0.571429
2,q00003,facilities,5,0.482665,0.558279,0.50874,0.66014,0.4,0.6
2,q00004,procurement,8,0.269856,0.361742,0.329086,0.511139,0.25,0.5
2,q00005,security,8,0.409309,0.419728,0.502632,0.564891,0.375,0.625
2,q00006,procurement,8,0.459447,0.605607,0.329484,0.247112,0.375,0.375
2,q00007,marketing,4,0.293363,0.395478,0.520507,0.775739,0.5,0.75
2,q00008,finance,10,0.354923,0.511985,0.142019,0.650513,0.2,0.6
2,q00009,personnel,8,0.490717,0.669215,0.174414,0.666321,0.25,0.625
2,q00010,procurement,8,0.272727,0.355928,0.455557,0.508225,0.375,0.5
2,q00011,research,2,0.46549,0.663744,0.386853,0.81753,0.5,1.0
2,q00012,personnel,9,0.430098,0.562171,0.249526,0.528732,0.222222,0.555556
2,q00013,security,5,0.505238,0.58035,0.592222,0.589299,0.6,0.8
2,q00014,logistics,5,0.228748,0.254219,0.473108,0.422642,0.6,0.6
2,q00015,security,7,0.369683,0.480122,0.429249,0.665199,0.428571,0.571429
2,q00016,facilities,6,0.403929,0.442995,0.580995,0.762926,0.5,0.833333
2,q00017,research,8,0.255115,0.440324,0.076143,0.721056,0.125,0.625
2,q00018,marketing,6,0.347197,0.439366,0.76716,0.970409,0.833333,1.0
2,q00019,personnel,9,0.468536,0.617482,0.423324,0.696393,0.333333,0.666667
2,q00020,finance,11,0.372433,0.458079,0.248908,0.53681,0.181818,0.545455
2,q00021,personnel,9,0.432945,0.641763,0.629476,0.855096,0.555556,0.777778
2,q00022,security,3,0.408527,0.441923,0.181542,0.296082,0.333333,0.333333
2,q00023,finance,4,0.295964,0.44077,0.0,0.39038,0.0,0.25
2,q00024,research,7,0.383629,0.604647,0.499028,0.649433,0.428571,0.571429
2,q00025,engineering,3,0.588003,0.549202,0.967468,0.463242,1.0,0.666667
2,q00026,security,2,0.411995,0.439025,0.613147,0.193426,0.5,0.5
2,q00027,research,4,0.225188,0.351859,0.0,0.123151,0.0,0.25
2,q00028,research,10,0.256314,0.358363,0.205117,0.299905,0.2,0.3
2,q00029,procurement,7,0.269468,0.325817,0.275797,0.511995,0.428571,0.571429
2,q00030,finance,7,0.395073,0.514696,0.205097,0.347446,0.285714,0.428571
2,q00031,marketing,10,0.274647,0.339773,0.212226,0.532141,0.2,0.4
2,q00032,procurement,10,0.430813,0.615204,0.567043,0.711618,0.5,0.6
2,q00033,procurement,5,0.219627,0.302393,0.0,0.351252,0.0,0.6
2,q00034,research,2,0.418588,0.676898,0.386853,0.831555,0.5,1.0
2,q00035,security,7,0.469845,0.513726,0.518651,0.34451,0.428571,0.428571
2,q00036,marketing,6,0.284903,0.385378,0.307983,0.489155,0.333333,0.5
2,q00037,facilities,6,0.577763,0.611301,0.806914,0.827097,0.833333,0.833333
2,q00038,finance,5,0.511509,0.590092,0.616434,0.806208,0.6,0.8
2,q00039,facilities,8,0.495306,0.595936,0.333259,0.692783,0.375,0.75
2,q00040,facilities,6,0.403929,0.442995,0.580995,0.762926,0.5,0.833333
2,q00041,logistics,6,0.480105,0.536986,0.732296,0.86262,0.666667,0.833333
2,q00042,personnel,3,0.451516,0.571921,0.296082,0.921787,0.333333,1.0
2,q00043,procurement,3,0.275239,0.37717,0.234639,0.317194,0.333333,0.666667
2,q00044,facilities,6,0.424963,0.487119,0.422112,0.775148,0.5,0.666667
2,q00045,personnel,9,0.38631,0.584262,0.426717,0.726682,0.333333,0.666667
2,q00046,procurement,5,0.219627,0.302393,0.0,0.351252,0.0,0.6
2,q00047,security,8,0.409309,0.419728,0.502632,0.564891,0.375,0.625
2,q00048,facilities,3,0.473205,0.620745,0.302812,0.732829,0.666667,1.0
2,q00049,legal,10,0.555191,0.654522,0.573038,0.866948,0.5,0.8
2,q00050,security,8,0.426281,0.509698,0.607917,0.568992,0.625,0.625
2,q00051,procurement,7,0.221443,0.31667,0.479973,0.586686,0.428571,0.571429
2,q00052,engineering,10,0.383693,0.373548,0.826813,0.83578,0.8,0.8
2,q00053,engineering,7,0.523238,0.61077,0.382467,0.354087,0.571429,0.428571
2,q00054,personnel,4,0.413212,0.522263,0.139056,0.58557,0.25,0.5
2,q00055,facilities,8,0.467089,0.576688,0.540791,0.61932,0.625,0.5
2,q00056,procurement,7,0.269468,0.325817,0.275797,0.511995,0.428571,0.571429
2,q00057,security,8,0.426281,0.509698,0.607917,0.568992,0.625,0.625
2,q00058,facilities,5,0.545824,0.544072,0.60604,0.436895,0.6,0.6
2,q00059,legal,12,0.462972,0.51448,0.74167,0.621499,0.583333,0.583333
2,q00060,personnel,10,0.322119,0.487943,0.085143,0.409951,0.1,0.4
2,q00061,legal,7,0.514867,0.620751,0.0,0.467927,0.0,0.428571
2,q00062,personnel,10,0.322119,0.487943,0.085143,0.409951,0.1,0.4
2,q00063,facilities,5,0.561894,0.588163,0.529635,0.719833,0.6,0.8
2,q00064,finance,3,0.466926,0.565798,0.469279,0.871079,0.333333,1.0
2,q00065,engineering,7,0.412546,0.443712,0.235351,0.377677,0.285714,0.428571
2,q00066,finance,2,0.528624,0.594097,0.613147,0.580279,0.5,1.0
2,q00067,legal,9,0.594765,0.667985,0.37995,0.299966,0.333333,0.333333
2,q00068,personnel,3,0.466567,0.549333,0.296082,0.851959,0.333333,1.0
2,q00069,security,7,0.319436,0.456595,0.417203,0.585742,0.428571,0.428571
2,q00070,research,4,0.353646,0.498768,0.246302,0.636682,0.25,0.5
2,q00071,marketing,7,0.214516,0.236316,0.265053,0.274876,0.285714,0.142857
2,q00072,legal,6,0.575541,0.604069,0.321245,0.408716,0.333333,0.5
2,q00073,facilities,5,0.483966,0.613538,0.16958,0.514771,0.2,0.6
2,q00074,legal,6,0.532558,0.607152,0.198882,0.701678,0.333333,0.666667
2,q00075,procurement,5,0.259248,0.314178,0.213986,0.220047,0.2,0.4
2,q00076,logistics,6,0.503613,0.58395,0.685483,0.876016,0.666667,0.833333
2,q00077,procurement,10,0.461846,0.675144,0.453743,0.722295,0.3,0.6
2,q00078,security,9,0.394654,0.447517,0.609645,0.724118,0.666667,0.666667
2,q00079,research,8,0.433608,0.652346,0.692437,0.578451,0.625,0.5
2,q00080,personnel,6,0.281178,0.435304,0.281625,0.09546,0.333333,0.166667
2,q00081,legal,7,0.568416,0.620391,0.789992,0.941451,0.714286,1.0
2,q00082,facilities,11,0.502008,0.604069,0.551331,0.693663,0.454545,0.545455
2,q00083,personnel,9,0.380851,0.545432,0.484571,0.921651,0.333333,0.888889
2,q00084,facilities,7,0.430984,0.441057,0.402491,0.610277,0.428571,0.571429
2,q00085,security,3,0.315264,0.336641,0.469279,0.234639,0.333333,0.333333
2,q00086,facilities,5,0.486627,0.518826,0.459972,0.379371,0.4,0.6
2,q00087,procurement,5,0.219627,0.302393,0.0,0.351252,0.0,0.6
2,q00088,personnel,3,0.503777,0.576096,0.358534,0.469279,0.666667,0.333333
2,q00089,security,9,0.403115,0.566731,0.0,0.373232,0.0,0.444444
2,q00090,engineering,7,0.405696,0.427761,0.414857,0.637034,0.571429,0.571429
2,q00091,marketing,3,0.296164,0.28517,0.16716,0.135652,0.333333,0.333333
2,q00092,legal,6,0.454994,0.508207,0.40347,0.696773,0.333333,0.666667
2,q00093,legal,6,0.582088,0.637314,0.520532,0.576627,0.5,0.666667
2,q00094,research,10,0.256314,0.358363,0.205117,0.299905,0.2,0.3
2,q00095,engineering,3,0.515192,0.445568,0.871079,0.463242,1.0,0.666667
2,q00096,procurement,10,0.257368,0.364533,0.085143,0.522496,0.1,0.4
2,q00097,research,9,0.297804,0.490184,0.152497,0.629476,0.222222,0.555556
2,q00098,facilities,9,0.563448,0.610582,0.693022,0.895959,0.555556,0.888889
2,q00099,logistics,6,0.337078,0.414823,0.505852,0.678755,0.5,0.666667
2,q00100,finance,3,0.466926,0.565798,0.469279,0.871079,0.333333,1.0
2,q00101,finance,10,0.47117,0.567743,0.403502,0.754269,0.3,0.7
2,q00102,personnel,5,0.318289,0.565886,0.0,0.553146,0.0,0.4
2,q00103,personnel,3,0.495655,0.616149,0.234639,0.946902,0.333333,1.0
2,q00104,engineering,6,0.460733,0.560631,0.407784,0.489155,0.666667,0.5
2,q00105,engineering,10,0.443758,0.50624,0.356596,0.715551,0.4,0.6
2,q00106,research,4,0.264888,0.538503,0.0,0.831872,0.0,0.75
2,q00107,procurement,6,0.376978,0.527242,0.195261,0.543515,0.333333,0.833333
2,q00108,facilities,5,0.486627,0.518826,0.459972,0.379371,0.4,0.6
2,q00109,finance,5,0.346625,0.455411,0.267619,0.655244,0.4,0.6
2,q00110,marketing,6,0.229592,0.314263,0.325585,0.970544,0.5,1.0
2,q00111,facilities,11,0.502008,0.604069,0.551331,0.693663,0.454545,0.545455
2,q00112,facilities,7,0.430984,0.441057,0.402491,0.610277,0.428571,0.571429
2,q00113,personnel,9,0.379751,0.55725,0.685819,0.67285,0.555556,0.555556
2,q00114,research,8,0.246843,0.372863,0.155938,0.341755,0.25,0.375
2,q00115,legal,12,0.515579,0.566193,0.551331,0.848238,0.416667,0.666667
2,q00116,security,9,0.449284,0.534929,0.602094,0.872072,0.444444,0.888889
2,q00117,facilities,6,0.60104,0.688526,0.601312,0.857348,0.5,0.833333
2,q00118,security,5,0.505238,0.58035,0.592222,0.589299,0.6,0.8
2,q00119,personnel,3,0.525616,0.612956,0.436747,0.469279,0.666667,0.333333
2,q00120,marketing,9,0.128885,0.22258,0.148297,0.256222,0.111111,0.333333
2,q00121,security,7,0.41539,0.400863,0.589685,0.373709,0.571429,0.571429
2,q00122,legal,6,0.580563,0.662356,0.467245,0.590023,0.666667,0.666667
2,q00123,procurement,7,0.338121,0.44122,0.673023,0.500404,0.571429,0.571429
2,q00124,legal,7,0.567397,0.681347,0.448304,0.668488,0.285714,0.571429
2,q00125,legal,6,0.575541,0.604069,0.321245,0.408716,0.333333,0.5
2,q00126,finance,5,0.411875,0.497859,0.843538,0.956591,0.8,1.0
2,q00127,procurement,5,0.219627,0.302393,0.0,0.351252,0.0,0.6
2,q00128,research,5,0.422328,0.709453,0.113053,0.786014,0.2,0.8
2,q00129,logistics,6,0.428202,0.517056,0.561693,0.584227,0.5,0.5
2,q00130,procurement,5,0.188356,0.364053,0.300785,0.5681,0.4,0.8
2,q00131,personnel,4,0.413212,0.522263,0.139056,0.58557,0.25,0.5
2,q00132,finance,6,0.365378,0.471004,0.419665,0.252169,0.333333,0.333333
2,q00133,personnel,4,0.392366,0.593611,0.318341,0.554338,0.5,0.75
2,q00134,facilities,5,0.561894,0.588163,0.529635,0.719833,0.6,0.8
2,q00135,logistics,6,0.321102,0.408195,0.549364,0.711453,0.5,0.666667
2,q00136,research,4,0.390874,0.515451,0.363318,0.636682,0.5,0.5
2,q00137,engineering,2,0.448063,0.493029,0.613147,0.850345,0.5,1.0
2,q00138,research,6,0.315373,0.566368,0.321245,0.712358,0.333333,0.833333
2,q00139,finance,2,0.528624,0.594097,0.613147,0.580279,0.5,1.0
2,q00140,procurement,10,0.236669,0.386487,0.249363,0.56311,0.3,0.5
2,q00141,finance,7,0.395073,0.514696,0.205097,0.347446,0.285714,0.428571
2,q00142,research,6,0.315373,0.566368,0.321245,0.712358,0.333333,0.833333
2,q00143,finance,8,0.375411,0.517871,0.126471,0.531774,0.125,0.5
2,q00144,procurement,5,0.219627,0.302393,0.0,0.351252,0.0,0.6
2,q00145,security,7,0.369683,0.480122,0.429249,0.665199,0.428571,0.571429
