accuracy,accuracy_answered,answer_cached_questions,answer_cost_per_correct_usd,answer_cost_usd,answer_p50_seconds,answer_p95_seconds,answer_tokens_in,answer_tokens_out,answered,binary_scored,cohort,config_sha256,context_budget_tokens,correct,cost_per_correct_basis,dataset,empty_answer_questions,evaluation_cost_usd,exact_match_accuracy,f1_mean,incremental_answer_usd_recorded,incremental_api_usd_recorded,index_llm_usd,index_seconds,index_storage_bytes,indexed_groups,judge,logical_answer_cost_usd,mean_context_tokens,mean_score,mean_score_denominator,questions,reader,requested_questions,retrieval_gold_questions,retrieval_incomplete_evidence_excluded,retrieval_metrics,retrieval_p50_seconds,retrieval_p95_seconds,retrieved,scope,score_label,score_metric,scored,serving_p50_seconds,serving_p95_seconds,source_corpus_bytes,source_groups,source_tokens,source_tokens_complete,status,unanswered,unscored,variant,verified_correct_fraction_of_full
0.86,0.86,0,0.005395779069767441,0.4640369999999999,2.428116687486181,4.56026787473238,481586.0,27426.0,100,100,all,d806a7e405ef6f2a4664fad0f5bde653c97823963785b9450d9a1a4601bebadf,4000,86.0,binary_correct,factconsolidation_sh_64k,0,0.0,,,0.4640369999999999,0.4640369999999999,0.0,42.395015457994305,761391,1,gemini-2.5-flash-lite,0.4640369999999999,3999.77,0.86,100,100,gemini-3.6-flash,100,0,0,{},0.07219699950655922,0.13161271669960115,100,full,substring exact match,"[""substring_exact_match""]",100,2.5004499790084083,4.631982897978741,356176,1,77984.0,True,complete,0,0,factconsolidation_sh_64k,0.86
1.0,1.0,0,0.004503314999999999,0.4503314999999999,2.4379347914946266,3.390924904160783,478017.0,24485.0,100,100,all,0eb8af723fc831a126ae7759c0443a7e785689efed7a01e4445be08c096f5cb1,4000,100.0,binary_correct,factconsolidation_sh_6k,0,0.0,,,0.4503314999999999,0.4503314999999999,0.0,8.632293917005882,74514,1,gemini-2.5-flash-lite,0.4503314999999999,4000.0,1.0,100,100,gemini-3.6-flash,100,0,0,{},0.03547324953251518,0.046946472866693505,100,full,substring exact match,"[""substring_exact_match""]",100,2.4725047079846263,3.433341300312895,33824,1,7082.0,True,complete,0,0,factconsolidation_sh_6k,1.0
0.612987012987013,0.612987012987013,12,0.008864999999999996,8.368559999999997,3.5734417909989133,5.707546174654271,7379130.0,755790.0,1540,1540,headline,a44e0e42c7209541a050b5cc45825fe0e3999609fc3cca70ea43d4b89d1f2e22,4000,944.0,binary_correct,locomo,0,0.015158799999999997,,,8.305803,8.320837900000011,0.0,31.81813258305192,8390568,10,gemini-2.5-flash-lite,8.368559999999997,3997.0435064935064,0.612987012987013,1540,1540,gemini-3.6-flash,1540,1531,5,"{""all_evidence_at_budget"": 0.6688438928804703, ""evidence_recall_at_budget"": 0.7303886453111044, ""recall_at_10"": 0.4449332031765658, ""recall_at_100"": 0.7979138583408846, ""recall_at_5"": 0.34412628638336556}",0.026557895995210856,0.03315428121713921,1540,full,judge accuracy,"[""judge""]",1540,3.6014496450079605,5.735960484735552,2000166,10,196490.0,True,complete,0,0,locomo10_all_categories,0.612987012987013
0.8789237668161435,0.8789237668161435,1,0.00668803507653061,2.621709749999999,4.441009667003527,5.863138936998439,2133233.0,272476.0,446,446,adversarial,a44e0e42c7209541a050b5cc45825fe0e3999609fc3cca70ea43d4b89d1f2e22,4000,392.0,binary_correct,locomo,0,0.0035379,,,2.617280249999999,2.62081815,0.0,31.81813258305192,8390568,10,gemini-2.5-flash-lite,2.621709749999999,3996.5336322869957,0.8789237668161435,446,446,gemini-3.6-flash,446,0,0,{},0.026824978995136917,0.03316482300579082,446,full,judge accuracy,"[""judge""]",446,4.468628229515161,5.891379052249249,2000166,10,196490.0,True,complete,0,0,locomo10_all_categories,0.8789237668161435
0.8,0.8,2,0.005843116874999998,2.3372467499999994,3.5595796879788395,5.815933798268087,1878119.0,247642.0,500,500,all,e754b731c347bff60b7dd6750e0ee6b306e4c9af031d51ba63f04c3e8ac3d947,4000,400.0,binary_correct,longmemeval_oracle,0,0.008796599999999998,,,2.3252197499999996,2.333985350000001,0.0,690.3189163709758,33335431,500,gemini-2.5-flash-lite,2.3372467499999994,3623.846,0.8,500,500,gemini-3.6-flash,500,479,0,"{""all_evidence_at_budget"": 0.8183716075156576, ""evidence_recall_at_budget"": 0.8869519832985386, ""recall_at_10"": 0.8696590118302018, ""recall_at_100"": 1.0, ""recall_at_5"": 0.7170146137787057}",0.042709437024313956,0.07773443753249006,500,full,judge accuracy,"[""judge""]",500,3.6021599375235382,5.870093614290816,14689385,500,3029881.0,True,complete,0,0,oracle,0.8
0.782,0.782,0,0.0064969641943734,2.5403129999999994,3.625224208488362,5.674742516310652,2085219.0,260373.0,500,500,all,72b234dcc94c0866e8bb8ccf7e6bdd16b0731bf675183e0c7a2709ce64f26ee6,4000,391.0,binary_correct,longmemeval_s,0,0.008766500000000007,,,2.5403129999999994,2.547511899999997,0.0,14005.522406533419,645696118,500,gemini-2.5-flash-lite,2.5403129999999994,3999.614,0.782,500,500,gemini-3.6-flash,500,479,0,"{""all_evidence_at_budget"": 0.7599164926931107, ""evidence_recall_at_budget"": 0.8437717466945024, ""recall_at_10"": 0.8045233124565067, ""recall_at_100"": 0.9772094641614475, ""recall_at_5"": 0.6460334029227558}",0.05123252095654607,0.06678836072096597,500,full,judge accuracy,"[""judge""]",500,3.681308313010959,5.723948124697199,295292129,500,54701150.0,True,complete,0,0,s,0.782
0.4953051643192488,0.4953051643192488,0,0.0110820681279621,14.029898250000018,4.412780999526149,5.9249493957613595,10888861.0,1563534.0,2556,2556,all,454f4011c0a5d61554920dc70d0b11bd576db193aca02aee3919a3073f1d640e,4000,1266.0,binary_correct,multihoprag,0,0.034426099999999994,,,14.029898250000018,14.064324349999993,0.0,342.3889031250146,13323047,1,gemini-2.5-flash-lite,14.029898250000018,3999.5219092331768,0.4953051643192488,2556,2556,gemini-3.6-flash,2556,2255,0,"{""all_evidence_at_budget"": 0.4155210643015521, ""evidence_recall_at_budget"": 0.7028085735402808, ""recall_at_10"": 0.8314486326681448, ""recall_at_100"": 0.9941241685144124, ""recall_at_5"": 0.6953067257945307}",0.04344279150245711,0.08062579175748397,2556,full,judge accuracy,"[""judge""]",2556,4.458839561993955,5.966390864545247,7106599,1,1423563.0,True,complete,0,0,"Full train split, including null questions",0.4953051643192488
0.384,0.384,12,0.015246640624999988,5.854709999999995,4.555133874993771,5.715298440970946,4613245.0,638607.0,1000,1000,all,ea17ffc3550b537776e3b9c8caaf9760fd2c674abcffcc9654235a406fcc8e11,4000,384.0,exact_match,musique,0,0.0,0.384,0.4866983214390207,5.782076999999994,5.782076999999994,0.0,7.549210499972105,18083724,1,gemini-2.5-flash-lite,5.854709999999995,3998.924,0.4866983214390207,1000,1000,gemini-3.6-flash,1000,1000,0,"{""all_evidence_at_budget"": 0.344, ""evidence_recall_at_budget"": 0.6771666666666667, ""recall_at_10"": 0.5911666666666666, ""recall_at_100"": 0.8004166666666667, ""recall_at_5"": 0.5014166666666666}",0.037435624486533925,0.04885316871805116,1000,full,F1 / exact match,"[""f1""]",1000,4.6019979374541435,5.747255712424521,7235740,1,1267600.0,True,complete,0,0,"HippoRAG 2 released 1,000-question sample; shared full sampled corpus",0.384
0.4204,0.4204,0,0.014078811964795435,29.593662750000004,4.707975770987105,5.999783037806628,22638777.0,3363888.0,5000,5000,all,11df218c2a1fb06f9d79941faf7473df97cb530f14b710e2e38641b7d3f4b18e,4000,2102.0,binary_correct,personamem_v2_128k,0,0.0,,,29.593662750000004,29.593662750000004,0.0,7358.7619748002035,355713371,200,gemini-2.5-flash-lite,29.593662750000004,3999.0212,0.4204,5000,5000,gemini-3.6-flash,5000,0,0,{},0.0674069169908762,0.10744952322274914,5000,full,MCQ accuracy,"[""mcq""]",5000,4.781363521527965,6.064486120518995,117295259,200,23001920.0,True,complete,0,0,text_benchmark_128k_mcq,0.4204
0.449,0.449,0,0.01308630367483294,29.37875174999995,4.752556583000114,6.054372501728357,22433679.0,3347598.0,5000,5000,all,cef4bc2db9559d6402c64e5261a7f9af93193804fb27e811edc381286f8cb410,4000,2245.0,binary_correct,personamem_v2_32k,0,0.0,,,29.37875174999995,29.37875174999995,0.0,1982.1299031774397,94458769,200,gemini-2.5-flash-lite,29.37875174999995,3999.1276,0.449,5000,5000,gemini-3.6-flash,5000,0,0,{},0.06915516700246371,0.10426906284119478,5000,full,MCQ accuracy,"[""mcq""]",5000,4.822112624504371,6.1261859597696455,37566904,200,6718637.0,True,complete,0,0,text_benchmark_32k_mcq,0.449
